sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
1,229,1,"Chiristian Welfare High School, Thadikarankonam, , South Building West Portion - 629851","1.Thadikarankonam(R.V), Thadikarankonam (P) Block 1,2,3,4 Ward 1, Veerapuli , 2.Thadikarankonam (R.V),Thadikarankonam
(P) Block 3,4 Ward 1, Annanagar , 3.Thadikarankonam (R.V),Thadikarankonam (P) Block 1,2,3,4 Ward 1, Indira Nagar,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
2,229,2,"Chiristian Welfare High School, Thadikarankonam, , South Building  Eastern Portion - 629851","1.Thadikarankonam (R.V), Thadikarankonam (P) Block 5 Ward 1,
R.C. Street , 2.Thadikarankonam (R.V), Thadikarankonam (P) Blcok 1,2,3,4 Ward 1, C.M.S. Area , 3.Thadikarankonam (R.V), Thadikarankonam (P) Block 6 Ward 3, Kuttipothai,99.OVERSEAS ELECTORS",All Voters
3,229,3,"Christian Welfare High School, Thadikarankonam, ,
West  Block East Portion - 629851","1.Thadikarankonam (R.V), Thadikarankonam (P) Block 6 Ward 1,
Newcolony Veerapuli , 2.Thadikarankonam (R.V), Thadikarankonam (P) Block 5 Ward 1,2, Nehruji Nagar , 3.Thadikarankonam (R.V), Thadikarankonam (P) Block 5,6 Ward 2, Kamarajapuram , 4.Thadikarankonam (R.V), Thadikarankonam (P) Block 5,6 Ward 2 Kuttipothai,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
4,229,4,"Govt.Hr.Sec. School,(Adi-Dravidar Welfare), Valayathuvayal, ,  Main Building, West Portion - 629851","1.Thadikarankonam (R.V), Thadikarankonam (P) Block 7,8,12,13 Ward 4 kumarpaulkulam , 2.Thadikarankonam (R.V), Thadikarankonam (P) Block 7 Ward 4 Valayathuvayal , 3.Thadikarankonam (R.V), Thadikarankonam (P) Block 8, Ward 4 Puthunagar, Arasu Krampu Thotta Aluvalar Kudyiruppu , 4.Thadikarankonam (R.V) ,Thadikarankonam (P) Block 7,9,10 Ward 4 Kumarpalkulam , 5.Thadikarankonam (R.V), Thadikarankonam (P) Block 7,8,9 ,Ward 4 Valayathuvayal , 6.Thadikarankonam (R.V), Thadikarankonam (P) Block 7 Ward 4 Abelkadu , 7.Thadikarankonam (R.V), Thadikarankonam (P) Block 8 Ward 4 Puthunagar , 8.Azhagiyapanidyapuram (R.V),and (T.P) Block 1,2, Ward 2 Palkulam ,99.OVERSEAS ELECTORS",All Voters
5,229,5,"Govt.  Middle School, Keeriparai , East Side - 629854","1.Thadikarankonam(R.V), Thadikarankonam (P) Block 10 ,11, Ward 4 Vellambi , 2.Thadikarankonam (R.V), Thadikarankonam (P) Block 11 , Ward 5 Govt.Rubber Corporation Keeripari, 3.Thadikarankonam (R.V), Thadikarankonam (P) Block 12,13, Ward 5 Amman Kovil Workers Colony,4.Arumanalloor (R.V),Thadikarankonam (P) Block 10, Ward 4 Vellambi , 5.Thadikarankonam (R.V), Thadikarankonam (P) Block 12,13 Ward 5 Workerscolony , 6.Thadikarankonam (R.V), Thadikarankonam
(P) Block 12,13 Ward 5 Amman Kovil Workers Colony Keeriparai,999.OVERSEAS ELECTORS",All Voters
6,229,6,"Govt. Hr. Sec. School, Arumanalloor, , Central Building South Portion - 629851","1.Arumanalloor (R.V), Arumanalloor (P) Block 3,5,6, Ward1
Sasthankovil street , 2.Arumanalloor (R.V), Arumanalloor (P) Block 4,5,6, Ward 1,2 Arumanalloor , 3.Arumanalloor(R.V), Arumanalloor (P) Block 7, Ward 2 Veerapuli , 4.Arumanalloor (R.V), Arumanalloor (P) Block 7, Ward 2 Yelaparai,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
7,229,7,"Govt.  Hr.Sec  School, Arumanalloor,, Additional Building South
Portion - 629851","1.Arumanalloor (R.V), and (P) Block 1,2, Ward 3 Checkady , 2.Arumanalloor (R.V), and (P) Block 1,2 , Ward 3 Veeravanallor,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
8,229,8,"Govt.  Hr.Sec  School, Arumanalloor,,  East West Building Northern Side Eastern Portion - 629851","1.Arumanalloor (R.V) and (P) Block 3, Ward 5 Puliyadi , 2.Arumanalloor(R.V), and (P) Block 3, Ward 5 Periyakulamkarai , 3.Arumanalloor (R.V),and (P) Block 3, Ward 5 PilavadiPothai , 4.Arumanalloor (R.V),and (P) Block 1, Ward 4 Anaikarankonam , 5.Arumanalloor (R.V), and (P) Block 1,6,8 Ward 5 Karadithoppu , 6.Arumanalloor (R.V), and (P) Block 3,6 Ward 5 (Mangamalaithurai) Oorakonam , 7.Arumanalloor (R.V), and (P) Block 8, Ward 5 Ambatayankonam colony , 8.Arumanalloor (R.V), and (P) Block 7, Ward 5 Kollanthiruthi. , 9.Arumanalloor (R.V), and
(P) Block 7, Ward 5 Yelaparai.,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
9,229,9,"Govt.  High School, Pothiyoor, , Additional North Building East Portion - 629851","1.Azhagiyapanidyapuram (R.V) and (T.P) Block 1,2, Ward 2 Kothalam Pallam. , 2.Azhagiyapanidyapuram (R.V) and (T.P). Block 3, Ward 3 Inchikadavu, Devagiri , 3.Azhagiyapanidyapuram (R.V) and (T.P) Block 2,4, Ward 4 Karumbarai Perunthalaikadu,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
10,229,10,"Govt.  High School, Pothiyoor, , East Tiled Building- 629851","1.Azhagiyapanidyapuram (R.V) & (T.P) Block 5, Ward 3 Kesavanputhoor. , 2.Azhagiapandiyapuram (R.V) and (T.P) Block 5 Ward 3 Bajanaimadam Theru , 3.Azhagiyapanidyapuram (R.V) and (T.P) Block 5,12 Ward 3 Pilliyarkovil street , 4.Azhagiyapanidyapuram(R.V) and (T.P) Block 12,13 Ward 3 R.C. Kovil street,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
11,229,11,"Govt.  High School, Pothiyoor, , Old Building North West Portion - 629851","1,Azhagiyapanidyapuram (R.V) and (T.P)Block10,Ward 14 Keezhapilavakalvilai.2, Azhagiyapanidyapuram (R.V) and (T.P), Block 10, Ward14 Mathiyapilavakalvilai.3, Azhagiyapanidyapuram (R.V) and (T.P), Block 10, Ward 14 MelaPilavakalvilai.,4-Azhagiyapanidyapuram (R.V) and (T.P), Block 10,Ward 14 Pilavakalvilai North.5,Azhagiyapanidyapuram (R.V) and (T.P), Block 10, 12, Ward 13 Pilavakalvilai,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
12,229,12,"Govt High School Pottriyoor , New Building Entrance South West Portion - 629851","1,Azhagiyapanidyapuram (R.V) and (T.P),
Block11,Ward13Melkarai  Chetti Street.2, Azhagiyapanidyapuram ( R.V) and (T.P), Block 11, Ward 13 Northpeyodu.3,Azhagiyapanidyapuram (R.V) and  (T.P), Block11, Ward 13 Panikkar Street .4,Azhagiyapanidyapuram (R.V) and (T.P), Block 11. Ward 13 Southpeyodu.",All Voters
13,229,13,"Govt.  Primary School, Azhagiyapandipuram, , West Building, North Portion - 629851","1,Azhagiyapanidyapuram (R.V) and (T.P)Block10,Ward 14 Keezhapilavakalvilai.,2, Azhagiyapanidyapuram (R.V) and (T.P), Block 10, Ward14 Mathiyapilavakalvilai,3, Azhagiyapanidyapuram (R.V) and (T.P), Block 10, Ward 14 MelaPilavakalvilai,4,Azhagiyapanidyapuram (R.V) and (T.P), Block 10,Ward 14 Pilavakalvilai North.Azhagiyapanidyapuram (R.V) and (T.P), Block 10, 12, Ward 13 Pilavakalvilai,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
14,229,14,"Govt.  Primary School,
Azhagiyapandipuram,, New Building East Portion - 629851","1.Azhagiyapanidyapuram (R.V) and (T.P) Block 6, Ward 15 Melaputhurmedu , 2.Azhagiyapanidyapuram (R.V) and (T.P) Block, 6 Ward 15 Devasahayapuram. ,",All Voters
15,229,15,"Govt.  High School, Pottriyoor, , New Building Entrance East
Portion - 629851","3.Azhagiyapanidyapuram (R.V) and (T.P) Block 6,Ward 15 Thomayapuram. , 4.Azhagiyapanidyapuram (R.V) and (T.P) Block 6, Ward15 Puthugramam.,99.OVERSEAS ELECTORS",All Voters
16,229,16,"Govt.  Primary School, Azhagiyapandipuram, , New Building West Portion - 629851","1.Azhagiyapanidyapuram (R.V) and (T.P) Block 16 Ward12 Azhagiyapandiyapuram Erattai Street , 2.Azhagiyapanidyapuram (R.V) and (T.P) Block 15, 16, Ward,11 Kovilmela Street. , 3.Azhagiyapanidyapuram(R.V) and (T.P) Block 15,16 Ward 12 Melkarai south street , 4.Azhagiyapanidyapuram(R.V) and (T.P) Block 16, Ward 12 Melkaraicolony , 5.Azhagiyapanidyapuram(R.V.) and (T.P) Block 16, Ward 12 Chetiyar Street , 6.Azhagiyapanidyapuram(R.V.) and (S.P) Block 17, Ward 10, Azhagiyapanidyapuram Kulathankarai East , 7.Azhagiyapanidyapuram(R.V.) and (T.P.) Block 17, Ward 10 Azhagiyapanidyapuram Keezha street , 8.Azhagiyapanidyapuram (R.V.) and (T.P) Block 17, Ward 10, Vinayagar Sannathi street , 9.Azhagiyapanidyapuram (R.V.) and (T.P.) Block 17 Ward 10, Balamore Road , 10.Azhagiyapanidyapuram (R.V.) and (T.P) Block 17, Ward 10, Azhagiyapandiyapuram South street , 11.Azhagiyapanidyapuram (R.V.) and (T.P.) Block 17, Ward 10, Azhagiyapanidyapuram Mela street , 12.Azhagiyapanidyapuram (R.V.) and (T.P) Block 17 Ward10 Azhagiyapandiyapuram Middle Street , 13.Azhagiyapanidyapuram(R.V) and (T.P) Block 17, Ward10 Azhagiyapanidyapuram North Street , 14.Azhagiyapanidyapuram( R.V) and (T.P) Block 17, Ward 10 Azhagiyapandiyapuram K.T.C.BankOpposite,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
17,229,17,"Lutheran Middle School, Marukalthalai, , Add. North Building, 1st Standard - 629851","1.Azhagiyapanidyapuram(R.V) and (T.P) Block 7, Ward4 Kesavanputhur Mela Street , 2.Azhagiyapanidyapuram (R.V) and (T.P) Block 7, Ward 4 Kesavanputhur Middle street , 3.Azhagiyapanidyapuram(R.V) and (T.P) Block 7, Ward 4 Kesavanputhur Thevar Street , 4.Azhagiyapanidyapuram(R.V) and (T.P) Block 7 Ward 4 Kesavanputhur North street , 5.Azhagiyapanidyapuram(R.V) and (T.P) Block 7, Ward 4 Kesavanputhur Elankadai street , 6.Azhagiyapanidyapuram (R.V) and (T.P) Block 7, Ward 4 Kesavanputhur Pallikkarai Street , 7.Azhagiyapanidyapuram(R.V) and (S.P) Block 7, Ward 4 Kesavanputhur Palamore road , 8.Azhagiyapanidyapuram(R.V) and (T.P) Block 7, Ward 4 K.K.Nagar, Marugalthalai , 9.Azhagiyapanidyapuram(R.V) and (T.P) Block 7 Ward 4 Gandhinagar",All Voters
18,229,18,"Lutheran Middle School, Marukalthalai,,  South Building Middle Portion - 629851","1.Azhagiyapanidyapuram(R.V) and (T.P) Block 8. Ward 5
Yettamadai Balamore Road , 2.Azhagiyapanidyapuram(R.V) and (T.P) Block 8, Ward 5 Barathar Street , 3.Azhagiyapanidyapuram(R.V) and (T.P) Block 8, Ward 5 Keezhakesavanputhoor , 4.Azhagiyapanidyapuram (R.V) and (T.P) Block 8, Ward 5 C.M.S. Road., 99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
19,229,19,"Govt.  Primary School, Azhagiyapandipuram, , West Building South Portion - 629851","1.Azhagiyapanidyapuram(R.V) and (T.P) Block 9, Ward 9 Yettamadai Nadar kudieruppu.. , 2.Azhagiyapanidyapuram (R.V) and (T.P) Block 14, Ward 14 Chemponvilai.,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
20,229,20,"Govt.  Hr. Sec. School, Kurathiyarai,,  East Building - 629851","1.Azhagiyapanidyapuram(R.V) and (T.P) Block 19, Ward 19,20 Keerankulam , 2.Azhagiyapanidyapuram(R.V) and (T.P) Block 19, 20,  Ward 18  Kurathiyarai , 3.Azhagiyapanidyapuram (R.V) and (T.P). Block 20, Ward 19 Chenthiparai. , 4.Azhagiyapanidyapuram(R.V) and (T.P). Block 18,20, Ward 9 Madavilagam,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
21,229,21,"Govt.  High School, Kattuputhoor,,  North Building West Portion - 629851","1.Kattuputhoor (R.V) Kattuputhoor (P) Block 1,4, Ward 1 Perunthalaikadu , 2.Kattuputhoor (R.V) Kattuputhoor (P). Block 1, Ward1 Edaicode. , 3.Azhagiyapandipuram (R.V)  Kattuputhur (P). Block 1, Ward 1 C.M.S. Area. , 4.Kattuputhoor (R.V) Kattuputhoor
(P). Block 1, Ward 4 Maruthuvar Colony. , 5.Kattuputhoor (R.V) Kattuputhoor (P). Block 1, Ward 1 Valankuzhi. , 6.Kattuputhoor (R.V) Kattuputhoor (P). Block 1,2, Ward 1 Poomani Nagar. , 7.Kattuputhoor (R.V) Kattuputhoor (P). Block 2, Ward 2 Puthu Colony (south). , 8.Kattuputhoor (R.V) Kattuputhoor (P). Block 2, Ward2 Puthu Colony (north). , 9.Kattuputhoor (R.V) Kattuputhoor
(P). Block 2, Ward 2 Newcolony (Near bus stand). , 10.Kattuputhoor (R.V) Kattuputhoor (P). Block 3, Ward 3 Bramanan konam. , 11.Kattuputhoor (R.V) Kattuputhoor (P). Block 4, Ward 4 Uchamparai. , 12.Kattuputhoor (R.V) Kattuputhoor (P). Block 4, Ward 4 East Street.,99.OVERSEAS ELECTORS",All Voters
22,229,22,"Govt.  High School, Kattuputhoor, , South Building - 629851","1.Kattuputhoor (R.V) Kattuputhoor (P). Block 4, Ward 4 Panikkar Street. , 2.Kattuputhoor (R.V) Kattuputhoor (P). Block 4, Ward4 Church Street , 3.Kattuputhoor (R.V) Kattuputhoor (P). Block 4, Ward 4 Ricemill Street , 4.Kattuputhoor (R.V) Kattuputhoor (P). Block 4,5, Ward4 School street. , 5.Kattuputhoor (R.V) Kattuputhoor (P). Block 4,5, Ward4,5 Ricemill street. , 6.Kattuputhoor (R.V) Kattuputhoor (P). Block 1,2,5, Ward 5 Kattadi Vilai. , 7.Kattuputhoor (R.V) Kattuputhoor (P). Block 5, Ward 5 Annanagar.,99.OVERSEAS ELECTORS",All Voters
23,229,23,"Govt.  High School,
Kattuputhoor,,  North Building. Western Portion - 629851","1.Azhagiapandipuram (R.V) Kattuputhur (P) Block 1,4,5,6,7 Ward 7 Perunthalaikadu.,99.OVERSEAS ELECTORS",All Voters
