sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
24,229,24,"Govt.  Primary School, Rethnapuram, , Main Building, South Portion.","1.Thidal (R.V)Thidal (P) Block 1,2,3, Ward 1, Rethinapuram,Channelkarai , 2.Thidal (R.V)Thidal (P) Block 1,2,3, Ward 1 Erathinapuram Keezha street. , 3.Thidal (R.V)Thidal (P) Block 1,3, Ward 1 Erathinapuram colony. , 4.Thidal (R.V)Thidal (P) Block 1,2, Ward1,2 Erathinapurammela street , 5.Thidal (R.V)Thidal (P) Block 3, Ward 3 Thidal Middle street. , 6.Thidal (R.V)Thidal (P) Block 2, Ward 2 Thirumani Nagar. , 7.Thidal (R.V)Thidal (P) Block 3, Ward 3 South street. , 8.Thidal (R.V)Thidal
(P) Block 3, Ward 3 Narayanasamy kovil street. , 9.Thidal (R.V)Thidal (P) Block 1, Ward 2, Erathinapuram. , 10.Thidal (R.V)Thidal (P) Block 2,3, Ward2 Thidal. , 11.Thidal (R.V)Thidal (P) Ward 3 Block3, Mela Thidal,99.OVERSEAS ELECTORS",All Voters
25,229,25,"Govt.  High School Ananthapuram at Kadukkarai, , New Building East Portion","1.Ananthapuram (R.V) Kadukkarai (P) Block 1, Ward 1 Vazhai konam. , 2.Ananthapuram (R.V) Kadukkarai (P) Block 1,2, Ward 1 Muthunagar. , 3.Ananthapuram (R.V) Kadukkarai (P) Block 2,3, Ward 1 Puthukula street. , 4.Ananthapuram (R.V) Kadukarai (P) Block 5, Ward 5 Mela Theru. , 5.Ananthapuram (R.V) Kadukkarai
(P) Block 5,6, Ward 5 North street. , 6.Ananthapuram (R.V) Kadukkarai (P) Block 7, Ward 3 Aladi colony. , 7.Ananthapuram (R.V) Kadukkarai (P) Block 5,6, Ward 5 South street. , 8.Ananthapuram (R.V) Kadukkarai (P) Block 6,7, Ward 5 North Street.,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
26,229,26,"Govt.  High School Ananthapuram at Kadukkarai, , New Building West Portion, 629855","1.Ananthapuram (R.V) Kadukkarai (P) Block 1, Ward1 Valaikonam.
, 2.Ananthapuram (R.V) Kadukkarai (P) Block 1,2, Ward2 Puthukula Theru. , 3.Ananthapuram (R.V) Kadukkarai (P) Block 1,2,3,5,7, Ward 3 Aladi. , 4.Ananthapuram (R.V) Kadukkarai (P) Block 5, Ward 4 East street. , 5.Ananthapuram (R.V) Kadukkarai
(P) Block 1,3,6, Ward 5 Kadai street.99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
27,229,27,"Govt.  High School Ananthapuram At Kadukkarai, , ADD. Building South Portion","1.Ananthapuram (R.V) Kadukkarai (P) Block 1,3,4,5, Ward 3 Kadambadi vilagam. , 2.Ananthapuram (R.V) Thidal (P) Block 1,4,5,6, Ward 4 Kothanparai. , 3.Ananthapuram (R.V) Thidal (P) Block 4,5, Ward 3 Nainarthoppu. , 4.Ananthapuram (R.V) Thidal
(P) Block 6, Ward 5 Eraviputhur. , 5.Ananthapuram (R.V) Thidal (P) Block 4,5, Ward 5 Kesavaneri.99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
28,229,28,"Govt.  Middle School, Derisanamcope,,  Main Building - 629851","1.Derisanamcope (R.V) and (V.P) Block 1,Ward1 Wattspuram. , 2.Derisanamcope (R.V) and (V.P) Block 2,3,5,Ward 2 Mela Derisanamcope. , 3.Derisanamcope (R.V) and (V.P) Block 3,4,5,Ward3 Keezha Derisanamcope.99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
29,229,29,"Govt.  Middle School (Adi-Dravidar Welfare), Udaiyadi, , East Building East Portion - 629851","1.Derisanamcope (R.V) Thellanthi (P) Block 1,3,4, Ward1
Kesavanalloor. , 2.Derisanamcope (R.V) Thellanthi (P) Block 1, 2, Ward 1, Thellanthi colony. , 3.Derisanamcope (R.V) Thellanthi (P) Block 2, Ward 1,2 Thellanthi.99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
30,229,30,"Govt.  Middle School (Adi-Dravidar Welfare), Udaiyadi, , East Building South Portion - 629851","1.Derisanamcope (R.V) Thellanthi (P) Block 3,4, Ward4,3
Mudangan vilai , 2.Derisanamcope (R.V) Thellanthi (P) Block 4,5, Ward 3,5 Thenparai. , 3.Derisanamcope (R.V) Thellanthi (P) Block 1,3,5, Ward 3 Mannadi.,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
31,229,31,"Govt.  Primary School, Gnalam, , West Building - 629851","1.Gnalam (R.V) Gnalam (P) Block 3, 4, 5, Ward 1, Anthirapuram. ,
2.Gnalam (R.V) Gnalam (P) Block 6, Ward 1, Kandalavu. , 3.Gnalam (R.V) Gnalam (P) Block 1,3,4,5,6, Ward 1,2, Kandankuzhi,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
32,229,32,"Govt.  Primary School, Gnalam, , East Portion Building - 629851","1.Gnalam (R.V) Gnalam (P) Block 1,3,4, Ward 1,2 Sankaralingamparai. , 2.Gnalam (R.V) Gnalam (P) Block 1,2,3,4,6, Ward 2,3 Gnalam. , 3.Gnalam (R.V) Gnalam (P) Block 1,2,3, Ward 3 Ambulikonam.,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
33,229,33,"Govt.  Primary School, Siramadam-629851, Siramadam-629851","1.Chiramadam (R.V)  Gnalam (P) Block 6,7,8, Ward 5, Kulathoor. , 2.Chiramadam (R.V) Gnalam (P) Blcok 6,7,8,Ward 4, Naduvoor North Street,Middle Street,South Street. , 3.Chiramadam (R.V) Gnalam (P) Block 7,8, Ward 4, Chiramadam. , 4.Chiramadam (R.V) Gnalam (P) Block 7,9,Ward 5 Mukkadal. , 5.Chiramadam (R.V) Gnalam (P) Block 6,9, Ward 5 Kariyangkonam.,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
34,229,34,"Govt.  Primary School, Thittuvilai,,  East Portion
- 629852","1.Boothapandy (R.V) and  (T.P) Block 1,W,ard 1, Nantrickuli. , 2.Boothapandy (R.V) and (T.P) Block 1, 3, Ward 1, Manathittai.
,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
35,229,35,"Govt. Primary School, Thittuvilai, , West Portion
- 629852","1.Boothapandy (R.V) and  (T.P) Block 2, Ward 1, Mela Vilangkadu. , 2.Boothapandy (R.V) and  (T.P) Block 3, Ward 4, Bhakiya nagar colony. , 3.Boothapandy (R.V) and (T.P) Block 3, Ward 4, Bhakiya Nagar. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
36,229,36,"Govt.  Higher Sec. School,  Thittuvilai, , South Portion - 629852","1.Boothapandy (R.V) and   (T.P) Block 5, Ward 4 Keezhavilangadu.
, 2.Boothapandy(R.V) and  (T.P) Block 6, Ward 2, Periyakadu. , 3.Boothapandy (R.V) and  (T.P) Block 6, Ward  2, Pidarankuzhi. , 4.Boothapandy (r.v) and  (t.p) Block 1,6,7, Ward 2, Periyatheru.,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
37,229,37,"Govt.  Higher Sec. School,  Thittuvilai, , South Portion - 629852","1.Boothapandy (R.V) and (T.P) Block 1,6,8,9, Ward 2, Balamore Road. , 2.Boothapandy (R.V) and  (T.P) Block 16, Ward 2, Thaika street. , 3.Boothapandy (R.V) and  (T.P) Block 9, Ward 15, North Marthal. 99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
38,229,38,"Govt. Higher Sec. School, Thittuvilai, , West Building Middle Portion - 629852","1.Boothapandy (R.V) and (T.P) Block 8, Ward 14, Jaheer Nagar. , 2.Boothapandy (R.V) and  (T.P) Block 8, Ward 14,  Hiyath Nagar. , 3.Boothapandy (R.V) and (T.P) Block 7, Ward 2,  Palli street,99.OVERSEAS ELECTORS OVERSEAS ELECTORS.",All Voters
39,229,39,"Govt.  Higher Sec. School,  Thittuvilai, , West Middle  Portion - 629852","1.Boothapandy (R.V) and (T.P) Block 8, Ward 14 Balamore Road , 2.Boothapandy (R.V) and (T.P) Block 8, Ward 14, Ragumaniya Street. , 3.Boothapandy (R.V) and  (T.P) Block 8, Ward 14, Anna Nagar. , 4.Boothapandy (R.V) and  (T.P) Block 8, Ward  14, Veeravilai Colony. , 5.Boothapandy (R.V) and  (T.P) Block 8, Ward 14, Kamaraj Nagar.,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
40,229,40,"Govt.  Primary School, Thittuvilai,,  West Portion - 629852","1.Boothapandy (R.V) and  (T.P) Block 17, Ward  3, Valaya Theru. , 2.Boothapandy (R.V) and  (T.P) Block 18, Ward  5, Kurusadi Junction .L.M.S. Compound.,99.OVERSEAS ELECTORS OVERSEAS
ELECTORS",All Voters
41,229,41,"Govt.  Higher Sec.
School,  Thittuvilai, , South West Building - 629852","1.Boothapandy (R.V) and  (T.P) Block 10,11, Ward 15, Marthal. , 2.Boothapandy (R.V) and (T.P) Ward 15,Block 10, Pattinithoppu.,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
42,229,42,"Sir. C.P.Memorial Govt. Higher Sec. School,  , Bhoothapandy, A Block, Center West Portion - 629852","1.Boothapandy (R.V) and  (T.P) Ward 14,Block 14,  Boothapandy west street. , 2.Boothapandy (R.V) and (T.P) Ward 15,Block 14,15, Perungadai Theru. , 3.Boothapandy (R.V) and (T.P) Block 15, Ward 15, R.C Street. ,",All Voters
43,229,43,"Sir. C.P.Memorial Govt. Higher Sec. School, , Bhoothapandy, A Block Room No. 3- 629852","1.Boothapandy (R.V) and  (T.P) Block 19, Ward 19, Thittuvillai Therkkur. , 2.Boothapandy (R.V) and (T.P) Ward 19 Block 19, Veeravilai street. , 3.Boothapandy (R.V) and (T.P) Block 19, Ward 19, Chiristhavapettai.,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
44,229,44,"Sir. C.P.Memorial Govt. Higher Sec. School,  , Bhoothapandy, A BLOCK, Room No 2- 629852","1.Boothapandy (R.V) and  (T.P) Block 20, 22, Ward 7, Asarimar North Street. , 2.Boothapandy (R.V) and  (T.P) Block 20, Ward 7, Jeeva Nagar. , 3.Boothapandy (R.V) and  (T.P) Block 20, Ward 7, Azhagamman Kovil Street. , 4.Boothapandy (R.V) and (T.P) Block 20,22, Ward 7, Durgaiammankovil Street. , 5.Boothapandy. (R.V) and (T.P) Block 20, Ward  7, Uchimahaliamman Kovil Street. , 6.Boothapandy (R.V) and (T.P) Block 20,22, Ward 7, Police Station Road. , 7.Boothapandy (R.V) and  (T.P) Block 14,22, ward  7, School  Street.,4.Boothapandy (R.V) and (T.P) Block 4, Ward 4, Chattupurhoor  Colony99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
45,229,45,"Sir. C.P.Memorial Govt. Higher Sec. School,  , Bhoothapandy, B BLOCK Room No 2- 629852","1.Esanthimanglam North  (R.V) Boothapandy  (T.P) Block 12,13, Ward 12,13 South Arasan kuzhi. , 2.Esanthimanglam North  (R.V) Boothapandy  (T.P) Block 12,13, Ward 12,13, North Arashankuzhi.
, 3.Esanthimanglam North  (R.V) Boothapandy  (T.P) Block 13, Ward 13, Thuvarangadu. , 4.Esanthimanglam North  (R.V) Boothapandy  (T.P) Block 13, Ward 13, Kanjarangulam. , 5.Esanthimanglam North  (R.V) Boothapandy  (T.P) Block 13,27, Ward 12, Thuvarangadu Junction. , 6.Esanthimanglam North  (R.V) Boothapandy  (T.P) Block 27, Ward 12, Theppakuzha Road. , 7.Esanthimanglam North  (R.V) Boothapandy  (T.P) Block 22,27, Ward 12, Thuvarangadu, Balamore Road.,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
46,229,46,"Sir. C.P.Memorial Govt. Higher Sec. School,  , Bhoothapandy, B BLOCK, East Portion - 629852","1.Esanthimanglam North  (R.V) Boothapandy  (T.P) Block 13, Ward 13, Mathiyash Nagar. 99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
47,229,47,"Sir. C.P.Memorial Govt. Higher Sec. School, Bhoothapandy, , B BLOCK, East Portion - 629852","1.Esanthimanglam North  (R.V) Boothapandy  (T.P) Block 13, Ward 13, Balamore Road. , 2.Esanthimanglam North  (R.V) Boothapandy  (T.P) Block 13, Ward 13, Puliankulam.,3.Boothapandy (R.V) and (T.P) Block 26,27, Ward 12, Keezha Theru. , 4.Boothapandy (R.V) and  (T.P) Block 27, Ward 12, Nadu Street. , 5.Boothapandy (R.V) and  (T.P) Block 27, Ward 12, Mela Street. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
48,229,48,"P.  Jeevanantham Govt. Girls High School, Bhoothapandy, , WestBLOCK, South Building - 629852","1.Boothapandy (R.V) and (T.P) Block 21, Ward 11, Naduvoor. , 2.Boothapandy (R.V) and  (T.P) Block 20, Ward 11, Puthu Colony. , 3.Boothapandy (R.V) and  (T.P) Block 21,25, Ward  9, Chakiliyar Street. , 4.Boothapandy (R.V) and  (T.P) Block 14, Ward 14, Attuparai.,99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
