sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
1,224,1,"Manur Panchayat  Union  Primary School,  Eastern Portion,  Mottaiyanoor","1.Mottaiyanoor South  Street 2.Mottaiyanoor Main  Road 3.Marakkudi  Rastha  Keelpagam
999.OVERSEAS  ELECTORS",General
2,224,2,"Manur Panchayat  Union  Primary School,  Western Portion,  Mottaiyanoor.","1.Marakkudi  Rastha  Main  Road 2.Marakkudi  Rastha  Keelpagam 3.Marakkudi  Rastha  Main  Road 4.Vallveechu  Rastha
999.OVERSEAS  ELECTORS",General
3,224,3,"St.Peter Hr.Sec.School,  GoldenJubilee  Block  (west Portion)  Ukkirankottai.","1.South  Street
2.Main  Road  -  1
3.North  Street
4.Main  Road  (North  Portion  -  South  Portion)
5.Main  Road  South  Portion
6.Main  Road  -  2 999.OVERSEAS  ELECTORS",General
4,224,4,"St.Peter Hr.Sec.School,  Golden  Jubilee  Block  Back Side  East  Portion  Ukkirankottai.","1.Middle  Street,  North  Street 2.Sampoothu
999.OVERSEAS  ELECTORS",General
5,224,5,"St.Peter Hr.Sec.School,  Golden  Jubilee  Block (Middle  Portion)  Ukkirankottai.","1.Ukkirankottai  Main  Road
2.Main  Road
3.Middle  Street North  Portion
4.Middle  Street -  1
5.Middle  Street -  2 999.OVERSEAS  ELECTORS",General
6,224,6,"St.Peter Hr.Sec.School,  Golden  Jubilee  Block  (East Portion)  Ukkirankottai.","1.Azhagiyapandiyapuram  Road 2.Muthammalpuram  Road
3.Keelpagam  Main  Road
4.Bethel  Colony 999.OVERSEAS  ELECTORS",General
7,224,7,"St.Peter Hr.Sec  School,  Souther Portion,  Middle Part,  Ukkirankottai.","1.Middle  Street South  Portion
2.Middle  Street South  Portion  1
3.Middle  Street South  Portion  2
4.North  Street
5.Church  Street
6.Middle  Sreet  South  Portion  3
7.Middle  Street South  Portion  4
8.West  Portion 999.OVERSEAS  ELECTORS",General
8,224,8,"T.D.T.A.St.  Paul  Middle  School,  North  Portion, Eastern  Part,  1st  Room  Vagaikulam.","1.Balastheenapuram  And  Vagaigulam
2.Maruthappapuram 999.OVERSEAS  ELECTORS",General
9,224,9,"T.D.T.A.St.  Paul  Middle  School,  North  Portion, Eastern  Part,  2nd  Room,  Vagaikulam.",1.Senaiyar North  Street 999.OVERSEAS  ELECTORS,General
10,224,10,"T.D.T.A.St.  Paul  Midddle  School, North  Portion, Western  Part, 2nd  Room,  Vagaikulam","1.Amman  Sannathi  East  Street
2.Arunthathiar  Street
3.Ward  1  South  Street Vadakku   vagaigulam 999.OVERSEAS  ELECTORS",General
11,224,11,"T.D.T.A.St.  Paul  Midddle  School, North  Portion, Western  Part, 1st Room, Vagaikulam","1.Harijan  East Street  South  Vagaikulam
2.Thevar West  Street South  Vagaikulam 999.OVERSEAS  ELECTORS",General
12,224,12,"T.D.T.A.St.Paul  Middle  School,  Southern  Portion, Middle  Part,  Vagaikulam",1.Ward  2  Nadar  West Street Vadakkuvagaigulam 999.OVERSEAS  ELECTORS,General
13,224,13,"Panchayat Union  Middle  School,  Subbiahpuram.","1.Ward  1  Amman  Kovil  East Street
2.Ward  1  North  Street
3.Ward  1  Center North  Street (Upside)
4.Ward  1  Center North  Street (Downside)
5.Ward  1  Amman  Kovil  Street
6.Ward  1  Pillaiyar Kovil  Street 999.OVERSEAS  ELECTORS",General
14,224,14,"Panchayat Union  Middle  School,  Back  Side  West Room  Subbiahpuram.","1.Ward  1  Middle  Street
2.Ward  1  Main  Street
3.Ward  1  South  Street 999.OVERSEAS  ELECTORS",General
