sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
1,120,1,"Part Name - 1 - GOVT ARTS & SCIENCE COLLEGE FOR WOMEN PULIYAKULAM
ROAD PULIYAKULAM,COIMBATORE-641045","1COIMBATORE(C), WARD NO 66 KONDASAMY LAYOUT
999 OVERSEAS ELECTOR",ALL VOTERS
2,120,2,"Part Name - 2 - GOVT ARTS & SCIENCE COLLEGE FOR WOMEN PULIYAKULAM ROAD PULIYAKULAM,COIMBATORE-641045","1.WARD NO 66 ALAMELU MANGAMMAL LAYOUT 2,
2.WARD NO 66 ALAMELUMANGANNAL LATOUT
999 OVERSEAS ELECTOR",ALL VOTERS
3,120,3,"Part Name - 3 - GOVT ARTS & SCIENCE COLLEGE FOR WOMEN PULIYAKULAM ROAD PULIYAKULAM,COIMBATORE-641045","1 - COIMBATORE(C), WARD NO 64 SOURIMUTHU LANE
2 - COIMBATORE(c), WARD NO 66 SOWRIPALAYAM ROAD
3 - COIMBATORE(C), WARD NO 66 KALAIVANAR NAGAR
999 OVERSEAS ELECTOR",ALL VOTERS
4,120,4,"Part Name - 4 - ST. ANTONIYAR NURSARY & PRIMARY SCHOOL ANTHONIYAR
KOIL STREET, PULIYAKULAM,COIMBATORE-641045","1.WARD NO 66 PULIYAKULAM ROAD ,
999 OVERSEAS ELECTOR",ALL VOTERS
5,120,5,"Part Name - 5-ST. ANTONIYAR NURSARY & PRIMARY SCHOOL ANTHONIYAR KOIL STREET, PULIYAKULAM,COIMBATORE-641045","1. WARD NO 66 PULIYAKULAM ROAD ,
2. WARD NO 66 RAMALINGAM LAYOUT,
999 OVERSEAS ELECTOR",ALL VOTERS
6,120,6,"Part Name - 6-ST. ANTONIYAR NURSARY & PRIMARY SCHOOL ANTHONIYAR
KOIL STREET, PULIYAKULAM-,COIMBATORE-641045","1.WARD NO SIRUKALIYAMANKOVILS STREETS
999 OVERSEAS ELECTOR",ALL VOTERS
7,120,7,"Part Name - 7 -ST ANTONYS BOYS HIGH SCHOOL,
PULIAKULAM,COIMBATORE 641045","1. WARD NO 66 REDFIELD ROAD ,
2. WARD NO 66 SANTHIYAKU STREET  999 OVERSEAS ELECTOR",ALL VOTERS
8,120,8,"Part Name - 8 - ST ANTONYS BOYS HIGH SCHOOL,
PULIAKULAM,COIMBATORE 641045","1.WARD NO 66 MARIAMMAN KOIVIL STREET,
2. WARD NO 66 PULIYAKULAM ROAD  999 OVERSEAS ELECTOR",ALL VOTERS
9,120,9,"Part Name - 9 - ST ANTONYS BOYS HIGH SCHOOL, PULIAKULAM
,COIMBATORE 641045","1.WARD NO 66 PECHIYANNAN STREET,
2.WARD NO KATHINASAMY LANE,
3.WARD NO 66 CHINNA MARUCHALAM STREET,
4.WARD NO 66 ARUMUGAM STREET
5.WARD NO 66 MARUTHACHALAM STREET
999 OVERSEAS ELECTOR",ALL VOTERS
10,120,10,"Part Name - 10 - ST ANTONYS BOYS HIGH SCHOOL, PULIAKULAM COIMBATORE 641045","1.WARD NO 66 ANTHONIYAR KOVIL STREET,
2.WARD NO 66 ANTHINIYAR KOVIL BACKSIDE HUTS,
3.  WARD NO 66 THULLA ARUMUGAM STREET,
4. WARD NO 66 SIRUKALIAMMAN KOVIL STREET 1
999 OVERSEAS ELECTO",ALL VOTERS
11,120,11,GOVT ARTS & SCIENCE COLLEGE FOR WOMEN PULIYAKULAM ROAD PULIYAKULAM-641045,"1. WARD NO 66 AMMANKULAM NORTH,
999 OVERSEAS ELECTO",ALL VOTERS
12,120,12,"GOVT ARTS & SCIENCE COLLEGE FOR WOMEN PULIYAKULAM ROAD
PULIYAKULAM-641045","1.WARD NO 66 AMMANKULAM ROAD
999 OVERSEAS ELECTORS",ALL VOTERS
13,120,13,GOVT ARTS & SCIENCE COLLEGE FOR WOMEN PULIYAKULAM ROAD PULIYAKULAM-641045,"1.WARD NO 66 AMMANKULAM NORTH,
2.WARD NO 66 AMMANKULAM ROAD
999 OVERSEAS ELECTORS",ALL VOTERS
14,120,14,"GOVT ARTS & SCIENCE COLLEGE FOR WOMEN PULIYAKULAM ROAD
PULIYAKULAM-641045","1.WARD NO 66 RAJIV GANDHI NAGAR AMMANKULAM ROAD,
999 OVERSEAS ELECTOR",ALL VOTERS
15,120,15,"GOVT ARTS & SCIENCE COLLEGE FOR WOMEN PULIYAKULAM ROAD
PULIYAKULAM-641045","1.WARD NO 66 AMMANKULAM ROAD ANNA NAGAR,
999 OVERSEAS ELECTOR",ALL VOTERS
16,120,16,GOVT ARTS & SCIENCE COLLEGE FOR WOMEN PULIYAKULAM ROAD PULIYAKULAM-641045,"1.WARD NO 66 RAJIV GANDHI NAGAR AMMANKULAM,
2.WARD NO 66 AMMANKULAM ROAD ANNA NAGAR
999 OVERSEAS ELECTORS",ALL VOTERS
17,120,17,"GOVT ARTS & SCIENCE COLLEGE FOR WOMEN PULIYAKULAM ROAD
PULIYAKULAM-641045","1.WARD NO 66 AMMANKULAM ROAD ANNA NAGAR
999 OVERSEAS ELECTORS",ALL VOTERS
18,120,18,"PART NO-18-CORPORATION VERIVADA PRIMARY SCHOOL,PULIYAKULAM,COIMBATORE-641045","1.WARD NO 66 AMMA KULAM SOUTH,
2.WARD NO 66 AMMANKULAM SOUTH CROSS STREET 2
999 OVERSEAS ELECTORS",ALL VOTERS
19,120,19,"PART NO-19-CORPORATION VERIVADA PRIMARY SCHOOL,PULIYAKULAM,COIMBATORE-641045","1.WARD NO 66 KRISHNAN KOVIL STREET,
2.WARD NO 66 AMMANKULAM SOUTH CROSS STREET -3
3.WARD NO 66 AMMANKULAM SOUTH CROSS STREET-4
4. WARD NO 66 BAZAR STREET
999 OVERSEAS ELECTORS",ALL VOTERS
20,120,20,"PART NO-20-CORPORATION VERIVADA PRIMARY
SCHOOL,PULIYAKULAM,COIMBATORE-641045","1.WARD NO 66 KARUPPARAYAN KOVIL STREET
999 OVERSEAS ELECTORS",ALL VOTERS
21,120,21,"PART NO-21-CORPORATION VERIVADA PRIMARY
SCHOOL,PULIYAKULAM,COIMBATORE-641045","1.WARD NO 66 KARUPPARAYAN KOVIL STREET
999 OVERSEAS ELECTORS",ALL VOTERS
22,120,22,"ST. THERASSA MIDDLE SCHOOL, ANTHONIYAR KOVIL STREET, PULIYAKULAM 641045","1.WARD NO 65 APPUSAMY STREET,
2.WARD NO 66 VERIVADA STREET,
3.WARD NO 83 DR NARAYANASAMI  STREET,
999 OVERSEAS ELECTORS",ALL VOTERS
