sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
23,120,23,"ST. THERASSA MIDDLE SCHOOL, ANTHONIYAR KOVIL STREET, PULIYAKULAM 641045","1.WARD NO 66 VERIVADA HUTS,
2.WARD NO 66 VERYVAADA HUTS OOP, NIRMALA COLLEGE
999 OVERSEAS ELECTORS",ALL VOTERS
24,120,24,"CORPORATION VERIVADA ELEMENTARY SCHOOL, SOWRIPALAYAM ROAD,
PULIYAKULAM -641045","1.WARD NO 64 PERIYAR NAGAR PULIYAKULAM
999 OVERSEAS ELECTORS",ALL VOTERS
25,120,25,"CORPORATION VERIVADA ELEMENTARY SCHOOL, SOWRIPALAYAM ROAD,
PULIYAKULAM -641045","1.WARD NO 64 PERIYAR NAGAR PULIYAKULAM,
999 OVERSEAS ELECTOR",ALL VOTERS
26,120,26,"CORPORATION VERIVADA ELEMENTARY SCHOOL, SOWRIPALAYAM ROAD,
PULIYAKULAM -641045","1.WARD NO 64 PERIYAR NAGAR
999 OVERSEAS ELECTOR",ALL VOTERS
27,120,27,"CORPORATION VERIVADA ELEMENTARY SCHOOL, SOWRIPALAYAM ROAD,
PULIYAKULAM -641045","1.WARD NO 64 PERITAR NAGAR,
999 OVERSEAS ELECTOR",ALL VOTERS
28,120,28,"CORPORATION VERIVADA ELEMENTARY SCHOOL, SOWRIPALAYAM ROAD, PULIYAKULAM -641045","1.WARD NO 64 PANKAJAMILL HUTS,
2.WARD NO 64 PERIYAR NAGAR
999 OVERSEAS ELECTOR",ALL VOTERS
29,120,29,"CORPORATION VERIVADA ELEMENTARY SCHOOL, SOWRIPALAYAM ROAD,
PULIYAKULAM -641045","1 - COIMBATORE(C), WARD NO 64 PERIYAR NAGAR
999 OVERSEAS ELECTOR",ALL VOTERS
30,120,30,"ST. THERASSA MIDDLE SCHOOL,ANTONIYAR KOVIL STREET, PULIYAKULAM - 641045","1 - COIMBATORE (C), WARD NO 64 PANKAJA MILL ROAD,
2.WARD NO 64 PANKAJA MILL MILL QUARTERS
999 OVERSEAS ELECTOR",ALL VOTERS
31,120,31,"ST. THERASSA MIDDLE SCHOOL,ANTONIYAR KOVIL STREET, PULIYAKULAM - 641045","1 - COIMBATORE(C), WARD NO 64 MARUTHANAYAGAMSTREET,
2.WARD NO 64 JAGANATHAN NAGAR,
3.WARD NO 64 RAMASAMY NAGAR
999 OVERSEAS ELECTOR",ALL VOTERS
32,120,32,"ST. THERASSA MIDDLE SCHOOL,ANTONIYAR KOVIL STREET, PULIYAKULAM - 641045","1.WARD NO 66 SOWRIMUTHU STREET,
2.WARD NO 64 MASAAL STREET,
3.WARD NO 64 MASAAL LAYOUT
999 OVERSEAS ELECTOR",ALL VOTERS
33,120,33,"ST. THERASSA MIDDLE SCHOOL,ANTONIYAR KOVIL STREET, PULIYAKULAM -
641045","1.WARD NO 66 BALASUBRAMANIYAM NAGAR HUTS.
999 OVERSEAS ELECTOR",ALL VOTERS
34,120,34,"ST. THERASSA MIDDLE SCHOOL,ANTONIYAR KOVIL STREET, PULIYAKULAM -
641045","1.WARD NO 66 ERI MEDU HUTS ,
999 OVERSEAS ELECTOR",ALL VOTERS
35,120,35,"ST. THERASSA MIDDLE SCHOOL,ANTONIYAR KOVIL STREET, PULIYAKULAM -
641045","1.WARD NO 64 SOWRIYAPALAYAM ROAD
999 OVERSEAS ELECTOR",ALL VOTERS
36,120,36,"CORPORATION ELEMENTARY SCHOOL, GANESHAPURAM COIMBATORE
641045","1.WARD NO 64 POLICE KANDASAMY STREET
999 OVERSEAS ELECTOR",ALL VOTERS
37,120,37,"CORPORATION ELEMENTARY SCHOOL, GANESHAPURAM COIMBATORE 641045","1.WARD NO 64 RAMASAMY LAYOUT,
2.WARD NO 64 MARUTHASALAM LAYOUT
999 OVERSEAS ELECTOR",ALL VOTERS
38,120,38,"CORPORATION ELEMENTARY SCHOOL, GANESHAPURAM, TRICHY ROAD RAMANATHAPURAM -641045","1.WARD NO 64 TRICHY ROAD ,
2.WARD NO SUBBAIHAN STREET
999 OVERSEAS ELECTOR",ALL VOTERS
39,120,39,"CORPORATION ELEMENTARY SCHOOL, GANESHAPURAM, TRICHY ROAD RAMANATHAPURAM -641045","1.WARD NO 64 THAMARAIYANAYAGAM STREET,
2.WARD NO 64 SADAYAPPAN STREET
999 OVERSEAS ELECTOR",ALL VOTERS
40,120,40,"CORPORATION GIRLS HIGHER SECONDARY SCHOOL, RAMAKRISHNAPURAM,MARUTHUR -641045","1.WARD NO 63 RAMAKRISHNAPURAM ,
2.WARD NO 63 NARAYANNAN STREET,
3.WARD NO 63 PECHIYANNAN STREET ,
999 OVERSEAS ELECTOR",ALL VOTERS
41,120,41,"CORPORATION GIRLS HIGHER SECONDARY SCHOOL, RAMAKRISHNAPURAM,MARUTHUR -641045","1.WARD NO 63 KRISHNANKOVIL STREET,
2.WARD NO 63 SANTHANAM STREET,
999 OVERSEAS ELECTOR",ALL VOTERS
42,120,42,"CORPORATION GIRLS HIGHER SECONDARY SCHOOL,
RAMAKRISHNAPURAM,MARUTHUR -641045","1.WARD NO 63 SHANMUGAM STREET ,
999 OVERSEAS ELECTOR",ALL VOTERS
43,120,43,"CORPORATION GIRLS HIGHER SECONDARY SCHOOL, RAMAKRISHNAPURAM,MARUTHUR -641045","1.WARD NO 63 ANBU STREET,
2.WARD NO 63 MARUDUR MARIAMMAN KOIL STREET,
3. WARD NO 63 NANJAPPAN STREET,
4.WARD NO 63 THIRUMAL STREET
999 OVERSEAS ELECTOR",ALL VOTERS
44,120,44,"CORPORATION GIRLS HIGHER SECONDARY SCHOOL, RAMAKRISHNAPURAM,MARUTHUR -641045","1.WARD NO 63 NAGAPPAN STREET,
2.WARD NO 64 TRICHY ROAD
999 OVERSEAS ELECTOR",ALL VOTERS
45,120,45,"CORPORATION GIRLS HIGHER SECONDARY SCHOOL,
RAMAKRISHNAPURAM,MARUTHUR -641045","1.WARD NO 63 POOSARIMARIYAPPAN STREET,
999 OVERSEAS ELECTOR",ALL VOTERS
46,120,46,"CORPORATION GIRLS HIGHER SECONDARY SCHOOL, RAMAKRISHNAPURAM,MARUTHUR -641045","1 - COIMBATORE (C), WARD NO 63 SUBRAMANIAR KOVIL STREET EAST,
2 - COIMBATORE (C), WARD NO 63 PERUMAL KOIL STREET MARUDUR
3 - COIMBATORE (C), WARD NO 63 SUBRAMANIAR KOIL STREET WEST
999 OVERSEAS ELECTOR",ALL VOTERS
47,120,47,"CORPORATION ELEMENTARY SCHOOL, RAMAKRISHNAPURAM, MARUTHUR - 641045","1 - COIMBATORE(C), WARD NO 64 THIRUVALLUVAR NAGAR MAIN STREET,
2 - COIMBATORE(C), WARD NO 64 THIRUVALLUVAR NAGAR FIRST STREET
999 OVERSEAS ELECTOR",ALL VOTERS
48,120,48,"CORPORATION ELEMENTARY SCHOOL, RAMAKRISHNAPURAM, MARUTHUR - 641045","1 - COIMBATORE(C), WARD NO 64 THIRUVALLUVAR NAGAR SECOND STREET,
2 - COIMBATORE(C), WARD NO 64 THIRUVALLUVAR NAGAR THIRD STREET,
3 - COIMBATORE(C), WARD NO 64 T. NAGAR EAST
4 - COIMBATOROE(C), WARD NO 64 T NAGAR WEST,
5 - COIMBATORE(C), WARD NO 64 T NAGAR CROSS STREET
999 OVERSEAS ELECTOR",ALL VOTERS
49,120,49,"CORPORATION ELEMENTARY SCHOOL, RAMAKRISHNAPURAM, MARUTHUR - 641045","1 - COIMBATORE(C), WARD NO 63 SUBBAIYA LAY OUT,
2 - COIMBATORE(C), WARD NO 63 ARUMUGAM LAY OUT
999 OVERSEAS ELECTOR",ALL VOTERS
50,120,50,"CORPORATION GIRLS HIGHER SECONDARY SCHOOL, , RAMAKRISHNAPURAM,MARUTHUR","1 - COIMBATORE(C), WARD NO 64 SAKTHI NAGAR,
2 - COIMBATORE(C) WARD NO 64 BALAJI NAGAR,
3 - Coimbatore(c), WARD NO 64 BALAJI NAGAR WEST,
4 - COIMBATORE(C), WARD NO 64 SAMA LAY OUT
999 OVERSEAS ELECTOR",ALL VOTERS
51,120,51,"CORPORATION ELEMENTARY SCHOOL, RAMAKRISHNAPURAM, MARUTHUR - 641045","1 - COIMBATORE(C), WARD NO 64 NORTH END ROAD KRISHNASAMY NAGAR.
2 - COIMBATORE(C), WARD NO 64 KRK ST KRISHNASAMY NAGAR
3 - COIMBATORE(C), WARD NO 64 SCHOOL ROAD KRISHNASMY NAGAR,
4 - COIMBATORE(C), WARD NO 64 POST OFFICE ROAD,
5 - COIMBATORE(C), WARD NO 64 516FT ROAD KRISHNASAMY NAGAR,
6 - COIMBATORE(C), WARD NO 64 VINAYAGAR KOVIL ST KRISHNASAMY NAGAR
999 OVERSEAS ELECTOR",ALL VOTERS
52,120,52,"CORPORATION ELEMENTARY SCHOOL,, RAMAKRISHNAPURAM, MARUTHUR - 641045","1 - COIMBATORE(C), WARD NO 63 PECHIANNAN STREET,
2 - COIMBATORE(C), WARD NO 63 MANIAM ARULANANDHAM STREET
3 - COIMBATORE(C), WARD NO 64 SOUTH END ROAD KRISHNASAMY NAGAR,
4 - COIMBATORE(C), WARD NO 64 316FT ROAD KRISHNASAMY NAGAR,
5 - COIMBATORE(C), WARD NO 64 SOWRIPALAYAM ROAD
6 - COIMBATORE(C), WARD NO 64 AUTO DRIVER COLONY,
7 - COIMBATORE(C), WARD NO 64 T NAGAR BHARATHIYAR ROAD,
8 - COIMBATORE(C), WARD NO 64 KARTHIK APPARTMENTS
999 OVERSEAS ELECTOR",ALL VOTERS
53,120,53,"CORPORATION ELEMENTARY SCHOOL,, RAMAKRISHNAPURAM, MARUTHUR - 641045","1 - COIMBATORE(C), WARD NO 63 RAGUMAN SAIT COLONY 1
2 - COIMBATORE(C), WARD NO 63 ANNANAGER(OM SAKTHI NAGER)
3 - COIMBATORE(C), WARD NO 63 RAGUMAN SAIT COLONY 2
4 - COIMBATORE(C), WARD NO 63 NATARAJAN STREET
5 - COIMBATORE(C), WARD NO 63 KANAKASABAPATHI LANE
999 OVERSEAS ELECTOR",ALL VOTERS
54,120,54,"CORPORATION ELEMENTARY SCHOOL, PERUMAL KOVIL STREET,
RAMANATHAPURAM -641045","1 - COIMBATORE (C), WARD NO 63 NANJUNDAPURAM ROAD
999 OVERSEAS ELECTOR",ALL VOTERS
55,120,55,"CORPORATION ELEMENTARY SCHOOL, PERUMAL KOVIL STREET,
RAMANATHAPURAM -641045","1 - COIMBATORE (C), WARD NO 63 RAMANATHAPURAM ROAD
999 OVERSEAS ELECTOR",ALL VOTERS
56,120,56,"CORPORATION ELEMENTARY SCHOOL, PERUMAL KOVIL STREET, RAMANATHAPURAM -641045","1 - COIMBATORE (C), WARD NO 63 LAKSHMANAN LANE
2 - COIMBATORE (C), WARD NO 63 PERUMAL LANE
3 - COIMBATORE (C), WARD NO 63 PALANI ANDAVAR KOVIL STREET
999 - Overseas Elector",ALL VOTERS
57,120,57,"CORPORATION ELEMENTARY SCHOOL, PERUMAL KOVIL STREET, RAMANATHAPURAM -641045","1 - COIMBATORE (C), WARD NO 63 PERUMAL KOVIL LANE
2 - COIMBATORE (C), WARD NO 63 BAJANAI KOVIL STREET
3 - Coimbatore(c), WARD NO 63 RAMASAMY ROAD
999 OVERSEAS ELECTOR",ALL VOTERS
58,120,58,"CORPORATION ELEMENTARY SCHOOL, PERUMAL KOVIL STREET, RAMANATHAPURAM -641045","1 - COIMBATORE(C), WARD NO 63 SUBRAMANIAM ROAD
2 - COIMBATORE(C), WARD NO 63 VALLIAMMALROAD
3 - Coimbatore(c), WARD NO 63 KAMATCHIAMMAN KOVIL STREET
4 - COIMBATORE(C), WARD NO 63 MANIAM SUBRAMANIAM LANE
999 OVERSEAS ELECTOR",ALL VOTERS
59,120,59,"CORPORATION BOYS HIGHER SECONDARY SCHOOL, RAMANATHAPURAM -
641045","1 - COIMBATORE (C), WARD NO 63 SURIYAN STREET
999 OVERSEAS ELECTOR",ALL VOTERS
60,120,60,"CORPORATION BOYS HIGHER SECONDARY SCHOOL, RAMANATHAPURAM - 641045","1 - COIMBATORE (C), WARD NO 63 NACHIYANNAN ANGANANAN STREET
2 - COIMBATORE (C), WARD NO 63 PALANIVELAYUTHAM LANE
999 OVERSEAS ELECTOR",ALL VOTERS
61,120,61,"CORPORATION BOYS HIGHER SECONDARY SCHOOL, RAMANATHAPURAM - 641045","1 - COIMBATORE (C), WARD NO 63 MUKKANDAR LANE
2 - COIMBATORE(C), WARD NO 63 KARUPPANNAN STREET
3 - COIMBATORE(C), WARD NO 63 NANJALINGAM LANE
4 - COIMBATORE (C), WARD NO 63 PAPPAMMAL LAYOUT
999 OVERSEAS ELECTOR",ALL VOTERS
62,120,62,"CORPORATION BOYS HIGHER SECONDARY SCHOOL, RAMANATHAPURAM - 641045","1 - COIMBATORE(C), WARD NO 63 ARUMUGAM LANE
2 - COIMBATORE(C), WARD NO 63 ANGANNAN LAYOUT 80 FEET SCHEME ROAD
3 - COIMBATORE(C), WARD NO 63 RAMALINGAJOTHI NAGAR
999 OVERSEAS ELECTOR",ALL VOTERS
63,120,63,"CORPORATION BOYS HIGHER SECONDARY SCHOOL, RAMANATHAPURAM - 641045","1 - COIMBATORE(C), WARD NO 63 ANGANNAN LAY OUT NEHRU NAGAR
2 - COIMBATORE(C), WARD NO 63 ANGANNAN LAYOUT STREET 7
3- COIMBATORE(C), WARD NO 63 ANGANNAN LAYOUT STREE 5
4- COIMBATORE(C), WARD NO 63 ANGANNAN LAYOUT STREE 8
5 - COIMBATORE(C), WARD NO 63 ANGANNAN LAYOUT STREE 9
999 OVERSEAS ELECTOR",ALL VOTERS
64,120,64,"CORPORATION BOYS HIGHER SECONDARY SCHOOL, RAMANATHAPURAM - 641045","1 - Coimbatore corp, ) WARD NO 63 ANGANNAN LAYOUT VOC NAGAR
2 - COIMBATORE CORP, ) WARD NO 63 PASUMPON NAGAR
3 - COIMBATORE(C), WARD NO 63 ANGANNAN LAYOUT STREET 2
999 - Overseas Elector",ALL VOTERS
65,120,65,"CORPORATION BOYS HIGHER SECONDARY SCHOOL, RAMANATHAPURAM - 641045","1 - COIMBATORE CORP, ) WARD NO 63 KANNIGAPARAMESWARI LAYOUT
2 - COIMBATORE CORP, ) WARD NO 63 MURUGAN NAGAR
3 - COIMBATORE CORP, ) WARD NO 63 SRIRAM COLONY
4 - COIMBATORE CORP, ) WARD NO 63 ANGANNAN LAYOUT 2ND STREET
5 - COIMBATORE CORP, ) WARD NO 63 ANGANNAN LAYOUT 3RD STREET
6 - COIMBATORE (C), ) WARD NO 63 ANGANNAN LAYOUT 5TH STREET
7 - COIMBATORE CORP, ) WARD NO 63 ANGANNAN LAYOUT 6TH STREET
8 - COIMBATORE CORP, WARD NO 63 ANGANNAN LAYOUT 7TH STREET
9 - COIMBATORE CORP, WARD NO 63 ANGANNAN LAYOUT 9TH STREET
10 - COIMBATORE (C), WARD NO 63 THAMBIANNAN LANE
11 - COIMBATORE (C), WARD NO 63 PULUGAN THAMBI LANE
999 OVERSEAS ELECTOR",ALL VOTERS
66,120,66,"CORPORATION BOYS HIGHER SECONDARY SCHOOL, RAMANATHAPURAM - 641045","1 - COIMBATORE(C), WARD NO 63 RAMALINGA LAYOUT1ST STREET
2 - COIMBATORE(C), WARD NO 63 RAMALINGAM LAY OUT SECOND STREET
3 - COIMBATORE(C), WARD NO 63 RAMALINGAM LAY OUT THIRD STREET
4 - COIMBATORE(C), WARD NO 63 RAMALIGAM LAY OUT FOURTH STREET
5 - COIMBATORE(C), WARD NO 63 RAMALIGAM LAY OUT FIFTH STREET
999 OVERSEAS ELECTOR",ALL VOTERS
67,120,67,"NIRMALA COLLEGE FOR WOMEN, KAMARAJAR ROAD COIMBATORE","1 - COIMBATORE (C), WARD NO 83 MUTHUSAMY LAY OUT
2 - COIMBATORE (C), WARD NO 66 ABDUL RAHIM ROAD
3 - COIMBATORE (C), WARD NO 83 AVINASHI ROAD
4 - COIMBATORE (C), WARD NO 83 P.N.RAMASAMY COLONY
5 - COIMBATORE (C), WARD NO 66 PIONEER APARTMENTS
6 - COIMBATORE (C), WARD NO 66 RAHEJA CENTRE
7 - COIMBATORE (C), WARD NO 66 PALANISAMY STREET
999 OVERSEAS ELECTOR",ALL VOTERS
68,120,68,"NIRMALA COLLEGE FOR WOMEN, KAMARAJAR ROAD COIMBATORE","1 - COIMBATORE (C), WARD NO 83 S.R IYYAR LAY OUT
2 - COIMBATORE (C), WARD NO 83 ESWARAN LAYOUT
3 - COIMBATORE (C), WARD NO 83 SUBRAMANIAM LAYOUT
4 - COIMBATORE (C), WARD NO 64 C.R.SUNDARAM LAYOUT
5 - COIMBATORE (C), WARD NO 83 ESWARAN LAYOUT HUTS
999 OVERSEAS ELECTOR",ALL VOTERS
69,120,69,"NIRMALA COLLEGE FOR WOMEN, KAMARAJAR ROAD COIMBATORE","1 - COIMBATORE (C), WARD NO 64 ARIYAN SOAP COLONY
999 OVERSEAS ELECTOR",ALL VOTERS
70,120,70,"NIRMALA COLLEGE FOR WOMEN, KAMARAJAR ROAD COIMBATORE","1 - COIMBATORE (C), WARD NO 64 TRICHY ROAD
999 OVERSEAS ELECTOR",ALL VOTERS
71,120,71,"NIRMALA COLLEGE FOR WOMEN, KAMARAJAR ROAD COIMBATORE","1 - COIMBATORE (C), WARD NO 65 TRICHYROAD WARDOFFICE HUTS, GANDHINAGAR
2 - COIMBATORE (C), WARD NO 83 AGASTHIYANPETAI HUTS.
3 - COIMBATORE (C), WARD NO 83 AGASTHIANPETTAI
999 OVERSEAS ELECTOR",ALL VOTERS
72,120,72,"NIRMALA COLLEGE FOR WOMEN, KAMARAJAR ROAD COIMBATORE","1 - COIMBATORE (C), WARD NO 83 KAMARAJAR ROAD
2 - COIMBATORE (C), WARD NO 83 AFAC QUARTERS KAMARAJAR ROAD
3 - COIMBATORE (C), WARD NO 83 GOVT.STAFF QUARTERS REDFIELD
999 OVERSEAS ELECTOR",ALL VOTERS
73,120,73,"GOVERNMENET ARTS COLLEGE, GOVT ARTS COLLEGE ROAD COIMBATORE-
641018","1 - COIMBATORE (C), WARD NO 66 RACECOURSE ROAD
999 - Overseas Elector",ALL VOTERS
74,120,74,"GOVERNMENET ARTS COLLEGE, GOVT ARTS COLLEGE ROAD COIMBATORE-641018","1 - COIMBATORE(C), WARD NO 83 GOVT ART COLLEGE ROAD
2 - COIMBATORE(C), WARD NO 83 HOSUR ROAD
3 - COIMBATORE(C), WARD NO 83 THIRUGNANASAMBANTHAM ROAD
4 - COIMBATORE(C), WARD NO 66 DEVARAJULU ROAD
5 - COIMBATORE(C), WARD NO 66 RAHEJA APPARTMENTS
6 - COIMBATORE(C), WARD NO 66 PARK AVENUE RACE COURSE
7 - COIMBATORE(C), WARD NO 66 STATEBANK OFFICERS QUARTERS
8 - COIMBATORE(C), WARD NO 83 CHERAN TOWER APPARTMENTS
9 - COIMBATORE(C), WARD NO 66 TELECOM STAFF QUARTERS
10 - COIMBATORE(C), WARD NO 66 SRI VARI SASWATH APPARTMENT
999 OVERSEAS ELECTOR",ALL VOTERS
75,120,75,"GOVERNMENET ARTS COLLEGE, GOVT ARTS COLLEGE ROAD COIMBATORE-641018","1 - COIMBATORE (C), WARD NO 66 HOUSING UNIT RACE COURSE
2 - COIMBATORE (C), WARD NO 66 G D ROAD
3 - COIMBATORE (C), WARD NO 66 SUBBU APPARTMENTS
4 - COIMBATORE (C), WARD NO 66 THOMASPARK HOUSINGUNIT RACECOURSE
999 - Overseas Elector",ALL VOTERS
76,120,76,"GOVERNMENET ARTS COLLEGE, GOVT ARTS COLLEGE ROAD COIMBATORE-641018","1 - COIMBATORE (C), WARD NO 83 SUNDARESAN COLONY
2 - COIMBATORE (C), WARD NO 83 CLUB ROAD
3 - COIMBATORE (C), WARD NO 83 NEW RAILWAY COLONY
4 - COIMBATORE (C), WARD NO 83 V.C KUMARASWAMY LAYOUT
5 - COIMBATORE (C), WARD NO 83 G.R.GOVINDARAJULU STREET
6 - COIMBATORE (C), WARD NO 83 STATE BANK ROAD
7 - COIMBATORE (C), WARD NO 83 HOSUR ROAD
8 - COIMBATORE (C), WARD NO 83 DEVI& CO LANE
9 - COIMBATORE (C), WARD NO 83 GOPALAPURAM STREET 3
10 - COIMBATORE (C), WARD NO 83 GOPALAPURAM STREET 2
11 - COIMBATORE (C), WARD NO 83 GOPALAPURAM STREET 1
12 - COIMBATORE (C), WARD NO 83 FIRE SERVICE QUARTERS
13 - COIMBATORE (C), WARD NO 83 VILVAM RESIDENCY CLUB ROAD
14 - COIMBATORE (C), WARD NO 83 P.W.D STAFF QUARTERS
999 OVERSEAS ELECTOR",ALL VOTERS
77,120,77,"ST. FRANCIS CONVENT, TRICHY ROAD, COIMBATORE-641018","1 - COIMBATORE (C), WARD NO 65 TRICHY ROAD
999 OVERSEAS ELECTOR",ALL VOTERS
