sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
1,88,1,,"Panchayat Union Elementary School, Kottagoundampatty - 636011, New Terraced Building
Facing West South Wing","1.Kottagoundampatty (R.V) And (P), Ward 1, Adidravidar Street 999-OVERSEAS ELECTORS"
2,88,2,,"Panchayat Union Elementary School, Kottagoundampatty - 636011, Terraced Building
Facing South East Wing","1.Kottagoundampatty (R.V) And (P), Ward 1, Adidravidar Street"
3,88,3,,"Panchayat Union Elementary School, Kottagoundampatty - 636011, New Terraced Building
Facing West North Wing","1.Kottagoundampatty (R.V) And (P), Ward 2,3 Adidravidar Street"
4,88,4,,"Panchayat Union Elementary School, Anaigoundampatty - 636011, Terraced Building Facing East South Wing","1.Kottagoundampatty (R.V) And (P), Ward 2, Govt.Engineering College Opposite
2.Kottagoundampatty (R.V) And (P), Ward 2, Kuditheru Anaigoundampatty
3.Kottagoundampatty (R.V) And (P), Ward 2, Manthaiveli Kattuvalavu"
5,88,5,,"Panchayat Union Elementary School, Kottagoundampatty - 636011, Tiled Building Facing West South Wing","1.Kottagoundampatty (R.V) And (P), Ward 3, Kuditheru 2.Kottagoundampatty (R.V) And (P), Ward 3, Sponge Nagar 3.Kottagoundampatty (R.V) And (P), Ward 3, Ambedkar Nagar 4.Kottagoundampatty (R.V) And(P), Ward 3, Nallaran Kattuvalavu 5.Kottagoundampatty (R.V) And (P), Ward 3, M.G.R.Nagar 6.Kottagoundampatty (R.V) And (P), Ward 3, Kattuvalavu NH Road Near 7.Kottagoundampatty (R.V) And (P), Ward 3, TNHB Kattuvattam 8.Kottagoundampatty (R.V) And (P), Ward 3, Nayakkar Kattuvalavu"
6,88,6,,"Panchayat Union Elementary School, Kottagoundampatty - 636011, Terraced Building Facing South West Wing","1.Kottagoundampatty (R.V) And (P), Ward 3, TNHB 2.Kottagoundampatty (R.V) And (P), Ward 3, Kattuvalavu (UreGoundarvattam),
3.Kottagoundampatty (R.V) And (P), Ward 3, Govt.Engineering College
Quarters"
7,88,7,,"Kizhar Palaniyandi Pillai Ams Middle School, Orathipannai, Vellakkalpatti - 636012, Terraced
Building Facing North East Middle Wing","1.Vellakkalpatty (R.V) And (P), Ward 1,2 Udaintha Palam 2.Vellakkalpatty (R.V) And (P), Ward1,2 Seenivasa Nagar(Pappan Ery
Thittu)"
8,88,8,,"Kizhar Palaniyandi Pillai Ams Middle School, Orathipannai, Vellakkalpatti - 636012, Terraced Building Facing North West Middle Wing","1.Vellakkalpatty (R.V) And (P), Ward 2, Kendiyan Vattam 2.Vellakkalpatty (R.V) And (P), Ward 1, Thalamboo Odai 3.Vellakkalpatty (R.V) And (P), Ward 1, Kilaakkadu
4.Vellakkalpatty (R.V) And (P), Ward 1, Pamankaradu"
9,88,9,,"Kizhar Palaniyandi Pillai Ams Middle School, Orathipannai, Vellakkalpatti - 636012, Terraced
Building Facing East Middle Wing","1.Vellakkalpatty (R.V) And (P), Ward 1,2,3 Paman Karadu 2.Vellakkalpatty (R.V) And (P), Ward 2, Vinayagar Nagar"
10,88,10,,"Kizhar Palaniyandi Pillai Ams Middle School, Orathipannai, Vellakkalpatti - 636012, Terraced
Building Facing East North Wing","1.Vellakkalpatty (R.V) And (P), Ward 1,2 Manjulam Pallam, 2.Vellakkalpatty (R.V) And (P), Ward 2, Barathi Nagar"
11,88,11,,"Panchayat Union Elementary School, Vellakkalpatty (Nerunjipatty) - 636011, Terraced Building Facing North West Wing","1.Vellakkalpatti (R.V) And (P), Ward 3, Barathi Nagar 2.Vellakkalpatti (R.V) And (P), Ward 2, Dalmia Board 3.Vellakkalpatti (R.V) And (P), Ward 2, Kamarajnagar 4.Vellakkalpatti (R.V) And (P), Ward 3, Nerinjipatty Kattuvalavu 5.Vellakkalpatti (R.V) And (P), Ward 3, Dalmia Board Opposite 6.Vellakkalpatti (R.V) And (P), Ward 3, Kattuvalavu
7.Vellakkalpatti (R.V) And (P), Ward 3, Nerinjipatty"
12,88,12,,"Panchayat Union Middle School, Saminaickenpatty - 636011, New Terraced Building Facing North East Wing","1.Samynayakkanpatty (R.V) And (P), Ward 1, Panangadu Kattuvalavu 2.Samynayakkanpatty (R.V) And (P), Ward 1, Kuditheru 3.Samynayakkanpatty (R.V) And (P), Ward 1, New Colony 4.Samynayakkanpatty (R.V) And (P), Ward 2, New Colony"
13,88,13,,"Panchayat Union Middle School, Saminaickenpatty - 636011, New Terraced Additional Building Facing South West Wing.","1.Samynayakkanpatty (R.V) And (P), Ward 2, Old Colony 2.Samynayakkanpatty (R.V) And (P), Ward 3, Old Colony 3.Samynayakkanpatty (R.V) And (P), Ward 2, Arunthathiyar Colony
Kattuvalavu"
14,88,14,,"Panchayat Union Middle School, Saminaickenpatty - 636011, New Terraced Building Facing North West
Wing","1.Samynayakkanpatty (R.V) And (P), Ward 1, Kuditheru 2.Samynayakkanpatty (R.V) And (P), Ward 1, New Colony
3.Samynayakkanpatty (R.V) And (P), Ward 2, Old Colony"
15,88,15,,"Panchayat Union Middle School, Saminaickenpatty - 636011, New Terraced Building No.2 Facing South
West Wing","1.Samynayakkanpatty (R.V) And (P), Ward 2, New Colony 2.Samynayakkanpatty (R.V) And (P), Ward 3, Old Colony
3.Samynayakkanpatty (R.V) And (P), Ward 3, Arunthathiyar Colony"
16,88,16,,"Panchayat Union Middle School, Mankuppai - 636012, New Terraced Building Facing West North Wing","1.Mangkuppai (R.V) And (P), Ward 1, Mangkuppai Kuditheru 2.Mangkuppai (R.V) And (P), Ward 1, Mangkuppai Kattuvalavu 3.Mangkuppai (R.V) And (P), Ward 1, Kamarajar Colony (New Colony)"
17,88,17,,"Panchayat Union Middle School, Manguppai - 636012, New Terraced Building Facing West South Wing","1.Mangkuppai (R.V) And (P), Ward 1, Old Colony 2.Mangkuppai (R.V) And (P), Ward 1, Adikkarai 3.Mangkuppai (R.V) And (P), Ward 2, Mangkuppai Adikkarai 4.Mangkuppai (R.V) And (P), Ward 2, Palaiyur Sathiram
5.Mangkuppai (R.V) And (P), Ward 2, Arunthathiyar Colony"
18,88,18,,"Panchayat Union Middle School, P.Nallagoundampatty - 636304, Terraced Building Facing East Middle Wing (Centre Room)","1.Puthu Nallaagoundampatty (R.V) And (P), Ward 1,2 Puthu Nallaagoundampatty
2.Puthu Nallaagoundampatty (R.V) And (P), Ward 2, Kattuvattam
3.Puthu Nallaagoundampatty (R.V) And (P), Ward 1, Muniappan Koil Vattam
4.Puthu Nallaagoundampatty (R.V) And (P), Ward 1, Puthu Nallaagoundampatty Kattuvattam
5.Puthu Nallaagoundampatty (R.V) And (P), Ward 1,2"
