sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
19,88,19,,"Panchayat Union Middle School, P.Nallagoundampatty - 636304, Terraced Building Facing East South Wing","1.Nallaagoundampatty (R.V), PuthuNallaagoundampatty (P), Ward 1, PuthuNallaagoundampatty, Kattuvattam
2.Nallaagoundampatty (R.V), PuthuNallaagoundampatty (P), Ward 2, PuthuNallaagoundampatty
3.Nallaagoundampatty (R.V), PuthuNallaagoundampatty (P), Ward 2, Old Adidravidar Colony
4.Nallaagoundampatty (R.V), PuthuNallaagoundampatty (P), Ward 2, Chettiar Kadai
5.Nallaagoundampatty (R.V), PuthuNallaagoundampatty (P), Ward 1,2 New Adidravidar Colony
6.Nallaagoundampatty (R.V), PuthuNallaagoundampatty (P), Ward 1,"
20,88,20,,"Panchayat Union Middle School, Chellapillaikuttai - 636304, New Terraced Building Facing North Middle
Wing","1.ChellaPillaikuttai (R.V) And (P), Ward 1, Bagavampatty 2.ChellaPillaikuttai (R.V) And (P), Ward 1, Bavanoor 3.ChellaPillaikuttai
(R.V) And (P), Ward 2, Kavandapatty"
21,88,21,,"Panchayat Union Middle School, Chellapillaikuttai - 636304, New Terraced Building Facing South West
Wing","1.ChellaPillaikuttai (R.V) And (P), Ward 2,ChellaPillaikuttai"
22,88,22,,"Panchayat Union Elementary School, Mallagoundanur - 636304, Terraced Building Facing
North West Wing","1.ChellaPillaikuttai (R.V) And (P), Ward 3, ChellaPillaikuttai Adidravidar Colony"
23,88,23,,"Panchayat Union Elementary School, Mallagoundanur - 636304, Terraced Building Facing
North West Wing","1.ChellaPillaikuttai (R.V) And (P), Ward 3, Bagalpatty Mettu Street 2.ChellaPillaikuttai (R.V) And (P), Ward 3, Mettukkadu"
24,88,24,,"Panchayat Union Elementary School, Mallagoundanur - 636304, Terraced Building Facing North West Wing","1.Mallakkavundanoor (R.V), ChellaPillaikuttai (P), Ward4, Mallakkavundanoor Kattuvattam
2.Mallakkavundanoor (R.V), ChellaPillaikuttai (P), Ward 4, Kodamban Karadu
3.Mallakkavundanoor (R.V), ChellaPillaikuttai (P), Ward 4, Ratchikkadu"
25,88,25,,"Panchayat Union Elementary School, Mallagoundanur - 636304, Terraced Building Facing North East Wing","1.Mallakkavundanoor (R.V), ChellaPillaikuttai (P), Ward 4, Mallakkavundanur
2.Mallakkavundanoor (R.V), ChellaPillaikuttai (P), Ward 4, Angalamman Nagar
3.Mallakkavundanoor (R.V), ChellaPillaikuttai (P), Ward 4, Arunthathiyar
Colony"
26,88,26,,"Panchayat Union Elementary School, Senganoor - 636304, Terraced Building Facing West South Wing","1.Pagalpatty (R.V) And (P), Ward 1, Senganoor"
27,88,27,,"Panchayat Union Elementary School, Senganoor - 636304, Terraced Building Facing West North Wing","1.Pagalpatty (R.V) And (P), Ward 1, Veditheru Kattuvalavu, 2.Pagalpatty (R.V) And (P), Ward 2, Padikaranvalavu, Thonthali Kattuvalavu,
3.Pagalpatty (R.V) And (P), Ward 1, Utthandi Valavu"
28,88,28,,"Panchayat Union Middle School, Boominaikenpatty - 636304, Terraced Building Facing West South Wing","1.Pagalpatty (R.V) And (P), Ward 3, Poominayakkanpatty, 2.Pagalpatty (R.V) And (P), Ward 3, Poominayakkanpatty, Adidravidar Colony"
29,88,29,,"Panchayat Union Middle School, Boominaikenpatty - 636304, New Terraced Building Facing North East Wing","1.Pagalpatty (R.V) And (P), Ward 4, Kattu vattam, 2.Pagalpatty (R.V) And (P), Ward 4, Karattur,
3.Pagalpatty (R.V) And (P), Ward 4, Boominayakkanpatty Kattuvalavu"
30,88,30,,"Panchayat Union Middle School, Boominaikenpatty - 636304, Tiled Building Facing West North Wing","1.Pagalpatty (R.V) And (P), Ward 4, Arasamarathukkadu 2.Pagalpatty (R.V) And (P), Ward 7, Pagalpatty
999-OVERSEAS ELECTORS"
31,88,31,,"Panchayat Union Elementary School, Thasanayakkanpatty - 636304, New Terraced
Building Facing North West Wing","1.Pagalpatty (R.V) And (P), Ward 5, Thasanayakkanpatty, 2.Pagalpatty (R.V) And (P), Ward 5, Thasanayakkanpatty,
3.Pagalpatty (R.V) And (P), Ward 4, Anaikkavundanvalavu"
32,88,32,,"Panchayat Union Elementary School, Pagalpatti - 636304, Terraced Building Facing West Middle Wing","1.Pagalpatty (R.V) And (P), Ward 6, Kathichettipatty, Pagalpatty Kattuvalavu,
2.Pagalpatty (R.V) And (P), Ward 7, Pagalpatty"
33,88,33,,"Panchayat Union Elementary School, Pagalpatti - 636304, Terraced Building Facing East North Wing","1.Pagalpatty (R.V) And (P), Ward 8, Ramanur, 2.Pagalpatty (R.V) And (P), Ward 8, Tholure,
3.Pagalpatty (R.V) And (P), Ward 8, Chinna Pagalpatty"
34,88,34,,"Panchayat Union Elementary School, Muthunaickenpatty - 636304, Terraced Building
Facing North West Wing","1.Muthunaickenpatty (R.V) And (P), Ward 1, Eeswarankoil Street, 2.Muthunaickenpatty (R.V) And (P), Ward 1, Asari Street,
3.Muthunaickenpatty (R.V) And (P), Ward 1, Kannara Street"
35,88,35,,"Panchayat Union Elementary School, Muthunaickenpatty - 636304, Terraced Building Facing North East Wing","1.Muthunaickenpatty (R.V) And (P), Ward 2, Muniagoundan Street, 2.Muthunaickenpatty (R.V) And (P), Ward 2, Kotthan Street, 3.Muthunaickenpatty (R.V) And (P), Ward 2, Kundaankalparai, 4.Muthunaickenpatty (R.V) And (P), Ward 2, Indhira Nagar, 5.Muthunaickenpatty (R.V) And (P), Ward 2, Kaaraichvadi, 6.Muthunaickenpatty (R.V) And (P), Ward 2, Manchalayur, 7.Muthunaickenpatty (R.V) And (P), Ward 2, Masaiyanoor, 8.Muthunaickenpatty (R.V) And (P), Ward 2, Kalarpatty Kattuvalavu,"
36,88,36,,"Panchayat Union Elementary School, Kathirchettipatty in Muthunaickenpatty - 636304, Terraced Building Facing North East Wing","1.Muthunaickenpatty (R.V) And (P), Ward 1, Kannadiyan Kadu, 2.Muthunaickenpatty (R.V) And (P), Ward 1, Kathirchettypatti, 3.Muthunaickenpatty (R.V) And (P), Ward 1, Vannankadu, 4.Muthunaickenpatty (R.V) And (P), Ward 1, Olaipatty, 5.Muthunaickenpatty (R.V) And (P), Ward 1, Palikadu, 6.Muthunaickenpatty (R.V) And (P), Ward 1, Olaipatty Kattuvalavu,
7.Muthunaickenpatty (R.V) And (P), Ward 1, Vaalkadu"
37,88,37,,"Panchayat Union Middle School, Palakuttapatty - 636304, Terraced Building Facing South East Wing","1.Muthunaickenpatty (R.V) And (P), Ward 2, Balakuttappatty, 2.Muthunaickenpatty (R.V) And (P), Ward 2, Balakuttapatty Kattuvalavu 3.Muthunaickenpatty (R.V) And (P), Ward 2, Balakuttapatty Colony, 4.Muthunaickenpatty (R.V) And (P), Ward 2, Allaiyanoor"
38,88,38,,"Panchayat Union Middle School, Palakuttapatty - 636304, New Terraced Building Facing East South Wing","1.Muthunaickenpatty (R.V) And (P), Ward 2, Malaiyanoor, 2.Muthunaickenpatty (R.V) And (P), Ward 2, Marathukuttai, 3.Muthunaickenpatty (R.V) And (P), Ward 2, Marathukuttai Colony,
4.Muthunaickenpatty (R.V) And (P), Ward 2, Maravan Kurai"
39,88,39,,"Panchayat Union Middle School, Palakuttapatty - 636304, New Terraced Building Facing East North Wing","1.Muthunaickenpatty (R.V) And (P), Ward 3, Yerikodi, 2.Muthunaickenpatty (R.V) And (P), Ward 3, Kalarpatty, 3.Muthunaickenpatty (R.V) And (P), Ward 3, Kalarpatty Kattuvalavu, 4.Muthunaickenpatty (R.V) And (P), Ward 3, Semmedu, Mariamman koil Street,
5.Muthunaickenpatty (R.V) And (P), Ward 3, Kilangukara Street, 6.Muthunaickenpatty (R.V) And (P), Ward 3, Kathankadu, 7.Muthunaickenpatty (R.V) And (P), Ward 3, Thonthikadu,"
40,88,40,,"Panchayat Union Middle School, Pudurkadampatty - 636304, Terraced Building Facing West South Wing","1.Muthunaickenpatty (R.V) And (P), Ward 4, Arasamarathukadu, 2.Muthunaickenpatty (R.V) And (P), Ward 4, Muthaliyur, 3.Muthunaickenpatty (R.V) And (P), Ward 4, Mangarasankadu, 4.Muthunaickenpatty (R.V) (P), Ward 5, Puthurkadampatty, 5.Muthunaickenpatty (R.V) And (P), Ward 4, Puthurkadampatty
kattuvalavu"
41,88,41,,"Panchayat Union Elementary School, Karaichavadi Paravaikaradu - 636304, Terraced Building Facing North East Wing","1.Muthunaickenpatty (R.V) And (P), Ward 4, Manchalayur Kattuvalavu, 2.Muthunaickenpatty (R.V) And (P), Ward 4, Andikadu, 3.Muthunaickenpatty (R.V) And (P), Ward 4, Athukkadu, 4.Muthunaickenpatty (R.V) And (P), Ward 4, Athukkattu Colony, 5.Muthunaickenpatty (R.V) And (P), Ward 5, Manchalayur"
42,88,42,,"Panchayat Union Elementary School, Karaichavadi Paravaikaradu - 636304, Terraced Building Facing North West Wing","1.Muthunaickenpatty (R.V) And (P), Ward 5, Karaisavadi, Kattuvalavu, 2.Muthunaickenpatty (R.V) And (P), Ward 5, Karaisavadi, 3.Muthunaickenpatty (R.V) And (P), Ward 5, Sorakkapatty, 4.Muthunaickenpatty (R.V) And (P), Ward 5, Paravakkadu"
43,88,43,,"Panchayat Union Elementary School, Pothanur - 636502, Terraced Building Facing South West Wing","1.Konagapady (R.V) And (P), Ward 1, Thottianur 2.Konagapady (R.V) And (P), Ward 1, Thottianur Colony 3.Konagapady (R.V) And (P), Ward 1, Madakkan Valavu 4.Konagapady (R.V) And (P), Ward 1, Morambu Kadu
999-OVERSEAS ELECTORS"
44,88,44,,"Panchayat Union Elementary School, Pothanur in Konagapadi - 636502, New Terraced Building Facing South East Wing","1.Konagapady (R.V) And (P), Ward 1, SubbanValavu 2.Konagapady (R.V) And (P), Ward 1, Kadampatty 3.Konagapady (R.V) And (P), Ward 1, Sanaarapatty 4.Konagapady (R.V) And (P), Ward 1, Sanarappatty Kattu Valavu
5.Konagapady (R.V) And (P), Ward 4, Sembadapalayam"
45,88,45,,"Panchayat Union Elementary School, Athikattanoor - 636502, Terraced Building Facing South East Wing","1.Konagapady (R.V) And (P), Ward 4, Kottayur, 2.Konagapady (R.V) And (P), Ward 4, Thiruvaathankorai, 3.Konagapady (R.V) And (P), Ward 4, Athikkattanoor,
4.Konagapady (R.V) And (P), Ward 4,1 Athikkattanur Kattuvalavu, 5.Konagapady (R.V) And (P), Ward 4, Athikkattanur Colony West, 6.Konagapady (R.V) And (P), Ward 4,1 Odangadu,
7.Konagapady (R.V) And (P), Ward 1, Odangadu Kattuvalavu,"
46,88,46,,"Panchayat Union Elementary School, T.Konagapadi - 636502, Terraced Building Facing South West Wing","1.Konagapady (R.V) And (P), Ward 2, Kitchipalayam, 2.Konagapady (R.V) And (P), Ward 2, Santhaipet, 3.Konagapady (R.V) And (P), Ward 2, Thoppur Northside, 4.Konagapady (R.V) And (P), Ward 2, Kamarajar Nagar,
5.Konagapady (R.V) And (P), Ward 2, Chettiar Kadu"
47,88,47,,"Panchayat Union Elementary School, T.Konagapadi - 636502, New Terraced Building Facing South East
Wing","1.Konagapady (R.V) And (P), Ward 3, Thoppur Southside, 2.Konagapady (R.V) And (P), Ward 3, Nehru Nagar,
3.Konagapady (R.V) And (P), Ward 3, Thoppur Kattuvalavu"
48,88,48,,"Panchayat Union Elementary School, T.Konagapadi - 636502, New Terraced Building Facing South West
Wing","1.Konagapady (R.V) And (P), Ward 3, Arinthathiyar Colony, 2.Konagapady (R.V) And (P), Ward 3, Kanapathi Nagar,
3.Konagapady (R.V) And (P), Ward 2, Thiruvalluvar Nagar"
49,88,49,,"Government Higher Secondary School, K.R.Thoppur - 636502, Terraced Building Facing West South Wing","1.Karukkalvady (R.V) And (P), Ward 4,5 Kullampoosariyur,
2.Karukkalvady (R.V) And (P), Ward 5, Peramanur, 3.Karukkalvady (R.V) And (P), Ward 5, Malaiyanur Kadu"
50,88,50,,"Government Higher Secondary School, K.R.Thoppur - 636502, Terraced Building Facing West North Wing","1.Karukkalvady (R.V) And (P), Ward 5, Weavers Colony, 2.Karukkalvady (R.V) And (P), Ward 5, Kavetty Ranganpalayam"
51,88,51,,"Panchayat Union Middle School, Ellayur Semmankoodal - 636304, Terraced Building Facing
South East Wing","1.Ellayur (R.V), Semmankoodal (P), Ward 1, Ellayur, 999-OVERSEAS ELECTORS"
52,88,52,,"Panchayat Union Middle School, Kandhapichanur - 636304, Terraced Building Facing East South Wing.","1.Ellayur (R.V), Semmankoodal (P), Ward 3, Kachuvalliyanoor,
2.Ellayur (R.V), Semmankoodal (P), Ward 3, Kuyavanoor,
3.Ellayur (R.V), Semmankoodal (P), Ward 3, Ranganathapuram"
53,88,53,,"Panchayat Union Middle School, Ellayur(Semmankoodal) - 636304, Tiled Building
Facing South East Wing","1. Ellayur (R.V), Semmankoodal (P), Ward 2, Makkankadu, Molikadu, Arunthathiyar Street,
2.Ellayur (R.V), Semmankoodal (P), Ward 1, Ellayur"
54,88,54,,"Panchayat Union Middle School, Kandhampichanur(Semmankoodal) - 636304, Terraced Building Facing West South Wing.","1.Ellayur (R.V), Semmankoodal (P), Ward 4, Kandambitchanur, Ranganathapuram,
2.Ellayur (R.V), Semmankoodal (P), Ward 4, Kariyampatty,
3.Ellayur (R.V), Semmankoodal (P), Ward 3, Kachuvalliyanoor, Kuyavanoor"
55,88,55,,"Panchayat Union Middle School, Kanganiyur - 636013. Terraced Building Facing South West Wing","1.Karukkalvady (R.V) And (P), Ward 1, Kanganiyur"
56,88,56,,"Panchayat Union Middle School, Karukkalvadi - 636013, Terraced Building Facing North West Wing","1.Karukkalvady (R.V) And (P), Ward 1, Sevaganur,
2.Karukkalvady (R.V) And (P), Ward 2, Puthur Kattuvalavu, 3.Karukkalvady (R.V) And (P), Ward 2, Kachuvalliyanoor"
57,88,57,,"Panchayat Union Middle School, Karukkalvadi - 636013, Terraced Building Facing North East Wing","1.Karukkalvady (R.V) And (P), Ward 3, Puthur, 2.Karukkalvady (R.V) And (P), Ward 3, Karukkalvadi, Palaiyur,
3.Karukkalvady (R.V) And (P), Ward 3, Kachuvalliyanur, Puthur Kattuvalavu,
4.Karukkalvady (R.V) And (P), Ward 3, Kanganiyur Kattuvalavu
999-OVERSEAS ELECTORS"
58,88,58,,"Panchayat Union Middle School, Karukkalvadi - 636013, Terraced Building Facing North West Wing","1.Karukkalvady (R.V) And (P), Ward 3, Koolumikadu, 2.Karukkalvady (R.V) And (P), Ward 3, Karukkalvadi Barath Street, 3.Karukkalvady (R.V) And (P), Ward 4, Chinnathambi Valavu
999-OVERSEAS ELECTORS"
59,88,59,,"Panchayat Union Middle School, Karukkalvadi - 636013, Terraced Building Facing North East wing","1.Karukkalvady (R.V) And (P), Ward 3, Sancheevirayan Kadu, 2.Karukkalvady (R.V) And (P), Ward 3, Karattur,
3.Karukkalvady (R.V) And (P), Ward 3, Manthivalavu"
60,88,60,,"Panchayat Union Middle School, Karukkalvadi - 636013, Terraced Building Facing North West Wing","1.Karukkalvady (R.V) And (P), Ward 3, Nehru Nagar, 2.Karukkalvady (R.V) And (P), Ward 3, Pugayilaikkaran Street,
3.Karukkalvady (R.V) And (P), Ward 3, Mangadu"
61,88,61,,"Panchayat Union Middle School, Krishnampudur (Karukkaklvadi)-636013, Terraced Building Facing
West Middle Wing","1.Karukkalvady (R.V) And (P), Ward 4, Krishnamputhur, 2.Karukkalvady (R.V) And (P), Ward 4, Power Grid Colony,
3.Karukkalvady (R.V) And (P), Ward 4, Kottamedu"
62,88,62,,"Panchayat Union Middle School, Krishnampudur (Karukkaklvadi)-636013, Terraced Building Facing
West South Wing","1.Karukkalvady (R.V) And (P), Ward 4, Narasikadu"
63,88,63,,"Panchayat Union Middle School, Krishnampudur (Karukkaklvadi)-636013, Terraced Building Facing West South Wing","1.Karukkalvady (R.V) And (P), Ward 4, Krishnamputhur, Arunthathiyar Colony,
2.Karukkalvady (R.V) And (P), Ward 4, Krishnamputhur Kattuvalavu, 3.Karukkalvady (R.V) And (P), Ward 4, Power Grid Colony, 4.Karukkalvady (R.V) And (P), Ward 4, Krishnamputhur, 5.Karukkalvady (R.V) And (P), Ward 4, Mainroad moolakadai"
64,88,64,,"Panchayat Union Middle School, Krishnampudur (Karukkaklvadi)-636013, Terraced Building Facing
West North Wing","1.Karukkalvady (R.V) And (P), Ward 4, Narasikkadu, 2.Karukkalvady (R.V) And (P), Ward 4, Kottamedu,
3.Karukkalvady (R.V) And (P), Ward 4, Erumaikaran Vattam"
65,88,65,,"Panchayat Union Middle School, Alagusamuthiram - 636013, Terraced Building Facing West North Wing","1.Azhagusamuthiram (R.V) And (P), Ward 1, Azhagusamuthiram, 2.Azhagusamuthiram (R.V) And (P), Ward 2, Kanakkanthittu Kattuvalavu"
66,88,66,,"Panchayat Union Middle School, Karukkalvadi - 636013, Terraced Building Facing North East Wing","1.Azhagusamuthiram (R.V) And (P), Ward 2, Azhagusamuthiram,Kumbakarnanvalavu, Kattuvalavu,
2.Azhagusamuthiram (R.V) And (P), Ward 3, Kattuvalavu"
67,88,67,,"Panchayat Union Middle School, Alagusamuthiram - 636013, Terraced Building Facing West South Wing Block.1","1.Azhagusamuthiram (R.V) And (P), Ward 1,2 Kanakkanthittu Kattuvalavu, 2.Azhagusamuthiram (R.V) And (P), Ward 3, Pachakkadu, 3.Azhagusamuthiram (R.V) And (P), Ward 3, Motturkadu, 4.Azhagusamuthiram (R.V) And (P), Ward 2, Erikkodi Kumbakarnanvalavu"
68,88,68,,"Panchayat Union Middle School, Sarkar Kollapatty - 636030, Terraced Building Facing North West Wing","1.Sarkkarkollapatty ( R.V) And (P), Ward2,Kattur, 2.Sarkkarkollapatty (R.V) And (P), Ward2,Pudur"
69,88,69,,"Panchayat Union Middle School, Sarkar Kollapatty - 636030, New Terraced Building Facing North Eastern
Wing First Room","1.Sarkkarkollapatty ( R.V) And (P), Ward2,Mariyamman Kovil Near"
70,88,70,,"Panchayat Union Middle School, Sarkar Kollpatty -
636030, North Facing West Building East Wing","1.Sarkkarkollapatty ( R.V) And (P), Ward3,Veerakaran kovil"
71,88,71,,"Panchayat Union Middle School, Sarkar Kollapatty - 636030, North Facing West Building Middle Wing","1.Sarkkarkollapatty ( R.V) And (P), Ward2,Mettukadu 2.Sarkkarkollapatty ( R.V) And (P), Ward2,Paraivattam"
72,88,72,,"Panchayat Union Middle School, Amani Iyyamperumampatty - 636302, Terraced Building
Facing West South Wing","1.Amani ayyamperumampatty (R.V) And (P), Ward1, Amani Ayyamperumampatty"
73,88,73,,"Panchayat Union Middle School, Amani Iyyamperumampatty - 636302, Terraced Building
Facing West North Wing","1.Amani ayyamperumampatty (R.V) And (P), Ward1,2, Amani Ayyamperumampatty"
74,88,74,,"Panchayat Union Middle School, Amani Iyyamperumampatti - 636302, Terraced Building
Facing North West Wing","1.Amani ayyamperumampatty (R.V) And (P), Ward3, Amani Ayyamperumapatty"
75,88,75,,"Panchayat Union Middle School, Amani Iyyamperumampatti - 636302, Terraced Building
Facing West Middle Wing Room No.4","1.Amani ayyamperumampatty (R.V) And (P), Ward 4, Amani Ayyamperumapatty"
76,88,76,,"Community Hall, Sundar Nagar, Mallamuppanpatty-636302., Terraced Building Facing East","1.Mallamuppanpatty (R.V) And (P), Ward1, Sundarnagar 2.Mallamuppanpatty (R.V) And (P), Ward2, IndiraNagar
3.Mallamuppanpatty (R.V) And (P), Ward2, Gandhi Nagar"
77,88,77,,"e-Sevai Centre, Sundar Nagar, Mallamuppanpatty - 636302., Terraced Building Facing East","1Mallamuppanpatty (R.V) And (P), Ward2, Gandhi Nagar"
78,88,78,,"Panchayat Union Elementary School, Steel Plant Main Road, Sithanur - 636302 Terraced Building Facing
North, East Wing.","1.Mallamuppanpatty (R.V) And (P), Ward3, Siddhanoor Kattuvalavu, 999-OVERSEAS ELECTORS"
79,88,79,,"Panchayat Union Elementary School, Steel Plant Main Road, Sithanur - 636302 Terraced Building Facing North, West Wing.","1.Mallamuppanpatty (R.V) And (P), Ward3,Siddhanoor Maleparakadu, 2.Mallamuppanpatty (R.V) And (P), Ward3,Siddhanoor Mariyappan Kovil Street,
3.Mallamuppanpatty (R.V) And (P), Ward3, Siddhanoor Erumpalali Main Road,
999-OVERSEAS ELECTORS"
80,88,80,,"Panchayat Union Elementary School, Mallamoopanpatty - 636302 Terraced Building
Facing West, North Wing","1.Mallamuppanpatty (R.V) And (P), Ward3,Siddhanor Kakkan Colony"
81,88,81,,"Panchayat Union Elementary School, Mallamooppampatty - 636302, Tiled Building Facing
North East Wing","1.Mallamuppanpatty (R.V) And (P), Ward4, Ramakoundanoor, 2.Mallamuppanpatty (R.V) And (P), Ward4, Neermariammankoil area,
3.Mallamuppanpatty (R.V) And (P), Ward1,Nadar Street"
82,88,82,,"Panchayat Union Elementary School, Mallamooppampatty - 636302, Tiled Building Facing
North West Wing","1.Mallamuppanpatty (R.V) And (P), Ward4, Ramakoundanoorkattuvalavu"
