sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
1,72,1,1,,
2,72,2,2,,
3,72,3,3,,
4,72,4,4,,
5,72,5,5,,
6,72,6,6,,
7,72,7,7,,
8,72,8,8,,
9,72,9,9,,
10,72,10,10,,
11,72,11,11,,
12,72,12,12,,
13,72,13,13,,
14,72,14,14,,
15,72,15,15,,
16,72,16,16,,
17,72,17,17,,
18,72,18,18,,
19,72,19,19,,
20,72,20,20,,
21,72,21,21,,
22,72,22,22,,
23,72,23,23,,
24,72,24,24,,
25,72,25,25,,
26,72,26,26,,
27,72,27,27,,
28,72,28,28,,
29,72,29,29,,
30,72,30,30,,
31,72,31,31,,
32,72,32,32,,
33,72,33,33,,
34,72,34,34,,
35,72,35,35,,
36,72,36,36,,
37,72,37,37,,
38,72,38,38,,
39,72,39,39,,
40,72,40,40,,
41,72,41,41,,
42,72,42,42,,
43,72,43,43,,
44,72,44,44,,
45,72,45,45,,
46,72,46,46,,
47,72,47,47,,
48,72,48,48,,
49,72,49,49,,
50,72,50,50,,
51,72,51,51,,
52,72,52,52,,
53,72,53,53,,
54,72,54,54,,
55,72,55,55,,
56,72,56,56,,
57,72,57,57,,
58,72,58,58,,
59,72,59,59,,
60,72,60,60,,
61,72,61,61,,
62,72,62,62,,
63,72,63,63,,
64,72,64,64,,
65,72,65,65,,
66,72,66,66,,
67,72,67,67,,
68,72,68,68,,
69,72,69,69,,
70,72,70,70,,
71,72,71,71,,
72,72,72,72,,
73,72,73,73,,
74,72,74,74,,
75,72,75,75,,
76,72,76,76,,
77,72,77,77,,
78,72,78,78,,
79,72,79,79,,
80,72,80,80,,
81,72,81,81,,
82,72,82,82,,
83,72,83,83,,
84,72,84,84,,
85,72,85,85,,
86,72,86,86,,
87,72,87,87,,
88,72,88,88,,
89,72,89,89,,
90,72,90,90,,
91,72,91,91,,
92,72,92,92,,
93,72,93,93,,
94,72,94,94,,
95,72,95,95,,
96,72,96,96,,
97,72,97,97,,
98,72,98,98,,
99,72,99,99,,
100,72,100,100,,
101,72,101,101,,
102,72,102,102,,
103,72,103,103,,
104,72,104,104,,
105,72,105,105,,
106,72,106,106,,
107,72,107,107,,
108,72,108,108,,
109,72,109,109,,
110,72,110,110,,
111,72,111,111,,
112,72,112,112,,
113,72,113,113,,
114,72,114,114,,
115,72,115,115,,
116,72,116,116,,
117,72,117,117,,
118,72,118,118,,
119,72,119,119,,
120,72,120,120,,
121,72,121,121,,
122,72,122,122,,
123,72,123,123,,
124,72,124,124,,
125,72,125,125,,
126,72,126,126,,
127,72,127,127,,
128,72,128,128,,
129,72,129,129,,
130,72,130,130,,
131,72,131,131,,
132,72,132,132,,
133,72,133,133,,
134,72,134,134,,
135,72,135,135,,
136,72,136,136,,
137,72,137,137,,
138,72,138,138,,
139,72,139,139,,
140,72,140,140,,
141,72,141,141,,
142,72,142,142,,
143,72,143,143,,
144,72,144,144,,
145,72,145,145,,
146,72,146,146,,
147,72,147,147,,
148,72,148,148,,
149,72,149,149,,
150,72,150,150,,
151,72,151,151,,
152,72,152,152,,
153,72,153,153,,
154,72,154,154,,
155,72,155,155,,
156,72,156,156,,
157,72,157,157,,
158,72,158,158,,
159,72,159,159,,
160,72,160,160,,
161,72,161,161,,
162,72,162,162,,
163,72,163,163,,
164,72,164,164,,
165,72,165,165,,
166,72,166,166,,
167,72,167,167,,
168,72,168,168,,
169,72,169,169,,
170,72,170,170,,
171,72,171,171,,
172,72,172,172,,
173,72,173,173,,
174,72,174,174,,
175,72,175,175,,
176,72,176,176,,
177,72,177,177,,
178,72,178,178,,
179,72,179,179,,
180,72,180,180,,
181,72,181,181,,
182,72,182,182,,
183,72,183,183,,
184,72,184,184,,
185,72,185,185,,
186,72,186,186,,
187,72,187,187,,
188,72,188,188,,
189,72,189,189,,
190,72,190,190,,
191,72,191,191,,
192,72,192,192,,
193,72,193,193,,
194,72,194,194,,
195,72,195,195,,
196,72,196,196,,
197,72,197,197,,
198,72,198,198,,
199,72,199,199,,
200,72,200,200,,
201,72,201,201,,
202,72,202,202,,
203,72,203,203,,
204,72,204,204,,
