sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
22,23,22,"Corporation Assistant Engineer Office Complex, Shuttle court IInd Cross Street Raghavan Colony
Chennai-600083","1.Saidapet.Ward No 139 Valluvar Street
2.Saidapet.NewWard No 139 Sambasivan Street 3.Saidapet.Ward No 139 Kothandan Street
4.Saidapet.Ward No 139 Anna Street
5.Saidapet.Ward No 139 Kamarajar Street",All Voters
23,23,23,"Chennai primary School, Class Room-4B West Jones Road Saidapet Chennai- 15 North Face Room","1.Ward No 139 Vijaya Raghavan Street
2.West saidapet.Ward No.139 west jones road",All Voters
24,23,24,"Chennai primary School, Class Room-4C West Jones Road Saidapet Chennai- 15 North Face Room",1.West Saidapet.Ward No.139 Venugopal Street,All Voters
25,23,25,Multipurpose Building RR Colony 2nd cross street jafferkhanpet chennai-600083.,1.Saidapet.Ward No.139 Selva Vinayagar Koil Street 2.Saidapet.Ward No.139 rajambal street,All Voters
26,23,26,"Chennai girls Higher Sec. School , 3A West Jones Road, Chennai- 15 North Face Room","1.West Saidapet.Ward No.139 Perumal Kovil West Mada Street
2.West saidapet.Ward No.139 vinayagar koil street",All Voters
27,23,27,"Chennai girls Higher Sec. School , 3C West Jones Road, Chennai- 15 North Face Room",1.Saidapet.Ward No.139 perumal koil maistry street 2.Saidapet.Ward No.139 Perumal Koil Extension,All Voters
28,23,28,"Chennai girls Higher Sec. School, 3B West Jones Road, Chennai- 15 North Face Room",1.Saidapet.Ward No.139 Devu Street,All Voters
29,23,29,ICDS Building Pillayar koil street R V nagar Jafferkhanpet Chennai-600083 Room no 2,"1.Jafferkhanpet.Ward No.139 tamil nadu slum cleareance board tenaments 2.Jafferkhanpet.Ward No.139 A Block Tamil Nadu Slum Cleareance Board Tenaments
3.Jafferkhanpet.Ward No.139 b block tamil nadu slum cleareance board tenaments
4.Ward No.139 C Block Tamil Nadu Slum Cleareance Board Tenaments 5.Jafferkhanpet.Ward No.139 D Block Tamil Nadu Slum Cleareance Board Tenaments
6.Jafferkhanpet.Ward No.139 E Block Tamil Nadu Slum Cleareance Board Tenaments
7.Jafferkhanpet.Ward No.139 F Block Tamil Nadu Slum Cleareance Board Tenaments
8.Jafferkhanpet,R.V.Nagar.Ward No.139 K Bock Tamil Nadu Slum Cleareance Board Tenaments
9.Jafferkhanpet,R.V.Nagar.Ward No.139 M Block Tamil Nadu Slum Cleareance Board Tenaments
10.Jafferkhanpet R.V.Nagar.Ward No.139 N Block Tamil Nadu Slum Clereance Board Tenaments
11.Jafferkhanpet, R.V.Nagar.Ward No.139 O Block Tamil Nadu Slum Cleareance Board Tenaments
12.Jafferkhanpet, R.V.Nagar.Ward No.139 R Block Tamil Nadu Slum
Cleareance Board Tenaments",All Voters
30,23,30,"ICDS Building, Room3 Jafferkhanpet,Chennai- 83 South Face Room","1.Jafferkhanpet, R.V.Nagar.Ward No.139 S Block Tamil Nadu Slum Cleareance Board Tenaments
2.Jafferkhanpet,R.V.Nagar.Ward No.139 T Block Tamil Nadu Slum Cleareance Board Tenaments
3.Jafferkhanpet, r v.nagar.Ward No.139 v block t n s c b tenaments 4.Jafferkhanpet.Ward No.139 W Block T N S C B Tenaments 5.Jafferkhanpet.Ward No.139 X Block T N S C B Tenaments 6.Jafferkhanpet.Ward No.139 Y Block T N S C B Tenaments 7.Jafferkhanpet.Ward No.139 Z Block T N S C B Tenaments 8.Jafferkhanpet.Ward No.139 AA Block T N S C B Tenaments
9.Jafferkanpet.Ward No.139 U Block TNSCB Tenaments",All Voters
31,23,31,"ICDS Building, Room 4 Jafferkhanpet,Chennai- 83 South Face Room",1.Jafferkanpet.Ward No.139 69th Street T N S C B Tenaments 2.Jafferkanpet.Ward No.139 66th Street T N S C B Tenaments 3.Jafferkanpet.Ward No.139 69th A Street T N S C B Tenaments,All Voters
32,23,32,"ICDS Building, Room 5 Jafferkhanpet,Chennai- 83 South Face Room 1","1.Jafferkanpet.Ward No.139 76th Street T N S C B Tenaments 2.Jafferkanpet.Ward No.139 72nd Street T N S C B Tenaments 3.Jafferkanpet.Ward No.139 74th Street T N S C B Tenaments 4.Jafferkanpet.Ward No.139 75th Street T N S C B Tenaments 5.Jafferkhanpet, R.V.Nagar.Ward No.139 P Block Tamil Nadu Slum Cleareance Board Tenaments
6.Jafferkhanpet, R.V.Nagar.Ward No.139 Q Block Tamil Nadu Slum Cleareance Board Tenaments",All Voters
33,23,33,Chennai primary school Rv nagar School street ch-83 Room no 2,"1Jafferkhanpet.Ward No.139 Lakeview Street
2.Jafferkhanpet.Ward No.139 R.V.Nagar 67th Street 3.Jafferkhanpet.Ward No.139 R.V.Nagar 68th Street 4.Jaffarkhanpet.Ward No.139 Pillaiyar Koil Street",All Voters
34,23,34,Chennai primary school Rv nagar School street ch-83 Room no 2,1.Jaffarkhanpet.Ward No.139 School Main Street 2.Jaffarkhanpet.Ward No.139 School 1st Cross Street 3.Jafferkhanpet.Ward No.139 School 2nd Cross Street 4.Jaffarkhanpet.Ward No.139 School 4th Cross Street 5.Jaffarkhanpet.Ward No.139 School 5 Cross Street 6.Jaffarkhanpet.Ward No.139 School 6th Cross Street 7.Jaffarkhanpet.Ward No.139 School 7th Cross Street 8.Jaffarkhanpet.Ward No.139 School 8th Cross Street,All Voters
35,23,35,"Chennai Middle School,6A Class Room Mettupalyam 23 Perumal Koil Street, Chennai-33 South Face Room",1.West mambalam.WardNo.140 pushpavathi ammal street,All Voters
36,23,36,"Chennai Middle School, Class Room no 7 Mettupalyam 23 Perumal Koil Street, Chennai-33 South Face Room","1.West Mambalam.WardNo.140 Pushpavathi Ammal Street
2.West Mambalam.WardNo.140 Lake View Road 2nd Lane",All Voters
37,23,37,"Chennai Middle School,6B Class Room Mettupalyam 23 Perumal Koil Street, Chennai-33 South Face Room","1.West Mambalam.Ward No 140 Nagarathinammal Colony
2.West mambalam.WardNo.140 bharma kanagkambal street
3.West Mambalam.WardNo.140 Victory Flats (Perumal Koil Street)
4.West Mambalam.WardNo.140 L.I.C Colony",All Voters
38,23,38,"Chennai Middle School, 6D Class Room Mettupalyam, 23 Perumal Koil Street, Chennai-33 South Face Room","1.West Mambalam.WardNo.140 Lake View Road
2.West Mambalam.WardNo.140 Lake View Road Extn West Mambalam,
3.West Mambalam.WardNo.140 Kodampakkam Road West(East Jayaram Street)
4.West mambalam.WardNo.140 Krishnan Street
5.West Mambalam.WardNo.140 Ashok nagar 11th Avenue",All Voters
39,23,39,"Chennai Middle School, (7A Class Room) Mettupalayam 23, Perumal Koil Street, Chennai-33 South Face Room","1.West Mambalam.WardNo.140 Sri Venkateshwar Flats
2.West Mambalam.WardNo.140 Rangaiya Chetty Garden
3.West mambalam.WardNo.140 sruthi flats (rangaiya chetty thottam)+
4.West Mambalam.WardNo.140 Thalaiyar Street And Huts Area",All Voters
40,23,40,"Chennai Middle School,(7 B Class Room) Mettupalayam 23, Perumal Koil Street, Chennai-33 South Face Room","1.West mambalam.WardNo.140 raghavan colony
2.West Mambalam.WardNo.140 Kodambakkam Road
3.West Mambalam.WardNo.140 West Kavarai Street
4.West Mambalam.WardNo.140 Kala Brindavan Flat Door No15 to 17",All Voters
41,23,41,"Chennai Middle School,1Std.A Class Room Mettupalyam, 23 Perumal Koil Street, Chennai-33 South Face Room","1.West Mambalam.WardNo.140 South Kavarai Street
2.West Mambalam.WardNo.140 Perumal Koil Street",All Voters
42,23,42,"Chennai Middle School,1Std. B Class Room Mettupalyam, 23 Perumal Koil Street, Chennai-33 South Face Room","1. west Mambalam ward 140 Nagathamamn koil street
2.West mambalam ward no 140 Nagathamman koil extn
3.West mamabalam ward no 140 Venteraman street
4.West Mambalam.New Ward No.140 T N S C B A Block
5.West Mambalam.New Ward No.140 T N S C B B Block",All Voters
43,23,43,"Chennai Middle School,8A Class Room Mettupalyam 23 Perumal Koil Street, Chennai-33 South Face Room","1.West Mambalam.WardNo.140 North Kavarai Street
2.West Mambalam.WardNo.140 Sembada Street",All Voters
44,23,44,"Chennai Middle School, 8B Class Room Mettupalyam 23 Perumal Koil Street, Chennai-33 South Face Room",1.West Mambalam.WardNo.140 Adikesava Perumal Koil Street,All Voters
45,23,45,"Oxford Matriculation Higher Sec. School,Class Room 1 South K.R. Koil Street, Chennai-600033 South Face Room",1.West Mambalam.WardNo.140 Padavattamman Koil 1st Street,All Voters
46,23,46,"Oxford Matriculation Higher Sec. School,Class Room2 South K.R. Koil Street, Chennai-600033 South Face Room","1.West Mambalam.WardNo.140 Vandikaran Street
2.West Mambalam.WardNo.140 Thiruveethiamman Koil Street",All Voters
47,23,47,"Oxford Matriculation Higher Sec. School,Class Room 3 South K.R. Koil Street, Chennai-600033 South Face Room","1.West Mambalam.WardNo.140 Padavattamman Koil Huts Sections
2.West Mambalam.WardNo.140 Padavattamman Koil 2nd Street
3.West Mambalam.WardNo.140 Palmore street",All Voters
48,23,48,"Oxford Matriculation Higher Sec. School,Class Room 4 South K.R. Koil Street, Chennai-600033 South Face Room","1.West mambalam.WardNo.140 govindan road
2.West Mambalam.WardNo.140 Anand Square Apartment",All Voters
49,23,49,"Chennai Higher Sec School, Class Room-1 No.14 K.R. Koil Street, West Mambalam, Chennai-33 South Face Room","1.West Mambalam.WardNo.140 Kodhandaramar Koil Street
2.West Mambalam.WardNo.140 V.S Apartment
3.West Mambalam.WardNo.140 Kothandaraman Swamy Koil Street",All Voters
50,23,50,"Chennai Higher Sec School,Class Room-2 No.14 K.R. Koil Street, West Mambalam, Chennai-33 South Face Room","1.West Mambalam.WardNo.140 Sambangi South Street (Srinivasan 1st Street)
2.West Mambalam.WardNo.140 Jothiramalingam 2nd Street ""3.West Mambalam.WardNo.140 A Block T.N.S.C.B
Valaithoppu""
""4.West Mambalam.WardNo.140 B Block T.N.S.C.B Valaithoppu"" ""5.West Mambalam.WardNo.140 C Block T.N.S.C.B Valaithoppu"" ""6.West Mambalam.WardNo.140 D Block T.N.S.C.B Valaithoppu"" ""7.West Mambalam.WardNo.140 E Block T.N.S.C.B. Valaithoppu""
8.West mambalam.WardNo.140 f block t.n.s.c.b valaithoppu ""9.West Mambalam.WardNo.140 G Block T.N.S.C.B
Valaithoppu""
""10.West Mambalam.WardNo.140 H Block T.N.S.C.B. Valaithoppu""",All Voters
51,23,51,Sri Ahobila math oriental hr sec school No.116 K R koil street West mamblam Ch-33. Room no.1,"1.West mambalam.WardNo.140 srinivasan street
""2.West Mambalam.WardNo.140 I Block T.N.S.C.B. Valaithoppu"" ""3.West Mambalam.WardNo.140 J Block T.N.S.C.B.
Valaithoppu""",All Voters
52,23,52,Sri Ahobila math oriental hr sec school No.116 K R koil street West mamblam Ch-33. Room no2,"1.West Mambalam.WardNo.140 Sambangi Street
""2.West Mambalam.WardNo.140 M Block T.N.S.C.B. Valaithoppu""
3.West Mambalam.WardNo.140 Ellaiyammam Koil Street",All Voters
53,23,53,Sri Ahobila math oriental hr sec school No.116 K R koil street West mamblam Ch-33. Room no.3,"1.West Mambalam.WardNo.140 Mangadu Apartment
2.West Mambalam.WardNo.140 Femina Homes
3.West Mambalam.WardNo.140 Rain Bow Apartment
4.West Mambalam.Word No 140 Ramaiyah Street
5.West Mambalam.WardNo.140 Vadivelpuram
6.West Mambalam Ward No 140 K Block T.N.S.C.B. Valaithoppu ""7.West Mambalam.WardNo.140 L Block T.N.S.C.B
Valaithoppu""",All Voters
54,23,54,"Oxford Matriculation Higher Sec. School, Class Room-4 South
K.R. Koil Street, Chennai-33 South Face Room","1.West Mambalam.WardNo.140 South K.R. Koil Street
2.West mambalam.WardNo.140 devanathan colony",All Voters
55,23,55,"Oxford Matriculation Higher Sec. School,Class Room-5 South K.R. Koil Street, Chennai-600033 South Face Room","1.West Mambalam.WardNo.140 Kurinji Flats
2.West Mambalam.WardNo.140 Reddikuppam Salai
3.West Mambalam.WardNo.140 Susmitha Flat
4.West Mambalam.WardNo.140 Shanthi Apartment",All Voters
56,23,56,Sri Ahobila math oriental hr sec school No.116 K R koil street West mamblam Ch-33. Room no.4,"1.West Mambalam.WardNo.140 Jothi Ramalingam Street
2.West Mambalam.WardNo.140 Arangappan Street",All Voters
57,23,57,"Anna Poorani Ammal Middle School, Class Room-1A Old Mambalam Road, Chennai-33 North Face Room","1.Saidapet.Ward No.140 Kumaran Colony 2nd Street
""2.West Mambalam.WardNo.140 School New Street New No. 1 to""
3.West mambalam.WardNo.140 saradambal street",All Voters
58,23,58,"Anna Poorani Ammal Middle School, Class Room-1B Old Mambalam Road, Chennai-33 North Face Room","1.West Mambalam.WardNo.140 Kumaran Colony 1st Street
2.West Mambalam.WardNo.140 Reddy Salai
3.West Mambalam.WardNo.140 Vatsalyam Apartment Door. No 7 to 8",All Voters
59,23,59,"Anna Poorani Ammal Middle School, 6A- Class Room 99, Old Mambalam Road, Chennai-33 North Face Room",1.Saidapet.Ward No.140 Nethaji Street 2.Saidapet.Ward No.140 rajaji street 3.Saidapet.Ward No.140 Vijaya Shanthi Flats,All Voters
60,23,60,"Anna Poorani Ammal Middle School,6B Class Room No.17 Old Mambalam Road, Chennai-33 North Face Room",1.West Mambalam.WardNo.140 Dhanapal Street Door no 1 to 50,All Voters
61,23,61,"Anna Poorani Ammal Middle School,6C Class Room No.17 Old Mambalam Road, Chennai-33 North Face Room","1.West Mambalam.WardNo.140 Dhanapal Street Door no 51 to 100
2.West Mambalam.WardNo.140 Saibaba Street (Dhanapal Lane)",All Voters
62,23,62,"Anna Poorani Ammal Middle School, 7A Class Room No.17 Old Mambalam Road, Chennai-33 North Face Room",1.Saidapet.Ward No.140 sadaiyappan street Door No 1 to 50,All Voters
63,23,63,"Anna Poorani Ammal Middle School, 7B Class Room No.17 Old Mambalam Road, Chennai-33 North Face Room",1.Saidapet.Ward No.140 sadaiyappan street Door No 51 To End,All Voters
64,23,64,"Chennai Boys Hr Sec School , Class Room- 1A Kodambakkam Road, Chennai-33 South Face Room","1.West Mambalam.WardNo.140 Karunanidhi Cross Street
2.West Mambalam.WardNo.140 Kalaingar Karunanidhi 2nd Street
3.West Mambalam.WardNo.140 Kalaingar Karunanidhi First Street",All Voters
65,23,65,"Chennai Boys Hr Sec School , Class Room- 1A Kodambakkam Road, Chennai-33 South Face Room",1.West mambalam.WardNo.140 kodambakkam road,All Voters
66,23,66,"Anna Poorani Ammal Middle School, 8A Class Room No.17 Old Mambalam Road, Chennai-33 North Face Room",1.Saidapet.Ward No.140 old mambalam road,All Voters
67,23,67,"Anna Poorani Ammal Middle School, 8B Class Room No.17 Old Mambalam Road, Chennai-33 North Face Room",1.West mambalam.WardNo.140 old mambalam salai,All Voters
68,23,68,"Chennai Boys Hr Sec School, Room 1 Kodambakkam Road, Chennai-33 South Face Room",1.West Mambalam.WardNo.139 Annamalai Nagar 2nd Street,All Voters
69,23,69,"Chennai Boys Hr Sec School, Room 2Kodambakkam Road, Chennai-33 South Face Room",1.West Mambalam.WardNo.139 Annamalai Nagar 1st Street,All Voters
70,23,70,"Chennai Boys Higher
Secondary School, South Face Room 3 Manthope Kodambakkam Road, Chennai-600033 South Face Room","1.West mambalam.WardNo.139 annamalai nagar 3rd street
2.West Mambalam.WardNo.139 Vasuki Street New No. 1 to 8",All Voters
71,23,71,"Chennai Boys Higher Secondary School, Class Room-1B Manthope Kodambakkam Road, Chennai-600033 South Face Room","1.West Mambalam.WardNo.139 V.O.C. Street New No. 1 to 24 ""2.West Mambalam.WardNo.139 Jayamram Street New No.
1 to 28""
3.West Mambalam.WardNo.139 Avvai Street",All Voters
72,23,72,"Chennai Boys Higher Secondary School, Class Room-2A No:2,Manthope Kodambakkam Road, Chennai-33 South Face Room","1.West Mambalam.WardNo.139 Anna Street
2.West Mambalam.WardNo.139 Pillaiyar Kovil Street West
3.West Mambalam.WardNo.139 Thiru vi ka Street West Mambalam",All Voters
73,23,73,"Chennai Boys Higher Secondary School,Class Room-2B No:2,Manthope Kodambakkam Road, Chennai-33 South Face Room","1.West mambalam.WardNo.139 periyar ramasamy street new no. 1 to
2.West Mambalam.WardNo.139 Kamaraj Street",All Voters
74,23,74,"Chennai Boys Higher Secondary School, Class Room-3A 26, Manthope Kodambakkam Road, Chennai-33 South Face Room",1.Saidapet.Ward No.140 krishnappa naickan street,All Voters
75,23,75,"Chennai Boys Higher Secondary School, Class Room-3B 26, Manthope Kodambakkam Road, Chennai-33 South Face Room",1.Saidapet.Ward No.140 Vishaka Thottam New No 1 to 88,All Voters
76,23,76,"Chennai Boys Higher Secondary School, Class Room-3C 26, Manthope Kodambakkam Road, Chennai-33 South Face Room",1.Saidapet.Ward No.140 jones salai,All Voters
77,23,77,"Chennai Boys Higher Secondary School, Class Room-4A 26, Manthope Kodambakkam Road, Chennai-33 South Face Room",1.Saidapet.Ward No.140 Temple View Apartments 2.Saidapet.Ward No.140 karani thottam 1 st street 3.Saidapet.Ward No.140 Karani Thottam 2nd Street,All Voters
78,23,78,"Chennai Boys Higher Secondary School, Class Room-4B 26, Manthope Kodambakkam Road, Chennai-33 South Face Room",1.Saidapet.Ward No.140 karanithottam 3rd street 2.Saidapet.Ward No.140 karani thottam main road,All Voters
79,23,79,"Chennai Girls Higher Sec School, Class Room-3C West Jones Road, Chennai-15 North Face Room",1.Saidapet.Ward No.142 West Jones Road,All Voters
80,23,80,"Chennai Girls Higher Sec School , Class Room-3D West Jones Road, Chennai-15 North Face Room",1.Saidapet.Ward No.142 Thirumurugan Street 2.Saidapet.Ward No 142 Saidai Sambanandan Salai,All Voters
81,23,81,"Chennai Girls Higher Sec School , Class Room-4A West Jones Road, Chennai-15 North Face Room",1.Saidapet.Ward No.142 thiruvalluvar street 2.Saidapet.Ward No.142 Natarasan Street,All Voters
82,23,82,"Chennai Girls Higher Sec School , Class Room-4B West Jones Road, Chennai-15 North Face Room","1.Saidapet.Ward No.142 jayaram street
2.Saidapet.Ward No.142 kootthadum pillaiyar koil street",All Voters
83,23,83,"Chennai Girls Higher Sec School, 4C West Jones Road, Chennai- 15 North Face Room","""1. saidapet Ward no 142 Koothadum pillayar koil street 51End"" ""2. saidapet Ward no 142 Koothadum pillayar koil street 51End""
3.Saidapet.Ward No.142 Koothadum Pillaiyar Kovil Street Right side",All Voters
84,23,84,"Annai Velankanni Matriculation Higher Sec. School, Class Room-1A V.G.P Salai Chennai-15 South Face Room","1.Saidapet.Ward No.142 bharathiyar street 2.Saidapet.Ward No.142 ramanujam street
3.Saidapet.Ward No.142 ramapuram ramasamy street 4.Saidapet.Ward No.142 Anupuvi Foundation
5.Saidapet.Ward No.142 mosque ditch 2nd street",All Voters
85,23,85,"Annai Velankanni Matriculation Higher Sec. School,Class Room-1B V.G.P Salai Chennai-15 South Face Room","1.Saidapet.Ward No.142 Rajagopal Street
2.Saidapet.Ward No. 142 Karunakaran Street 3.Saidapet.Ward No.142 Chinnammal Street
4.Saidapet.Ward No.142 Dhanasekaran Street",All Voters
86,23,86,"Annai Velankanni Matriculation Higher Sec. School,Class Room-2A V.G.P Salai Chennai-15 South Face Room",1.Saidapet.Ward No.142 Mosque Lane 2.Saidapet.Ward No. 142 Mosque 1st Street,All Voters
87,23,87,"Chennai Girls Higher Sec School, West Jones Road, Saidapet, Chennai-600015( ICDS Centre)","1.Saidapet.Ward No.142 masuthi street
2.Saidapet.Ward No.142 Kanagatara Flats 3.Saidapet.Ward No.142 Darsan Flats",All Voters
88,23,88,"Chennai Girls Higher Sec School, West Jones Road, Saidapet, Chennai-600015( ICDS Centre)",1.Saidapet.Ward No.142 perumal koil street,All Voters
89,23,89,"Chennai Girls Higher Sec School, Class Room5A No.8 West facing West Jones Road, Chennai-15 North Face Room",1.Saidapet.Ward No.142 divan bhasyam street,All Voters
90,23,90,"Chennai Girls Higher Sec School,Class Room 5B No.8 West facing West Jones Road, Chennai-15 North Face Room",1.Saidapet.Ward No 142 Vaniyar Street 2.Saidapet.Ward No.142 Elaiyalwar Koil Street,All Voters
91,23,91,"Chennai Girls Higher Sec School,Class Room5C No.8 West facing West Jones Road, Chennai-15 North Face Room","1.Saidapet.Wardno.142 kavarai street
2.Saidapet.Ward No.142 Senthil Apartments 3.Saidapet.Ward No.142 Eluzmalai Street
4.Saidapet.Ward No.142 Kamkodi Street
5.Saidapet.Ward No.142 Balakrishnan Street",All Voters
92,23,92,"Chennai Girls Higher Sec School,Class Room 6A No.8 West facing West Jones Road, Chennai-15 North Face Room",1.Saidapet.Ward No.142 Kambar Street 2.Saidapet.Ward No.142 Thadirathnam Street 3.Saidapet.Ward No.142 Rengabashyam Street,All Voters
