sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
1,23,1,"Corporation Assistant Engineer Office, Complex IInd Cross Street Raghavan Colony Chennai-600083","1 - Jafferkhanpet, Ward No.139 Raghavan colony 1st Link Street
2 - Jafferkhanpet, Ward No.139 Raghavan Colony 2nd Link Street
3 - Jafferkhanpet, Ward No.139 Raghavan Colony West Street
4 - Jafferkhanpet, Ward No.139 M.I.G Apartments
5 - Jafferkhanpet, Ward No.139 Raghavan Colony 1st Street
6 - Jafferkhanpet, Ward no.139 Raghavan colony 2nd Cross Street
7 - Jafferkhanpet, Ward No.139 Raghavan Colony 4th Street
8 - Jafferkhanpet, Ward No.139 Raghavan Colony 3rd Street 999 - Overseas Elector",All Voters
2,23,2,"Corporation Assistant Engineer Office, Complex IInd Cross Street Raghavan Colony Chennai-600083","1 - Jafferkhanpet, Ward No.139 Raghavan colony 1st cross street
2 - Jafferkhanpet, Ward No.139 Raghavan Colony 2nd Street
3 - Jafferkhanpet, Ward No.139 Raghavan Colony East Street
4 - Jafferkhanpet, Ward No.139 Kuppusamy street
5 - Jafferkhanpet, Ward No.139 Mahadevan Street",All Voters
3,23,3,"Chennai Primary School, -1A West Jones Road Saidapet Chennai-15","1.West Saidapet.Ward No.139 Munusamy Street
2.West Saidapet.Ward No.139 Punniyakodi Street
3.West Saidapet.Ward No.139 Gangai Amman Koil Street (Huts)",All Voters
4,23,4,"Chennai primary School, 1B Jones Road Saidapet Chennai- 15","1.West saidapet.Ward No.139 murahari salai
2.West Saidapet.Ward No.139 Amman Kannamma Street",All Voters
5,23,5,ICDS Building R R Colony Jafferkhanpet Chennai-600083,1.Jafferkhanpet.Ward No.139 vathiyar subburaya muthali thottam street,All Voters
6,23,6,ICDS Building R R Colony Jafferkhanpet Chennai-600083,1.Jafferkhanpet.Ward No.139 vathiyar subburaya muthali thottam street,All Voters
7,23,7,ICDS Building R R Colony Jafferkhanpet Chennai-600083,"1.Jafferkhanpet.Ward No.139 Homes India Apartments 2.Jafferkanpet.Ward No.139 Arumugam Street
3.Jafferkanpet.Ward No.139 Lakshmi Street 4.Jafferkanpet.Ward No.139 Appadurai Street
5.Jafferkanpet.Ward No.139 Vaathiyar Subbaraya 2nd Street",All Voters
8,23,8,"Corporation Assistant Engineer Office Complex, Shuttle court IInd Cross Street Raghavan Colony
Chennai-600083","1.West Saidapet.Ward No.139 Mani Street
2.West Saidapet.Ward No.139, Gandhi Street",All Voters
9,23,9,"Chennai High School, I Pillaiar Koil Street R V Nagar Jafferkhanpet, Chennai-83",1.Jafferkhanpet.Ward No.139 Veethi Mariyamman Koil Street 2.Jafferkanpet.Ward No.139 Veethi Maariamman Koil 1st Street 3.Jafferkhanpet.Ward No.139 Veethi Mariyamman Koil 2nd Street,All Voters
10,23,10,"Chennai High School, Pillaiyar Koil Street II R V Nagar Jafferkhanpet, Chennai-83 East Face Room 4A",1.Jafferkhanpet.Ward No.139 Alaya Mesthiri Thottam 2..Jafferkhanpet.Ward No.139 Balasubramaniyam Street 3.Jafferkanpet.Ward No.139 Kannammal Street,All Voters
11,23,11,"Chennai High School, 1B Class Room Pillaiar Koil Street R V Nagar Jafferkhanpet, Chennai-
83 East Face Room","1.Jafferkhanpet.Ward No.139 Vadivel Street 2..Jafferkanpet.Ward No.139 Balakrishnan Street
3.Jafferkanpet.Ward No.139 Appaiya Maistry Street 4.Jafferkanpet.Ward No.139 vadivel naickan street 5.Jafferkanpet.Ward No.139 Nakiran Street
6.Jafferkanpet.Ward No.139 Thilakar Street",All Voters
12,23,12,"Chennai High School, Pillaiar Koil Street R V Nagar Jafferkhanpet, Chennai-
83 East Face Room",1.Jafferkhanpet.Ward No.139 Guindy Rathinam Street 2.Jafferkhanpet.Ward No.139 Sivanandham Street 3.Jafferkhanpet.Ward No.139 Poongavanam Street 4.Jafferkhanpet.Ward No.139 Govindhasamy Street,All Voters
13,23,13,"Chennai High School,2BClass Room Pillaiar Koil Street R V Nagar Jafferkhanpet, Chennai-
83 East Face Room",1.Jafferkhanpet.Ward No.139 Gangai Amman Koil Street,All Voters
14,23,14,"Chennai High School, 2A Class Room Pillaiar Koil Street R V Nagar Jafferkhanpet, Chennai-
83 East Face Room","1.Jafferkanpet.Ward No.139 Sundaramoorthy Street 2.Jafferkanpet.Ward No.139 Gopal Street
3.Jafferkanpet.Ward No.139 munusamy street 4.Jafferkanpet.Ward No.139 Arumugam Street 5.Jafferkanpet.Ward No.139 Seetha Street 6.Jafferkanpet.Ward No.139 Kamber Street (Bharathi Block)
7.Jafferkanpet.Ward No.139 New Errikarai Gangai Amman Street",All Voters
15,23,15,Mani Megalai Vidhayala Nursery primary school No.3A Murgesan street Muthurangan street Jafferkhanpet Chennai-600083 Room no 2,1.Jafferkhanpet.Ward No.139 Janakiraman Street 2.Jafferkhanpet.Ward No.139 Subramaniyam Street 3.Jafferkhanpet.Ward No.139 Palaniyappan Street 4.Jafferkanpet.Ward No.139 Ragavan Street,All Voters
16,23,16,Mani Megalai Vidhayala Nursery primary school No.3A Murgesan street Muthurangan street Jafferkhanpet Chennai-600083 Room no 1,1.Jafferkhanpet.Ward No.139 Venkatachalam Street 2.Jafferkanpet.Ward No.139 Elango Adigal Street 3.Jaffarkhanpet.Ward No.139 V K Krishnan Street 4.Jaffarkhanpet.Ward No.139 Devarajan Street 5.Jaffarkhanpet.Ward No.139 Arunachalam Street,All Voters
17,23,17,"Chennai High School, Pillaiar Koil Street R V Nagar Jafferkhanpet, Chennai-83 East Face Room V class","1.Jafferkanpet.Ward No.139 Sivaguru Street 2.Jafferkanpet.Ward No.139 Ganesan Street ""3.Jafferkanpet.Ward No.139
S.V. Chindambaram Street""
4.Jafferkanpet.Ward No.139 Murugesan Street 5.Jafferkanpet.Ward No.139 Manickam Street",All Voters
18,23,18,ICDS Building Pillayar koil street R V nagar Jafferkhanpet Chennai-600083 Room no 1,1.Jaffarkhanpet.Ward No.139 Arumugam Street 2.Jaffarkhanpet.Ward No.139 Mahadevan Street 3.Jaffarkhanpet.Ward No.139 Kanniyappan Street 4.Jaffarkhanpet.Ward No.139 Bhaskaran Street 5.Jaffarkhanpet.Ward No.139 Murasolimaran Street 6.Jaffarkhanpet.Ward No.139 rajabhadhar street,All Voters
19,23,19,"Corporation Assistant Engineer Office Complex, Shuttle court IInd Cross Street Raghavan Colony
Chennai-600083",1.Jafferkanpet.Ward No.139 Subramani Street 2.Jafferkanpet.Ward No.139 Suseela Street 3.Jafferkanpet.Ward No.139 deiva nambi street,All Voters
20,23,20,"Corporation Assistant Engineer Office, IInd Cross Street Raghavan Colony, Chennai-83 Room no 2","1.Saidapet.Ward No.139 New Colony Main Road
2.West Saidapet.Ward No.139 New Colony 1st street 3.Saidapet.Ward No.139 New Colony 2nd Street
3.Saidapet.Ward No.139 New Colony 3rd cross Street",All Voters
21,23,21,"Corporation Assistant Engineer Office, IInd Cross Street Raghavan Colony, Chennai-83 Room no3","1.Jafferkanpet.1.Jafferkanpet.Ward No.139 Natarajan Street 2.Saidapet.Ward No.139 New Colony 4th Cross Street
3.Saidapet.Ward No.139 New Colony 4th Street",All Voters
