sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,0,total_valid_votes,rejected_votes,total,tendered_votes
0,12,0,0,570,34,2,1,0,0,0,1,1,90,0,0,1,9,1,580,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,7,0,0,3,1,0,0,0,0,0,3,1309,235,1547,0
1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,1,0,164,21,0,1,0,0,0,0,0,30,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,530,0,532,0
2,12,2,0,260,14,2,0,0,1,1,1,1,72,2,2,0,1,3,496,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,862,0,863,0
3,12,3,0,311,31,1,0,0,0,1,1,0,32,0,0,1,0,1,497,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,3,887,0,890,0
4,12,4,0,284,27,1,3,0,0,0,0,0,38,1,0,2,0,3,507,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,3,876,0,879,0
5,12,5,0,279,32,1,0,0,0,0,0,0,42,0,0,0,0,0,396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,754,0,755,0
6,12,6,0,238,48,0,0,1,0,0,1,0,46,0,0,0,1,1,445,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,783,0,784,0
7,12,7,0,275,27,2,0,0,0,0,0,0,31,0,0,0,4,0,573,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,915,0,916,0
8,12,8,0,183,25,1,0,0,0,0,0,1,32,0,0,2,0,1,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,736,0,740,0
9,12,9,0,183,31,0,0,0,0,0,0,0,18,1,0,0,1,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,3,742,0,745,1
10,12,10,0,276,34,0,0,0,0,0,0,0,40,0,0,0,0,0,466,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,7,825,0,832,0
11,12,11,0,278,19,1,1,0,0,0,1,0,23,0,0,1,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,1,0,1,0,3,818,0,821,0
12,12,12,0,221,19,0,1,0,0,0,0,0,21,1,0,1,1,0,416,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,688,0,690,0
