sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,0,total_valid_votes,rejected_votes,total,tendered_votes
0,121,0,0,5,84,710,862,3,1,1,0,438,5,0,1,1,1,0,0,0,1,3,0,0,2,0,0,3,0,3,2,26,2126,105,2257,0
1,121,1,0,3,29,279,134,0,1,0,0,235,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,685,0,690,0
1,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,121,2,0,0,34,191,133,4,0,0,1,332,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,3,700,0,703,0
3,121,3,0,1,37,228,183,0,0,1,0,318,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,5,774,0,779,0
4,121,4,0,1,27,204,171,3,0,0,1,346,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,758,0,760,0
5,121,5,0,3,27,170,107,0,1,1,1,180,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,493,0,496,0
6,121,6,0,1,24,283,117,0,0,0,0,212,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,644,0,647,0
7,121,7,0,2,23,153,141,3,0,1,0,167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,491,0,498,0
8,121,8,0,3,40,193,163,1,0,0,0,313,3,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,5,722,0,727,0
9,121,9,0,1,30,218,147,1,0,1,1,222,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,627,0,630,0
10,121,10,0,0,33,109,118,0,1,0,0,251,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,1,0,1,0,520,0,520,0
11,121,11,0,0,38,233,148,1,1,2,0,318,0,0,0,0,0,0,0,2,0,3,3,1,0,0,0,1,0,0,1,4,752,0,756,0
12,121,12,0,1,10,67,215,0,0,1,0,252,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,552,0,553,0
13,121,13,0,1,2,79,187,0,0,1,2,257,1,2,1,2,2,0,0,0,0,1,1,2,1,0,0,2,1,1,0,1,546,0,547,0
14,121,14,0,0,34,216,132,0,0,1,0,377,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,765,0,768,0
15,121,15,0,1,30,173,125,1,0,0,0,260,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,593,0,596,0
16,121,16,0,4,34,209,242,1,0,1,1,374,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,3,5,874,0,879,0
17,121,17,0,2,28,194,188,0,2,1,0,319,1,0,0,0,0,0,1,2,0,1,5,1,0,0,0,0,0,0,2,2,747,0,749,0
18,121,18,0,0,27,116,210,1,0,2,1,235,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,596,0,601,0
19,121,19,0,0,29,155,212,1,0,0,0,192,1,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,1,3,597,0,600,0
20,121,20,0,2,35,259,177,1,0,0,1,240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,716,0,722,0
21,121,21,0,1,12,113,129,1,0,1,0,165,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,4,426,0,430,0
22,121,22,0,1,30,149,151,1,0,1,0,202,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,538,0,542,0
23,121,23,0,1,14,99,112,1,1,1,0,199,1,0,0,0,0,0,0,3,1,2,1,0,2,0,0,1,0,1,0,7,440,0,447,0
24,121,24,0,0,30,121,178,0,1,0,0,158,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,491,0,495,0
25,121,25,0,0,28,198,144,1,1,3,1,225,1,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,1,1,9,611,0,620,0
26,121,26,0,1,35,143,233,0,0,1,0,314,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,3,734,0,737,0
27,121,27,0,1,16,184,216,1,1,0,4,477,1,0,0,0,2,0,0,1,1,2,5,1,0,1,0,3,0,0,0,5,917,0,922,0
28,121,28,0,0,12,68,99,0,1,1,0,165,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,350,0,352,0
29,121,29,0,0,10,150,134,0,0,1,0,207,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,3,508,0,511,0
30,121,30,0,0,19,125,112,0,8,1,0,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,422,0,425,0
31,121,31,0,0,7,144,108,0,0,0,0,184,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,446,0,446,0
32,121,32,0,0,23,139,266,1,1,0,0,289,2,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,1,0,0,6,728,0,734,0
