sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,total_valid_votes,rejected_votes,total,tendered_votes
195,36,195,0,223,29,0,65,161,4,0,0,0,0,0,0,0,0,2,482,0,484,0
196,36,196,0,231,16,0,196,144,1,0,0,0,0,0,0,0,0,3,588,0,591,0
197,36,197,0,181,25,2,85,339,3,0,0,0,0,1,0,0,1,1,637,0,638,0
198,36,198,0,229,9,0,80,313,1,1,0,0,0,0,2,3,1,8,639,0,647,0
199,36,199,0,276,33,1,150,251,2,0,0,0,0,3,4,0,0,8,720,0,728,0
200,36,200,0,270,27,1,267,279,2,3,1,2,1,11,5,1,1,12,871,0,883,0
201,36,201,0,273,22,0,126,314,2,0,0,0,0,0,3,1,1,4,742,0,746,0
202,36,202,0,373,19,1,203,323,1,0,0,0,1,3,1,0,1,7,926,0,933,0
203,36,203,0,212,9,0,387,242,0,1,1,0,0,6,2,0,0,0,860,0,860,0
204,36,204,0,295,11,1,289,218,0,0,0,0,0,0,3,0,0,3,817,0,820,0
205,36,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,36,205,0,132,8,0,437,94,0,0,0,0,0,1,1,0,0,0,673,0,673,0
206,36,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,36,206,0,87,6,1,135,87,0,0,0,0,0,1,2,0,0,5,319,0,324,0
207,36,207,0,260,6,3,554,72,0,0,0,0,0,2,4,1,0,6,902,0,908,0
208,36,208,0,112,19,2,364,142,0,0,1,0,0,3,1,3,0,5,647,0,652,0
209,36,209,0,154,7,1,428,120,1,1,0,0,0,2,1,0,1,3,716,0,719,0
210,36,210,0,217,15,2,198,269,0,0,1,0,0,3,4,1,2,10,712,0,722,0
211,36,211,0,211,7,0,240,183,0,0,0,0,1,0,2,1,1,1,646,0,647,0
212,36,212,0,239,30,1,171,383,1,2,0,4,0,2,3,2,1,5,839,0,844,0
213,36,213,0,310,32,0,303,264,1,2,1,1,0,2,0,1,1,3,918,0,921,0
214,36,214,0,225,14,1,68,292,0,1,0,0,0,0,0,0,1,5,602,0,607,0
215,36,215,0,252,24,1,197,253,0,1,0,0,1,3,0,1,2,9,735,0,744,0
216,36,216,0,259,25,0,166,252,3,0,0,0,1,2,2,3,0,3,713,0,716,0
217,36,217,0,90,8,1,75,179,1,0,0,0,0,2,1,0,0,2,357,0,359,0
218,36,218,0,227,9,1,202,349,1,0,0,0,0,5,4,0,2,3,800,0,803,0
219,36,219,0,89,7,0,62,113,0,0,0,0,0,0,0,0,0,2,271,0,273,0
220,36,220,0,198,25,1,356,117,1,1,0,0,0,1,2,1,1,1,704,0,705,0
221,36,221,0,133,9,2,66,167,0,0,0,0,0,0,0,0,0,3,377,0,380,0
222,36,222,0,368,21,2,182,334,2,1,0,0,0,1,1,1,1,8,914,0,922,0
223,36,223,0,239,17,2,85,286,2,1,1,0,1,0,2,1,0,6,637,0,643,0
224,36,224,0,270,14,2,140,301,2,0,1,0,1,2,3,0,2,7,738,0,745,0
225,36,225,0,286,16,0,217,299,2,2,0,0,1,2,0,1,3,1,829,0,830,0
226,36,226,0,214,22,2,469,145,1,1,1,1,2,3,1,1,1,4,864,0,868,0
227,36,227,0,242,13,2,149,181,0,0,1,0,0,0,0,0,0,1,588,0,589,0
228,36,228,0,285,20,1,103,287,2,1,0,0,0,2,0,1,0,7,702,0,709,0
229,36,229,0,210,7,0,319,176,0,1,0,0,0,0,0,0,0,2,713,0,715,0
230,36,230,0,230,27,0,173,407,0,3,0,0,1,11,3,0,1,0,856,0,856,0
231,36,231,0,268,13,1,217,230,4,1,0,1,0,0,0,0,0,3,735,0,738,0
232,36,232,0,244,9,0,142,183,1,0,0,0,0,1,0,1,0,5,581,0,586,0
233,36,233,0,205,10,1,92,175,0,0,0,0,0,1,0,0,0,0,484,0,484,0
234,36,234,0,175,7,1,90,219,11,0,0,1,0,1,1,0,1,5,507,0,512,0
235,36,235,0,232,16,0,242,259,1,2,0,0,0,4,0,1,0,6,757,0,763,0
236,36,236,0,162,5,2,494,202,0,3,0,1,0,3,4,1,4,6,881,0,887,0
237,36,237,0,179,8,0,433,176,0,1,0,0,0,2,2,1,0,3,802,0,805,0
238,36,238,0,91,7,1,133,138,1,0,0,0,0,4,1,0,0,1,376,0,377,0
239,36,239,0,275,15,0,40,234,1,1,0,1,0,5,0,1,0,3,573,0,576,0
240,36,240,0,192,8,0,270,216,0,1,0,0,0,4,1,0,0,7,692,0,699,0
241,36,241,0,85,3,0,115,135,2,0,0,0,0,0,1,0,0,2,341,0,343,0
242,36,242,0,261,8,1,240,246,7,0,0,0,1,0,1,0,0,5,765,0,770,0
243,36,243,0,191,11,1,342,257,3,0,1,0,1,4,0,0,0,0,811,0,811,0
244,36,244,0,171,12,0,171,195,0,0,0,0,0,0,0,3,1,2,553,0,555,0
245,36,245,0,194,13,2,201,197,0,0,0,0,0,0,0,2,0,5,609,0,614,0
246,36,246,0,274,17,0,97,298,2,0,0,2,0,1,0,1,0,8,692,0,700,0
247,36,247,0,147,13,1,273,147,0,0,0,0,0,0,0,0,1,0,582,0,582,0
248,36,248,0,132,16,1,251,238,1,1,0,0,0,0,1,0,0,2,641,0,643,0
249,36,249,0,197,15,0,191,233,0,1,1,1,0,4,2,1,1,3,647,0,650,0
250,36,250,0,216,15,0,324,251,0,1,2,0,1,6,3,1,1,10,821,0,831,0
251,36,251,0,272,14,0,199,259,1,1,0,0,1,2,0,2,0,5,751,0,756,0
252,36,252,0,214,13,1,155,106,0,0,0,0,0,1,0,1,0,5,491,0,496,0
253,36,253,0,209,20,1,229,172,1,0,0,0,0,2,0,0,0,3,634,0,637,0
254,36,254,0,213,13,4,209,205,1,0,0,1,0,4,1,1,0,5,652,0,657,0
255,36,255,0,243,22,2,251,228,3,0,1,0,1,4,0,0,1,4,756,0,760,0
256,36,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,36,256,0,222,15,0,391,141,0,0,0,0,0,5,1,1,2,5,778,0,783,0
257,36,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,36,257,0,301,14,2,130,259,0,0,0,0,0,0,0,2,0,2,708,0,710,0
258,36,258,0,259,9,0,466,188,0,2,1,0,0,3,1,0,6,8,935,0,943,0
259,36,259,0,290,32,0,178,444,2,1,1,0,1,3,0,2,2,5,956,0,961,0
260,36,260,0,286,30,0,150,285,1,1,0,0,0,2,2,1,0,1,758,0,759,0
261,36,261,0,372,11,1,119,303,1,0,0,0,1,2,1,0,0,7,811,0,818,0
262,36,262,0,288,27,0,294,309,2,1,1,0,0,5,2,0,1,5,930,0,935,0
263,36,263,0,216,15,0,105,279,0,2,0,0,0,0,0,0,0,2,617,0,619,0
264,36,264,0,156,10,0,224,94,0,0,0,0,0,3,0,0,1,5,488,0,493,0
265,36,265,0,301,16,1,155,240,0,0,0,0,0,2,2,0,0,2,717,0,719,0
266,36,266,0,176,15,1,138,266,0,0,0,0,0,0,0,2,0,4,598,0,602,0
267,36,267,0,164,59,3,141,379,1,3,3,1,1,2,2,1,1,2,761,0,763,0
