sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,total_valid_votes,rejected_votes,total,tendered_votes
93,36,93,0,271,22,2,189,362,0,3,0,0,1,3,4,2,1,6,860,0,866,0
94,36,94,0,198,26,1,163,298,0,1,0,0,1,2,0,2,3,0,695,0,695,0
95,36,95,0,171,5,3,317,152,0,0,0,0,0,2,2,1,1,7,654,0,661,0
96,36,96,0,286,12,0,59,312,0,0,0,0,1,0,0,0,0,6,670,0,676,0
97,36,97,0,388,21,1,102,317,1,0,0,0,1,0,1,0,0,4,832,0,836,0
98,36,98,0,342,14,1,68,325,0,1,0,0,0,2,1,0,0,3,754,0,757,0
99,36,99,0,263,18,0,46,321,1,0,0,0,0,1,0,0,0,2,650,0,652,0
100,36,100,0,301,12,3,222,391,1,3,0,0,1,6,0,2,0,0,942,0,942,0
101,36,101,0,318,40,2,200,476,1,1,1,0,1,2,5,2,0,10,1049,0,1059,0
102,36,102,0,214,30,2,387,414,3,2,0,0,2,3,3,0,0,4,1060,0,1064,0
103,36,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,36,103,0,240,26,0,245,198,0,0,0,0,0,0,2,1,2,4,714,0,718,0
104,36,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,36,104,0,222,45,1,119,354,3,1,1,1,1,5,0,1,2,7,756,0,763,0
105,36,105,0,171,16,0,104,193,0,0,0,0,0,2,3,0,0,7,489,0,496,0
106,36,106,0,267,24,2,149,455,1,3,1,2,0,4,4,0,0,7,912,0,919,0
107,36,107,0,259,21,2,376,305,0,0,0,1,0,1,1,0,0,3,966,0,969,0
108,36,108,0,270,5,0,176,302,1,0,0,0,0,4,0,0,0,3,758,0,761,0
109,36,109,0,198,10,4,478,146,0,0,0,0,0,4,0,1,0,1,841,0,842,0
110,36,110,0,76,7,4,320,108,0,1,0,0,0,1,1,0,0,2,518,0,520,0
111,36,111,0,124,16,2,348,311,2,0,0,0,0,1,1,0,1,2,806,0,808,0
112,36,112,0,89,19,0,159,186,0,0,0,0,1,2,2,0,1,1,459,0,460,0
113,36,113,0,132,9,0,252,257,0,1,0,0,0,1,1,0,0,3,653,0,656,0
114,36,114,0,90,9,0,134,184,0,1,0,0,0,0,1,0,1,3,420,0,423,0
115,36,115,0,189,14,1,128,298,0,0,0,0,0,1,1,0,1,1,633,0,634,0
116,36,116,0,284,23,3,38,398,0,2,0,0,0,0,0,1,0,2,749,0,751,0
117,36,117,0,142,16,1,27,301,0,0,1,0,0,0,3,0,1,2,492,0,494,0
118,36,118,0,106,8,1,272,147,0,0,0,0,0,0,1,1,1,2,537,0,539,0
119,36,119,0,139,18,1,371,204,0,0,0,0,0,2,1,1,3,6,740,0,746,0
120,36,120,0,125,13,0,212,127,0,0,0,0,0,0,1,0,0,2,478,0,480,0
121,36,121,0,153,12,4,458,174,0,1,1,0,0,2,2,0,1,4,808,0,812,0
122,36,122,0,218,30,1,233,312,0,0,0,0,0,1,1,1,3,4,800,0,804,0
123,36,123,0,193,7,0,211,193,1,0,0,2,0,1,0,0,0,0,608,0,608,0
124,36,124,0,212,27,1,135,395,1,1,0,2,1,0,1,0,0,5,776,0,781,0
125,36,125,0,219,17,0,122,356,1,3,0,0,0,1,7,1,0,6,727,0,733,0
126,36,126,0,229,22,1,92,303,0,1,1,0,0,3,0,1,0,1,653,0,654,0
127,36,127,0,291,21,2,187,327,2,0,0,1,0,1,1,2,1,5,836,0,841,0
128,36,128,0,276,22,0,113,373,2,0,0,0,0,0,1,0,0,5,787,0,792,0
129,36,129,0,178,28,1,152,269,0,0,0,0,0,0,0,0,0,2,628,0,630,0
130,36,130,0,277,28,2,88,369,1,0,0,0,0,0,2,0,0,2,767,0,769,0
131,36,131,0,217,17,0,136,236,0,0,1,1,0,1,1,3,0,5,613,0,618,0
132,36,132,0,210,17,2,136,199,0,1,0,0,0,0,2,1,0,3,568,0,571,0
133,36,133,0,417,23,1,104,290,1,1,0,0,0,1,0,0,0,1,838,0,839,0
134,36,134,0,325,7,0,116,325,0,1,1,0,0,0,1,0,0,5,776,0,781,0
135,36,135,0,310,16,2,153,366,1,1,0,0,0,0,2,0,1,5,852,0,857,0
136,36,136,0,248,13,1,177,262,0,1,0,0,0,1,0,0,0,2,703,0,705,0
137,36,137,0,249,21,1,100,235,1,1,0,0,0,1,0,2,0,3,611,0,614,0
