sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,0,total_valid_votes,rejected_votes,total,tendered_votes
0,88,0,0,522,4,94,141,534,0,1,820,2,5,0,1,2,3,2,0,1,0,1,1,0,1,1,4,0,0,2,1,3,3,0,26,2149,382,2557,0
1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,88,1,0,213,1,29,5,78,1,1,423,2,1,0,0,2,2,0,3,3,1,2,1,2,1,0,2,1,1,0,0,0,3,2,2,780,0,782,0
2,88,2,0,172,0,12,2,67,0,3,226,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0,1,0,0,2,2,492,0,494,0
3,88,3,0,181,1,23,4,92,1,1,400,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,4,0,0,1,1,0,0,0,2,714,0,716,0
4,88,4,0,107,1,23,7,214,3,1,403,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,1,1,0,3,769,0,772,0
5,88,5,0,181,0,30,29,191,4,1,453,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,2,1,2,6,903,0,909,0
6,88,6,0,193,2,22,3,86,0,1,442,0,0,0,1,0,1,0,0,1,1,0,0,3,0,0,2,0,0,1,1,2,1,1,7,764,0,771,0
7,88,7,0,122,3,23,43,104,2,0,382,1,2,0,2,2,1,1,2,0,1,1,0,3,0,1,0,2,0,0,0,1,2,3,4,704,0,708,0
8,88,8,0,69,1,19,35,75,0,2,323,2,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,537,0,538,0
9,88,9,0,69,0,22,36,86,0,1,337,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,3,1,3,0,0,0,0,0,3,564,0,567,0
10,88,10,0,111,1,24,44,170,1,1,387,1,0,0,1,3,0,0,1,0,0,1,0,2,1,0,2,0,0,0,0,0,0,2,2,753,0,755,0
11,88,11,0,227,1,36,31,188,0,4,425,4,0,0,1,2,1,0,2,2,1,0,0,2,0,0,3,0,0,0,0,0,0,2,6,932,0,938,0
12,88,12,0,165,1,24,12,120,0,1,453,1,0,1,0,1,2,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,2,788,0,790,0
13,88,13,0,154,1,21,13,30,0,5,367,0,0,0,3,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,602,0,604,0
14,88,14,0,145,2,18,22,91,2,1,377,2,0,0,2,3,0,0,0,1,0,0,1,1,1,0,3,2,0,0,0,0,1,0,1,675,0,676,0
