sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0,total_valid_votes,rejected_votes,total,tendered_votes
241,106,241,0,20,116,239,2,159,0,0,0,1,0,0,1,1,3,3,3,2,1,2,551,0,553,0
242,106,242,0,16,168,139,0,302,0,1,0,0,0,0,0,0,0,1,2,0,3,1,632,0,633,0
243,106,243,0,14,98,310,2,150,0,1,0,0,0,0,0,0,2,2,2,0,0,3,581,0,584,0
244,106,244,0,5,135,287,2,151,0,0,1,0,0,0,1,1,4,0,2,1,2,5,592,0,597,0
245,106,245,0,24,150,330,1,222,1,0,0,0,0,0,0,0,0,2,2,0,5,4,737,0,741,0
246,106,246,0,13,87,209,1,134,1,0,0,0,0,0,0,0,2,0,0,0,0,0,447,0,447,0
247,106,247,0,27,191,194,0,284,3,1,0,3,0,0,0,2,1,1,2,0,1,1,710,0,711,0
248,106,248,0,30,220,207,7,332,2,1,3,1,0,0,1,1,1,4,2,1,2,1,815,0,816,0
249,106,249,0,32,178,507,5,233,1,0,1,1,3,3,3,2,8,1,7,2,2,7,989,0,996,0
250,106,250,0,76,207,275,3,269,3,2,1,1,0,0,0,1,0,2,2,0,1,4,843,0,847,0
251,106,251,0,29,193,168,3,230,4,0,0,0,0,0,0,0,0,0,4,0,2,3,633,0,636,0
252,106,252,0,30,269,90,2,306,3,1,0,0,1,2,2,2,1,4,2,4,0,0,719,0,719,0
253,106,253,0,34,163,78,3,231,8,0,0,0,0,0,2,1,0,4,1,0,1,4,526,0,530,0
254,106,254,0,42,290,126,2,390,1,0,1,1,0,0,4,3,2,6,2,2,3,3,875,0,878,0
255,106,255,0,33,261,245,5,370,5,0,0,0,1,0,0,0,2,0,0,0,0,4,922,0,926,0
256,106,256,0,18,175,149,3,249,21,1,1,0,0,1,5,3,3,4,0,0,0,7,633,0,640,0
257,106,257,0,26,188,142,2,174,17,0,0,0,0,0,1,1,0,1,1,0,1,2,554,0,556,0
258,106,258,0,30,257,173,1,244,2,0,0,0,0,0,0,0,0,2,0,1,0,3,710,0,713,0
259,106,259,0,17,230,124,1,301,19,0,1,1,1,2,3,4,2,2,6,0,2,2,716,0,718,0
260,106,260,0,43,260,272,2,280,1,2,1,0,1,2,2,2,2,4,2,1,0,1,877,0,878,0
261,106,261,0,20,226,264,3,218,3,0,0,0,0,0,0,1,0,4,1,1,2,1,743,0,744,0
262,106,262,0,26,375,248,4,261,7,0,1,0,0,0,2,1,2,3,2,0,1,1,933,0,934,0
263,106,263,0,50,206,154,1,198,23,0,3,0,2,2,1,4,2,2,2,1,2,1,653,0,654,0
264,106,264,0,20,202,150,1,185,16,1,0,0,0,0,1,1,0,3,2,0,1,1,583,0,584,0
265,106,265,0,33,291,207,2,356,0,1,0,0,0,0,1,0,2,1,1,0,1,9,896,0,905,0
266,106,266,0,18,239,191,2,142,22,0,0,0,0,0,1,4,0,3,1,1,4,2,628,0,630,0
267,106,267,0,61,237,212,1,198,16,1,1,0,0,0,0,2,2,1,3,1,1,5,737,0,742,0
268,106,268,0,25,175,241,5,216,2,0,0,0,0,0,0,0,0,0,1,1,2,4,668,0,672,0
269,106,269,0,46,172,192,1,172,10,0,0,0,0,0,1,0,1,3,2,2,1,1,603,0,604,0
270,106,270,0,60,269,245,9,266,24,1,3,1,2,1,2,2,4,4,7,1,2,0,903,0,903,0
271,106,271,0,38,112,171,6,126,1,0,0,1,0,0,0,0,3,0,1,0,0,6,459,0,465,0
272,106,272,0,8,183,162,1,132,2,1,0,0,0,0,1,1,2,2,5,0,0,2,500,0,502,0
273,106,273,0,39,194,208,3,213,16,1,2,0,1,0,1,2,1,1,4,1,1,0,688,0,688,0
274,106,274,0,43,257,203,1,209,2,1,1,0,1,1,1,0,5,0,7,1,2,10,735,0,745,0
275,106,275,0,53,289,268,5,297,3,0,0,1,0,1,0,3,1,4,3,0,3,8,931,0,939,0
276,106,276,0,27,194,198,2,275,1,2,0,0,1,0,0,0,1,1,3,2,3,2,710,0,712,0
277,106,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,106,277,0,23,184,109,1,333,5,0,2,0,0,0,1,1,1,2,1,0,6,2,669,0,671,0
278,106,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,106,278,0,54,225,165,4,294,8,2,0,1,1,1,0,2,0,2,7,1,1,4,768,0,772,0
279,106,279,0,24,181,196,3,248,3,1,1,0,0,0,0,0,0,1,0,1,0,1,659,0,660,0
280,106,280,0,38,247,282,9,322,2,1,1,0,0,0,2,0,1,5,1,1,1,5,913,0,918,0
281,106,281,0,22,234,155,1,280,0,0,0,0,0,0,1,0,1,1,1,0,0,4,696,0,700,0
282,106,282,0,22,257,124,0,254,2,0,0,0,0,0,0,2,0,1,0,0,4,1,666,0,667,0
283,106,283,0,46,244,179,4,317,2,0,0,0,1,1,0,1,0,2,1,0,1,2,799,0,801,0
284,106,284,0,14,232,264,3,290,0,1,0,1,0,1,1,1,4,5,2,0,2,4,821,0,825,0
285,106,285,0,27,264,157,0,275,25,1,2,0,1,0,1,2,0,5,2,1,4,4,767,0,771,0
286,106,286,0,32,278,172,2,294,34,1,0,0,0,0,0,2,1,1,3,0,0,4,820,0,824,0
287,106,287,0,20,217,120,0,216,1,0,0,0,1,0,1,0,0,2,1,0,1,1,580,0,581,0
288,106,288,0,22,275,188,3,403,9,1,0,1,1,0,0,0,1,1,1,0,5,4,911,0,915,0
289,106,289,0,8,147,199,7,214,1,0,1,0,0,1,2,0,2,4,2,0,1,1,589,0,590,0
290,106,290,0,18,237,110,2,177,46,1,1,0,0,0,2,2,1,1,4,0,2,2,604,0,606,0
291,106,291,0,18,143,122,0,153,26,2,0,0,0,0,1,0,1,2,2,0,0,1,470,0,471,0
292,106,292,0,28,176,191,1,181,0,1,0,0,0,0,1,1,0,1,0,0,2,2,583,0,585,0
293,106,293,0,14,152,154,2,177,0,0,0,0,0,0,0,1,0,3,2,0,1,1,506,0,507,0
294,106,294,0,28,268,161,2,228,3,1,0,0,0,1,0,0,1,5,6,1,0,2,705,0,707,0
295,106,295,0,25,321,253,1,267,3,0,0,0,0,0,3,0,1,2,1,1,5,1,883,0,884,0
296,106,296,0,29,180,127,1,168,9,0,0,0,0,0,0,0,0,2,2,2,1,2,521,0,523,0
297,106,297,0,29,234,112,0,221,2,1,0,2,0,1,0,0,0,2,1,2,1,0,608,0,608,0
298,106,298,0,30,210,162,3,234,1,0,0,0,0,0,0,1,0,1,0,0,0,0,642,0,642,0
299,106,299,0,33,201,148,5,187,14,1,1,0,0,4,2,4,1,4,2,2,0,0,609,0,609,0
300,106,300,0,21,154,118,3,202,0,0,0,0,1,1,0,0,0,1,0,0,1,3,502,0,505,0
301,106,301,0,20,171,139,6,149,4,1,0,0,0,1,0,0,1,0,3,0,4,3,499,0,502,0
302,106,302,0,46,416,204,2,316,4,0,1,0,1,0,0,1,1,3,0,0,0,3,995,0,998,0
303,106,303,0,28,256,141,2,233,53,0,0,0,2,1,0,1,0,1,2,1,2,1,723,0,724,0
304,106,304,0,36,171,254,1,251,1,0,0,0,0,1,0,0,2,2,3,1,0,4,723,0,727,0
305,106,305,0,21,258,177,2,241,3,0,0,0,0,1,0,0,0,0,1,0,0,1,704,0,705,0
306,106,306,0,41,205,264,1,272,1,1,0,1,0,1,0,0,0,2,0,0,4,4,793,0,797,0
307,106,307,0,17,194,217,2,321,8,0,1,0,0,0,0,1,0,4,0,1,2,5,768,0,773,0
308,106,308,0,28,261,208,5,255,4,0,0,0,0,1,0,1,0,1,1,2,0,6,767,0,773,0
309,106,309,0,31,160,250,1,201,1,1,0,1,0,1,1,0,1,0,1,1,1,3,652,0,655,0
310,106,310,0,8010,64933,55660,758,81628,1717,197,159,113,100,138,330,289,346,533,498,148,468,884,216025,0,216909,0
311,106,311,0,8137,65992,56232,760,82612,1746,197,161,114,100,139,332,292,349,539,499,149,470,907,218820,261,219988,0
