ac_code,ps_serial_number,ps_code,candidate_serial_number,candidate_votes
170,20,20,2,202
170,20,20,3,20
170,20,20,4,5
170,20,20,5,2
170,20,20,6,258
170,20,20,7,0
170,20,20,8,1
170,20,20,9,0
170,20,20,10,0
170,20,20,11,0
170,20,20,12,3
170,20,20,13,0
170,20,20,14,3
170,20,20,0,1
170,21,21,1,264
170,21,21,2,227
170,21,21,3,16
170,21,21,4,2
170,21,21,5,0
170,21,21,6,157
170,21,21,7,0
170,21,21,8,1
170,21,21,9,0
170,21,21,10,1
170,21,21,11,0
170,21,21,12,0
170,21,21,13,1
170,21,21,14,1
170,21,21,0,0
170,22,22,1,236
170,22,22,2,190
170,22,22,3,35
170,22,22,4,4
170,22,22,5,2
170,22,22,6,207
170,22,22,7,2
170,22,22,8,0
170,22,22,9,0
170,22,22,10,1
170,22,22,11,1
170,22,22,12,0
170,22,22,13,0
170,22,22,14,2
170,22,22,0,1
170,23,23,1,150
170,23,23,2,194
170,23,23,3,37
170,23,23,4,6
170,23,23,5,0
170,23,23,6,231
170,23,23,7,1
170,23,23,8,0
170,23,23,9,0
170,23,23,10,0
170,23,23,11,0
170,23,23,12,0
170,23,23,13,1
170,23,23,14,3
170,23,23,0,3
170,24,24,1,120
170,24,24,2,143
170,24,24,3,26
170,24,24,4,0
170,24,24,5,0
170,24,24,6,187
170,24,24,7,0
170,24,24,8,1
170,24,24,9,0
170,24,24,10,0
170,24,24,11,0
170,24,24,12,0
170,24,24,13,0
170,24,24,14,0
170,24,24,0,1
170,25,25,1,229
170,25,25,2,279
170,25,25,3,27
170,25,25,4,4
170,25,25,5,1
170,25,25,6,235
170,25,25,7,1
170,25,25,8,0
170,25,25,9,0
170,25,25,10,1
170,25,25,11,2
170,25,25,12,1
170,25,25,13,0
170,25,25,14,0
170,25,25,0,1
170,26,26,1,121
170,26,26,2,252
170,26,26,3,29
170,26,26,4,1
170,26,26,5,0
170,26,26,6,234
170,26,26,7,1
170,26,26,8,0
170,26,26,9,0
170,26,26,10,0
170,26,26,11,0
170,26,26,12,0
170,26,26,13,0
170,26,26,14,3
170,26,26,0,2
170,27,27,1,220
170,27,27,2,277
170,27,27,3,19
170,27,27,4,3
170,27,27,5,0
170,27,27,6,216
170,27,27,7,1
170,27,27,8,1
170,27,27,9,0
170,27,27,10,1
170,27,27,11,1
170,27,27,12,0
170,27,27,13,0
170,27,27,14,2
170,27,27,0,3
170,28,28,1,132
170,28,28,2,267
170,28,28,3,20
170,28,28,4,2
