sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,0,total_valid_votes,rejected_votes,total,tendered_votes
0,150,0,0,799,5,74,0,4,437,2,3,7,993,0,1,1,0,2,0,1,1,1,13,2344,347,2691,0,0,0,0,0,0,0
1,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,150,1,0,132,0,9,0,4,221,1,0,1,220,2,2,1,1,0,0,1,0,0,1,596,0,596,0,0,0,0,0,1,0
2,150,2,0,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,0,0,0,1,0
2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,150,2,0,103,0,4,0,0,56,0,0,2,301,0,1,0,0,0,0,0,1,0,1,469,0,469,0,0,0,0,0,2,0
3,150,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,150,3,0,575,2,22,0,4,192,1,0,3,184,1,0,0,1,1,8,2,0,0,4,1000,0,1000,0,0,0,0,0,3,0
4,150,4,0,173,1,11,0,3,132,5,0,1,433,2,2,0,0,0,5,1,0,0,1,770,0,770,0,0,0,0,0,4,0
5,150,5,0,337,0,11,0,0,139,2,0,0,76,0,0,0,0,0,1,0,0,0,1,567,0,567,0,0,0,0,0,5,0
6,150,6,0,301,4,22,0,2,183,0,0,0,332,2,1,0,0,0,5,2,0,0,2,856,0,856,0,0,0,0,0,6,0
7,150,7,0,387,6,21,0,2,133,1,0,2,224,2,0,0,0,0,5,1,0,0,1,785,0,785,0,0,0,0,0,7,0
8,150,8,0,88,1,17,0,0,86,0,0,2,531,1,1,0,0,0,1,1,0,0,0,729,0,729,0,0,0,0,0,8,0
9,150,9,0,207,3,9,0,3,146,1,2,1,212,2,1,0,0,1,11,2,0,0,1,602,0,602,0,0,0,0,0,9,0
10,150,10,0,106,0,10,0,0,72,1,2,6,322,3,1,2,1,0,2,2,0,0,1,531,0,531,0,0,0,0,0,10,0
11,150,11,0,91,1,4,0,0,58,0,0,12,189,1,0,0,0,1,0,0,0,0,0,357,0,357,0,0,0,0,0,11,0
12,150,12,0,274,3,28,2,7,204,2,0,0,390,3,2,0,0,2,1,0,1,1,3,923,0,923,0,0,0,0,0,12,0
13,150,13,0,321,1,12,0,2,244,2,0,0,287,0,1,0,0,0,3,2,0,0,0,875,0,875,0,0,0,0,0,13,0
14,150,14,0,136,1,22,2,1,108,0,0,1,286,0,0,1,0,2,2,1,0,0,0,563,0,563,0,0,0,0,0,14,0
15,150,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,150,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
15,150,15,0,151,0,19,0,1,109,2,0,3,325,1,0,0,0,0,0,1,0,0,0,612,0,612,0,0,0,0,0,321,0
16,150,16,0,291,2,17,0,1,285,5,0,4,351,0,1,3,1,2,7,0,0,0,0,970,0,970,0,0,0,0,0,16,0
16,150,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,150,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,150,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,150,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,150,17,0,212,2,21,1,1,130,4,0,1,409,1,2,0,3,0,9,2,0,0,1,799,0,799,0,0,0,0,0,17,0
18,150,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,150,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,150,18,0,282,1,15,0,4,226,1,2,3,228,2,2,0,0,0,6,1,0,0,1,774,0,774,0,0,0,0,0,18,0
19,150,19,0,65,0,4,0,0,63,0,1,1,163,2,0,0,0,0,0,0,0,0,1,300,0,300,0,0,0,0,0,19,0
19,150,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,150,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,150,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,150,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,150,20,0,142,4,34,1,4,183,2,0,3,476,5,1,0,1,1,0,1,0,0,0,858,0,858,0,0,0,0,0,20,0
21,150,21,0,137,1,7,0,2,162,4,1,2,234,0,1,0,0,0,3,1,0,0,0,555,0,555,0,0,0,0,0,21,0
21,150,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,150,22,0,81,0,5,0,1,42,1,0,1,224,0,0,0,0,0,2,0,0,0,0,357,0,357,0,0,0,0,0,322,0
22,150,22,0,148,2,11,1,2,158,1,0,3,380,2,7,1,1,1,0,2,0,0,1,721,0,721,0,0,0,0,0,22,0
23,150,23,0,108,2,15,0,2,79,1,0,0,216,0,0,1,0,0,1,2,0,0,0,427,0,427,0,0,0,0,0,23,0
23,150,23,0,69703,470,6118,151,707,55101,606,266,1196,87999,528,582,114,158,175,984,791,53,99,403,226204,0,226204,0,0,0,0,0,0,0
24,150,24,0,70502,475,6192,151,711,55538,608,269,1203,88992,528,583,115,158,177,984,792,54,100,416,228548,347,228895,0,0,0,0,0,0,0
24,150,24,0,338,2,29,2,6,230,1,0,2,264,5,3,0,1,1,4,0,0,0,0,888,0,888,0,0,0,0,0,24,0
25,150,25,0,313,2,22,0,3,283,1,0,0,378,0,0,1,0,0,3,5,0,0,0,1011,0,1011,0,0,0,0,0,25,0
26,150,26,0,127,1,25,0,2,151,5,3,25,494,0,2,1,0,0,1,2,0,0,5,844,0,844,0,0,0,0,0,26,0
27,150,27,0,229,3,21,2,4,183,4,0,8,289,1,4,0,1,0,5,2,0,1,3,760,0,760,0,0,0,0,0,27,0
28,150,28,0,91,0,7,0,3,88,2,2,5,227,2,3,0,0,0,4,0,0,0,1,435,0,435,0,0,0,0,0,28,0
29,150,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,150,29,0,157,1,15,0,0,161,2,0,38,415,1,4,0,0,0,1,0,0,0,0,795,0,795,0,0,0,0,0,29,0
30,150,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
