sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,0,total_valid_votes,rejected_votes,total,tendered_votes
0,13,0,0,215,10,34,982,1,0,1,0,1,8,383,2,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,10,1648,233,1891,0
1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,1,0,88,2,34,190,0,0,0,1,0,2,471,0,0,0,2,1,2,0,2,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,3,801,0,804,0
2,13,2,0,84,0,29,207,1,0,0,0,0,2,255,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,579,0,583,0
3,13,3,0,96,0,29,323,0,0,0,0,0,1,312,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,763,0,766,1
4,13,4,0,84,0,23,87,0,0,0,0,0,4,409,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,612,0,613,0
5,13,5,0,81,1,19,204,0,0,0,0,0,2,268,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,578,0,579,0
6,13,6,0,89,0,22,316,0,0,0,0,0,4,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,727,0,732,0
7,13,7,0,89,1,28,279,0,0,0,0,0,2,298,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,702,0,707,0
8,13,8,0,109,0,18,211,1,1,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,582,0,589,0
9,13,9,0,85,0,15,248,0,0,0,0,0,4,198,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,556,0,560,0
10,13,10,0,85,0,19,256,0,0,0,0,0,3,248,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,615,0,618,1
11,13,11,0,103,0,17,207,1,0,0,0,0,2,186,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,517,0,521,0
12,13,12,0,53,1,15,259,3,0,0,0,2,1,335,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,675,0,676,0
13,13,13,0,58,0,21,204,0,0,1,0,0,1,275,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,565,0,568,0
14,13,14,0,96,1,30,253,0,0,0,0,0,1,340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,724,0,731,0
15,13,15,0,83,0,20,267,0,1,0,0,0,3,298,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,6,677,0,683,0
16,13,16,0,76,0,22,250,0,0,0,0,0,4,328,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,686,0,686,0
17,13,17,0,66,1,29,265,2,2,0,0,0,2,434,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,808,0,810,0
18,13,18,0,46,1,26,265,2,1,1,0,0,1,274,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,620,0,624,0
19,13,19,0,93,0,35,259,1,0,1,0,1,2,292,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,688,0,691,0
20,13,20,0,83,1,30,341,0,0,1,0,0,5,287,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,750,0,757,0
21,13,21,0,67,1,27,293,1,2,0,0,0,1,243,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,637,0,639,0
22,13,22,0,63,0,17,301,0,1,2,0,0,1,285,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,6,676,0,682,0
23,13,23,0,46,0,27,220,0,0,0,0,0,0,230,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,526,0,532,0
24,13,24,0,66,0,18,277,0,0,0,0,0,2,284,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,650,0,654,0
25,13,25,0,74,0,23,296,0,0,0,0,1,1,287,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,687,0,690,0
26,13,26,0,71,0,14,276,0,0,1,0,0,0,270,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,639,0,644,0
27,13,27,0,66,0,18,331,0,0,0,0,0,0,251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,668,0,671,0
28,13,28,0,126,1,31,274,1,0,0,0,0,1,500,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,4,944,0,948,0
29,13,29,0,66,0,13,190,1,0,0,0,0,2,226,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,502,0,505,0
30,13,30,0,122,0,16,252,0,0,0,0,0,3,312,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,710,0,717,0
31,13,31,0,101,1,11,279,2,0,0,0,0,2,304,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,702,0,707,0
32,13,32,0,63,0,30,209,0,0,1,0,0,3,351,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,662,0,664,0
33,13,33,0,72,0,18,237,0,0,0,0,0,1,287,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,618,0,622,0
34,13,34,0,106,0,26,259,1,0,0,0,0,4,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,667,0,671,0
