sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,total_valid_votes,rejected_votes,total,tendered_votes
47,18,47,0,1,280,9,63,214,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,574,0,6,0
48,18,48,0,0,160,9,109,228,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,512,0,1,0
49,18,49,0,1,289,12,120,243,2,1,1,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,675,0,3,0
50,18,50,0,1,324,17,67,229,4,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,648,0,2,0
51,18,51,0,2,324,9,39,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,3,0
52,18,52,0,0,211,12,27,103,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,355,0,1,0
53,18,53,0,1,143,3,53,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,2,0
54,18,54,0,0,275,7,78,180,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,543,0,4,0
55,18,55,0,3,337,18,95,184,1,2,3,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,648,0,5,0
56,18,56,0,3,118,6,140,122,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,395,0,2,0
57,18,57,0,1,126,12,159,140,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,441,0,7,0
58,18,58,0,1,353,12,48,185,5,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,609,0,2,0
59,18,59,0,0,264,3,68,136,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,476,0,1,0
60,18,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,18,60,0,1,230,13,190,145,1,1,0,0,2,4,0,0,1,0,1,0,0,0,0,1,0,1,0,591,0,7,0
61,18,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,18,61,0,2,217,9,80,227,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,541,0,3,0
62,18,62,0,0,222,8,132,209,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,578,0,3,0
63,18,63,0,0,293,12,50,152,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,508,0,3,0
64,18,64,0,4,84,5,227,148,1,2,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,478,0,3,0
65,18,65,0,0,223,3,121,128,1,1,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,482,0,3,0
66,18,66,0,1,381,11,32,208,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,640,0,2,0
67,18,67,0,0,379,5,74,135,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,597,0,6,0
68,18,68,0,0,372,5,28,117,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,526,0,2,0
69,18,69,0,0,308,7,6,72,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,4,0
70,18,70,0,1,196,7,88,178,2,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,477,0,3,0
71,18,71,0,1,469,10,19,91,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,592,0,1,0
72,18,72,0,1,438,9,14,92,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,3,0
