sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,total_valid_votes,rejected_votes,total,tendered_votes
2,233,2,0,156,177,22,116,2,151,1,0,1,0,0,1,1,2,0,0,474,0,474,0
2,233,2,0,100,322,35,75,1,166,1,0,11,1,0,0,0,2,3,2,617,0,619,0
2,233,2,0,212,224,16,109,0,167,0,0,0,0,0,0,0,1,0,1,517,0,518,0
2,233,2,0,184,185,15,100,1,121,0,0,0,0,0,0,0,0,1,2,423,0,425,0
2,233,2,0,198,124,12,235,4,182,0,0,1,0,0,0,0,0,0,1,558,0,559,0
2,233,2,0,72,259,7,266,2,144,0,2,2,0,0,0,2,0,0,4,684,0,688,0
2,233,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,233,2,0,2,245,9,80,2,76,1,1,0,0,0,1,0,0,0,1,415,0,416,0
2,233,2,0,296,192,30,378,2,173,0,2,1,0,0,2,0,0,1,3,781,0,784,0
2,233,2,0,86,283,12,30,1,194,3,1,0,0,1,2,0,1,0,1,528,0,529,0
2,233,2,0,142,181,15,171,0,145,4,0,2,0,0,1,0,0,0,1,519,0,520,0
2,233,2,0,114,158,14,187,0,132,0,0,3,0,0,0,0,0,0,1,494,0,495,1
3,233,3,0,115,174,7,178,1,130,0,0,4,0,1,2,0,0,1,4,498,0,502,0
3,233,3,0,297,135,14,317,2,157,1,0,0,0,0,1,0,1,0,4,628,0,632,0
3,233,3,0,199,225,31,189,2,161,1,0,0,0,0,0,3,0,0,3,612,0,615,0
3,233,3,0,185,269,5,44,0,159,0,2,0,0,0,1,0,0,0,0,480,0,480,0
3,233,3,0,73,225,16,152,0,99,1,4,1,0,1,0,1,2,1,3,503,0,506,0
3,233,3,0,213,186,20,179,1,140,0,0,0,0,0,0,0,1,0,3,527,0,530,0
3,233,3,0,227,123,19,177,13,131,2,1,1,0,0,0,1,0,0,0,468,0,468,0
3,233,3,0,59,197,7,54,0,106,2,0,0,0,0,0,0,1,1,1,368,0,369,0
3,233,3,0,241,433,40,39,1,165,0,1,0,0,0,0,0,0,2,2,681,0,683,0
3,233,3,0,129,84,12,309,3,133,0,0,2,0,0,0,1,1,0,3,545,0,548,0
3,233,3,0,3,338,8,162,1,164,0,1,0,0,0,1,1,1,1,5,678,0,683,0
3,233,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,233,3,0,45,239,20,44,0,105,1,0,1,2,0,0,0,1,0,5,413,0,418,0
3,233,3,0,31,431,20,132,2,183,0,0,6,1,0,0,1,1,0,4,777,0,781,0
3,233,3,0,255,214,22,252,1,219,0,0,1,0,0,0,0,2,0,4,711,0,715,0
3,233,3,0,283,114,36,312,0,112,1,0,2,0,0,0,0,0,0,1,577,0,578,0
3,233,3,0,269,180,33,49,0,114,0,1,0,0,0,0,1,0,0,1,378,0,379,0
3,233,3,0,17,150,23,211,2,168,0,0,3,1,0,0,0,0,1,2,559,0,561,0
3,233,3,0,157,260,28,223,0,172,2,1,0,1,1,0,1,3,0,3,692,0,695,0
3,233,3,0,101,333,25,73,1,191,0,0,6,0,0,0,0,2,0,2,631,0,633,0
3,233,3,0,143,302,29,203,1,216,4,1,0,0,0,1,2,1,0,4,760,0,764,0
3,233,3,0,87,183,11,241,0,178,0,1,0,0,1,0,0,3,0,8,618,0,626,0
3,233,3,0,171,103,8,81,0,81,0,0,0,0,0,0,0,0,0,1,273,0,274,0
4,233,4,0,172,169,15,141,0,106,0,0,1,0,0,1,0,0,1,2,434,0,436,0
4,233,4,0,102,286,19,104,1,179,0,0,5,0,0,0,0,0,0,3,594,0,597,0
4,233,4,0,130,194,11,183,1,109,0,0,0,1,0,0,0,1,0,2,500,0,502,0
4,233,4,0,46,260,29,44,0,135,0,0,1,0,0,0,0,1,0,2,470,0,472,0
4,233,4,0,158,334,32,63,0,194,1,1,1,0,0,1,1,0,1,5,629,0,634,0
4,233,4,0,186,347,14,40,1,133,1,0,0,2,0,0,0,1,0,3,539,0,542,0
4,233,4,0,116,139,5,94,0,86,0,0,5,0,0,0,0,0,0,1,329,0,330,0
4,233,4,0,4,166,8,107,2,93,0,1,1,0,0,0,0,0,0,0,378,0,378,0
4,233,4,0,298,87,4,174,0,73,0,1,0,0,0,0,0,1,0,1,340,0,341,0
4,233,4,0,214,328,23,134,2,242,0,0,1,0,0,0,1,0,0,5,731,0,736,0
4,233,4,0,74,156,5,123,3,89,1,1,2,0,1,0,0,1,0,3,382,0,385,0
4,233,4,0,32,276,12,98,1,121,1,1,10,0,0,0,1,0,0,0,521,0,521,0
4,233,4,0,228,125,17,141,0,120,0,1,2,0,0,0,1,1,0,1,408,0,409,0
4,233,4,0,242,109,15,130,1,113,1,0,0,1,0,1,0,0,0,0,371,0,371,0
4,233,4,0,200,161,18,273,0,218,2,0,1,0,0,0,0,1,0,5,674,0,679,0
4,233,4,0,18,187,44,120,4,217,0,3,0,0,0,1,0,0,0,5,576,0,581,0
4,233,4,0,256,241,53,224,1,242,3,0,0,0,1,1,1,1,0,7,768,0,775,0
4,233,4,0,284,83,18,460,0,186,0,1,5,1,0,1,0,2,0,3,757,0,760,0
4,233,4,0,270,293,23,174,1,223,0,1,1,0,0,0,1,0,0,1,717,0,718,0
4,233,4,0,88,296,14,43,0,156,0,2,0,1,0,0,0,0,0,2,512,0,514,0
4,233,4,0,60,178,13,251,0,208,0,0,1,0,0,0,1,0,0,4,652,0,656,0
4,233,4,0,144,225,41,332,2,234,0,1,1,1,1,1,1,0,1,5,841,0,846,0
5,233,5,0,33,360,6,92,2,202,1,0,1,1,1,1,0,1,0,8,668,0,676,0
5,233,5,0,257,332,23,183,0,144,0,0,1,0,0,2,0,1,0,4,686,0,690,0
5,233,5,0,271,201,30,65,0,110,0,0,0,0,0,0,0,0,0,3,406,0,409,0
5,233,5,0,285,264,20,236,1,158,0,0,3,0,0,0,0,0,1,1,683,0,684,0
5,233,5,0,19,78,1,68,2,95,0,0,1,2,2,0,3,0,1,2,253,0,255,0
5,233,5,0,201,147,14,146,0,136,0,0,0,0,0,0,1,0,0,1,444,0,445,0
5,233,5,0,75,148,8,64,0,116,0,0,1,0,1,1,1,1,0,1,341,0,342,0
5,233,5,0,215,168,14,189,1,202,0,3,0,0,0,3,0,1,1,3,582,0,585,0
5,233,5,0,243,125,24,260,0,208,3,0,1,0,0,0,0,1,1,3,623,0,626,0
5,233,5,0,47,153,18,110,0,64,1,2,2,1,0,0,0,0,0,2,351,0,353,0
5,233,5,0,61,154,11,97,0,116,1,0,4,0,2,0,0,0,0,2,385,0,387,0
5,233,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,233,5,0,229,301,35,162,1,217,1,0,0,0,0,0,0,0,0,1,717,0,718,0
5,233,5,0,145,127,20,259,2,138,3,3,0,2,1,0,2,2,2,1,561,0,562,0
5,233,5,0,103,319,21,151,1,176,0,0,0,0,2,1,0,0,0,3,671,0,674,0
5,233,5,0,159,92,10,186,1,123,0,0,0,1,1,1,8,0,0,2,423,0,425,0
5,233,5,0,173,108,13,186,0,138,3,2,0,0,0,0,0,0,0,3,450,0,453,0
5,233,5,0,89,308,16,60,1,224,2,1,2,0,0,0,1,1,0,3,616,0,619,0
5,233,5,0,187,307,14,152,2,199,0,0,0,0,1,0,0,0,1,5,676,0,681,0
5,233,5,0,117,218,12,193,0,156,0,0,6,0,0,0,0,0,0,2,585,0,587,0
5,233,5,0,131,190,17,278,0,220,0,0,6,0,0,0,0,2,1,2,714,0,716,0
5,233,5,0,5,254,13,172,2,159,2,0,0,0,0,0,1,3,0,5,606,0,611,0
5,233,5,0,299,102,8,352,3,160,1,2,1,0,1,0,1,0,0,6,631,0,637,0
6,233,6,0,300,284,19,162,0,181,0,4,1,0,0,0,1,3,3,4,658,0,662,0
6,233,6,0,6,346,34,184,1,184,2,1,0,1,6,1,1,1,0,1,762,0,763,0
6,233,6,0,118,283,25,168,2,310,1,0,2,0,0,0,2,0,0,3,793,0,796,0
6,233,6,0,132,173,22,206,0,168,0,0,4,0,0,0,0,1,2,3,576,0,579,0
6,233,6,0,104,222,20,300,0,225,0,1,1,1,2,0,2,1,0,3,775,0,778,0
6,233,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,233,6,0,146,403,28,37,0,195,4,0,0,0,0,0,2,0,1,6,670,0,676,0
6,233,6,0,160,148,7,100,1,83,0,0,0,2,0,0,0,1,0,1,342,0,343,0
6,233,6,0,76,223,4,177,0,119,0,1,0,0,1,1,1,0,0,4,527,0,531,0
6,233,6,0,188,162,17,42,0,109,0,1,1,0,0,0,0,0,0,3,332,0,335,0
6,233,6,0,62,275,23,51,0,156,0,0,0,0,0,2,1,0,0,4,508,0,512,0
6,233,6,0,202,177,23,232,1,177,1,1,1,1,1,0,1,2,0,4,618,0,622,0
6,233,6,0,90,401,65,76,0,211,3,0,0,0,0,0,0,1,0,5,757,0,762,0
6,233,6,0,174,244,20,124,0,158,0,0,0,0,0,1,2,0,0,2,549,0,551,0
6,233,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,233,6,0,216,252,15,143,0,169,3,0,0,0,2,0,1,10,1,6,596,0,602,0
6,233,6,0,244,127,18,253,3,130,0,0,1,0,0,0,1,1,0,4,534,0,538,0
6,233,6,0,34,395,12,215,1,199,2,0,2,0,0,0,0,6,0,7,832,0,839,0
6,233,6,0,258,115,12,229,0,184,0,1,0,0,0,0,0,1,0,1,542,0,543,0
6,233,6,0,272,259,24,216,2,196,1,0,0,0,0,0,0,0,0,0,698,0,698,0
6,233,6,0,48,444,25,46,0,167,0,1,1,0,0,0,0,1,1,2,686,0,688,0
6,233,6,0,230,239,19,94,1,142,0,0,4,0,0,0,0,0,0,1,499,0,500,0
6,233,6,0,20,193,16,52,1,162,1,0,0,2,0,0,1,0,0,4,428,0,432,0
6,233,6,0,286,121,19,353,0,166,0,0,0,0,1,0,0,0,0,7,660,0,667,0
7,233,7,0,161,354,29,56,0,163,0,1,1,0,0,0,0,0,0,6,604,0,610,0
7,233,7,0,147,166,13,123,2,97,0,1,2,0,0,1,1,0,0,4,406,0,410,0
7,233,7,0,175,100,16,347,0,132,1,1,0,0,1,2,0,0,0,2,600,0,602,0
7,233,7,0,77,188,6,310,5,246,2,4,1,4,1,0,1,0,0,8,768,0,776,0
7,233,7,0,203,214,25,120,0,268,3,1,0,0,1,0,1,0,1,4,634,0,638,0
7,233,7,0,63,151,12,111,0,97,0,1,0,0,0,0,0,1,0,3,373,0,376,0
7,233,7,0,133,57,7,164,0,122,0,1,4,0,0,0,1,0,0,2,356,0,358,0
7,233,7,0,0,69378,6000,44676,287,49028,214,193,389,66,72,106,108,185,86,811,170788,0,171599,3
7,233,7,0,35,147,9,45,0,123,0,0,1,0,0,0,0,0,0,2,325,0,327,0
7,233,7,0,217,139,12,269,1,216,1,1,0,0,0,1,0,0,0,4,640,0,644,0
7,233,7,0,231,268,18,33,1,123,0,0,0,0,1,0,0,2,0,1,446,0,447,0
7,233,7,0,49,489,37,69,0,190,1,0,1,0,1,0,0,1,0,6,789,0,795,0
7,233,7,0,245,70,17,141,1,92,0,0,1,1,0,0,0,0,0,0,323,0,323,0
7,233,7,0,273,186,30,272,2,126,0,0,0,0,1,0,0,1,0,1,618,0,619,0
7,233,7,0,189,192,23,68,0,137,0,0,0,0,0,0,1,2,0,1,423,0,424,0
7,233,7,0,91,237,17,139,3,246,0,0,1,0,0,0,0,0,1,4,644,0,648,0
7,233,7,0,7,230,21,132,1,155,1,0,1,2,0,1,0,0,0,3,544,0,547,0
7,233,7,0,119,186,9,137,1,182,1,0,6,0,0,1,0,1,0,3,524,0,527,0
7,233,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,233,7,0,105,160,14,49,0,194,0,0,1,0,1,0,0,1,0,2,420,0,422,0
7,233,7,0,287,187,9,199,0,178,0,0,0,0,0,0,0,1,1,5,575,0,580,0
7,233,7,0,21,211,5,68,2,125,0,0,0,0,0,0,0,0,0,0,411,0,411,0
7,233,7,0,259,113,17,233,2,181,0,0,0,0,0,1,1,0,0,1,548,0,549,0
8,233,8,0,232,107,11,247,2,119,0,3,0,1,0,0,0,0,0,1,490,0,491,0
8,233,8,0,162,257,27,87,2,163,2,1,0,1,0,0,0,0,0,0,540,0,540,0
8,233,8,0,176,215,32,240,1,260,0,3,1,1,1,0,1,1,0,4,756,0,760,0
8,233,8,0,148,177,18,272,1,139,1,0,0,0,0,1,0,0,0,3,609,0,612,0
8,233,8,0,134,182,19,322,5,171,0,1,10,0,0,0,0,0,0,4,710,0,714,0
8,233,8,0,92,375,40,109,1,233,1,0,1,0,0,0,0,1,0,2,761,0,763,0
8,233,8,0,204,145,20,67,2,170,0,0,0,0,0,0,0,0,0,1,404,0,405,0
8,233,8,0,78,341,7,182,4,230,2,6,2,1,0,0,1,0,0,6,776,0,782,0
8,233,8,0,190,193,18,110,0,115,1,0,0,0,0,1,0,1,0,3,439,0,442,0
8,233,8,0,64,139,20,180,0,144,2,2,6,0,0,1,0,0,1,4,495,0,499,0
8,233,8,0,50,438,24,106,1,216,1,0,2,0,0,1,0,0,0,3,789,0,792,0
8,233,8,0,260,313,23,252,1,226,1,0,0,1,1,0,1,0,0,0,819,0,819,0
8,233,8,0,288,281,10,116,0,220,0,0,0,0,0,0,0,0,0,2,627,0,629,0
8,233,8,0,8,377,31,132,1,260,3,0,2,1,0,0,0,1,3,7,811,0,818,0
8,233,8,0,106,293,14,212,1,176,3,0,0,0,0,2,0,0,0,5,701,0,706,0
8,233,8,0,0,1377,199,928,7,757,3,1,13,4,9,2,4,5,2,17,3311,526,3854,0
8,233,8,0,120,275,17,149,0,160,1,0,2,0,0,0,0,0,0,4,604,0,608,0
8,233,8,0,246,274,45,146,1,203,2,2,0,1,0,0,0,0,0,1,674,0,675,0
8,233,8,0,36,237,14,146,2,102,1,5,0,0,0,1,0,1,0,3,509,0,512,0
8,233,8,0,274,26,11,108,0,36,0,1,0,0,0,0,0,0,0,1,182,0,183,0
8,233,8,0,22,353,11,91,0,127,0,0,3,0,0,0,1,0,0,4,586,0,590,0
8,233,8,0,218,122,7,55,0,115,0,0,0,0,0,1,1,1,0,2,302,0,304,0
9,233,9,0,233,97,12,18,1,83,1,0,0,0,0,0,0,0,0,0,212,0,212,0
9,233,9,0,37,314,3,83,0,203,0,2,0,0,0,0,0,0,2,4,607,0,611,0
9,233,9,0,247,199,18,127,1,287,1,1,1,0,2,0,0,0,0,1,637,0,638,0
9,233,9,0,51,230,14,117,2,127,0,0,0,0,0,0,0,0,0,1,490,0,491,0
9,233,9,0,177,296,51,178,0,276,3,2,1,0,1,0,0,0,0,2,808,0,810,0
9,233,9,0,205,209,23,251,0,172,1,0,1,0,0,0,0,0,0,2,657,0,659,0
9,233,9,0,65,167,6,114,0,157,0,1,3,0,0,0,0,0,0,4,448,0,452,0
9,233,9,0,191,118,18,134,0,98,0,0,0,0,0,0,0,0,0,1,368,0,369,0
9,233,9,0,93,347,41,147,2,250,0,1,1,0,0,0,0,1,0,1,790,0,791,0
9,233,9,0,163,216,24,201,0,182,0,0,1,0,0,0,0,0,0,3,624,0,627,0
9,233,9,0,79,175,2,105,0,115,0,1,0,0,0,0,0,0,0,2,398,0,400,0
9,233,9,0,289,159,39,87,0,129,0,0,0,0,1,1,0,1,1,1,418,0,419,0
9,233,9,0,121,404,20,132,4,236,0,0,4,3,0,0,0,0,1,7,804,0,811,0
9,233,9,0,9,282,19,68,0,173,2,3,1,0,1,1,0,0,0,2,550,0,552,0
9,233,9,0,0,70755,6199,45604,294,49785,217,194,402,70,81,108,112,190,88,828,174099,526,175453,3
9,233,9,0,107,128,17,211,1,164,0,2,2,1,0,0,0,1,0,5,527,0,532,0
9,233,9,0,149,179,18,137,0,146,2,1,1,0,0,0,0,1,1,1,486,0,487,0
9,233,9,0,135,290,26,186,1,215,1,0,10,0,0,1,1,0,0,1,731,0,732,0
9,233,9,0,219,213,11,133,1,271,2,0,0,0,0,2,0,1,0,1,634,0,635,0
9,233,9,0,23,439,10,124,3,184,0,0,0,0,0,1,2,0,1,8,764,0,772,0
9,233,9,0,275,60,17,170,1,73,0,0,0,0,0,0,0,0,0,0,321,0,321,0
9,233,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,233,9,0,261,284,36,319,6,167,0,1,0,0,0,3,1,0,0,3,817,0,820,0
10,233,10,0,234,268,26,55,2,226,2,1,0,0,0,1,0,0,0,0,581,0,581,0
10,233,10,0,220,213,14,144,2,181,3,0,1,0,1,0,0,1,0,3,560,0,563,0
10,233,10,0,52,234,12,54,0,115,0,1,0,0,1,0,0,0,0,6,417,0,423,0
10,233,10,0,24,260,6,78,0,146,1,0,1,0,0,1,0,1,0,3,494,0,497,0
10,233,10,0,66,195,19,165,0,136,1,0,0,0,1,1,0,0,0,2,518,0,520,0
10,233,10,0,164,276,33,27,1,191,1,1,0,0,1,0,0,0,0,1,531,0,532,0
10,233,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,233,10,0,192,271,23,106,1,135,0,1,0,1,0,1,1,1,0,1,541,0,542,1
10,233,10,0,80,230,9,168,0,99,0,1,1,0,0,1,0,0,1,2,510,0,512,0
10,233,10,0,178,154,10,236,0,173,1,0,0,1,0,0,0,2,0,6,577,0,583,0
10,233,10,0,276,148,48,237,1,159,0,1,0,0,0,0,0,1,2,1,597,0,598,0
10,233,10,0,206,335,21,111,0,231,1,1,1,0,0,0,0,1,0,3,702,0,705,0
10,233,10,0,94,364,24,66,1,158,0,0,1,0,0,0,0,0,0,3,614,0,617,0
10,233,10,0,136,69,9,282,3,137,0,1,3,0,0,0,0,2,0,1,506,0,507,0
10,233,10,0,150,473,42,106,1,234,6,0,1,0,0,0,0,1,0,4,864,0,868,0
10,233,10,0,122,320,16,122,1,180,1,1,2,1,0,0,0,0,1,1,645,0,646,0
10,233,10,0,108,79,9,123,0,69,0,1,1,0,0,0,0,0,0,1,282,0,283,0
10,233,10,0,290,90,11,206,0,130,0,2,0,0,0,1,0,0,1,1,441,0,442,0
10,233,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,233,10,0,10,300,46,79,0,198,1,0,0,0,0,0,0,1,0,1,625,0,626,0
10,233,10,0,262,270,31,129,2,211,0,1,2,0,1,1,1,0,0,3,649,0,652,0
10,233,10,0,38,202,3,133,0,111,0,1,3,0,0,0,0,0,1,5,454,0,459,0
10,233,10,0,248,105,7,137,0,98,0,0,0,1,0,0,0,0,0,2,348,0,350,0
11,233,11,0,291,318,44,212,1,211,1,5,0,0,0,1,0,0,0,1,793,0,794,0
11,233,11,0,123,233,9,218,1,159,1,1,2,0,1,0,1,0,2,2,628,0,630,0
11,233,11,0,11,178,13,87,2,117,0,0,0,0,0,2,0,0,1,4,400,0,404,0
11,233,11,0,67,140,19,123,0,104,3,0,1,0,0,0,0,0,0,1,390,0,391,0
11,233,11,0,193,146,17,85,1,122,0,0,1,0,0,1,0,0,1,1,374,0,375,0
11,233,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,233,11,0,151,184,18,182,0,206,2,0,1,0,0,0,0,0,0,0,593,0,593,0
11,233,11,0,95,210,23,35,0,107,0,1,0,0,0,0,0,1,0,0,377,0,377,0
11,233,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,233,11,0,81,281,4,97,1,194,0,0,2,0,0,0,0,0,0,3,579,0,582,0
11,233,11,0,165,95,17,177,1,87,2,1,0,0,0,1,0,1,0,1,382,0,383,0
11,233,11,0,179,259,31,207,0,167,0,1,1,0,0,1,0,0,0,2,667,0,669,0
11,233,11,0,207,307,23,62,1,159,3,3,1,0,0,0,0,1,0,2,560,0,562,0
11,233,11,0,221,125,10,116,0,150,2,0,0,0,1,0,0,1,1,1,406,0,407,0
11,233,11,0,235,270,32,306,3,316,2,0,0,0,0,0,0,2,1,4,932,0,936,0
11,233,11,0,53,149,10,78,0,122,0,0,0,0,0,0,0,2,0,4,361,0,365,0
11,233,11,0,277,320,82,194,3,259,2,0,0,0,1,2,0,1,0,6,864,0,870,0
11,233,11,0,25,275,24,12,0,108,0,0,5,0,0,0,0,0,1,1,425,0,426,0
11,233,11,0,249,251,26,196,1,245,2,0,0,1,0,0,3,0,0,1,725,0,726,0
11,233,11,0,263,248,20,28,2,91,0,4,0,1,0,0,0,0,0,4,394,0,398,0
11,233,11,0,39,232,8,76,0,113,0,0,0,0,0,0,0,0,0,1,429,0,430,0
11,233,11,0,109,209,16,207,0,193,1,0,1,0,1,1,0,1,1,3,631,0,634,0
11,233,11,0,137,148,20,375,1,167,0,0,1,0,1,0,0,0,0,0,713,0,713,0
12,233,12,0,110,496,23,71,1,214,3,1,1,2,0,1,0,0,2,2,815,0,817,0
12,233,12,0,138,152,5,113,0,65,0,0,2,0,0,0,0,0,0,1,337,0,338,0
12,233,12,0,292,374,34,65,0,174,0,6,0,1,0,0,0,0,0,5,654,0,659,0
12,233,12,0,152,162,18,233,2,164,0,1,2,0,0,1,1,0,0,0,584,0,584,0
12,233,12,0,180,304,20,62,2,222,2,1,1,0,0,0,0,1,1,1,616,0,617,0
12,233,12,0,12,270,28,20,0,145,0,1,1,0,0,0,0,0,0,4,465,0,469,0
12,233,12,0,124,192,13,132,0,135,2,0,1,0,0,0,0,0,2,1,477,0,478,0
12,233,12,0,96,309,22,141,0,209,0,0,7,0,0,0,0,1,1,4,690,0,694,0
12,233,12,0,194,248,34,165,4,190,0,0,0,0,0,0,0,2,1,2,644,0,646,1
12,233,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,233,12,0,166,234,30,55,1,181,3,0,0,0,0,1,0,0,0,2,505,0,507,0
12,233,12,0,26,336,17,124,0,179,0,0,6,0,0,0,0,1,0,1,663,0,664,0
12,233,12,0,278,334,39,28,0,182,0,0,0,0,0,1,1,1,1,1,587,0,588,0
12,233,12,0,40,220,24,128,0,103,0,0,1,0,0,0,1,0,0,6,477,0,483,0
12,233,12,0,264,300,45,239,1,209,0,2,0,0,0,0,0,1,2,2,799,0,801,0
12,233,12,0,54,384,20,138,1,170,1,3,3,0,1,1,0,0,1,5,723,0,728,0
12,233,12,0,250,319,41,261,1,219,1,0,0,1,0,0,0,0,1,5,844,0,849,0
12,233,12,0,222,303,30,44,0,143,0,0,2,0,0,0,1,1,0,0,524,0,524,0
12,233,12,0,236,383,33,21,0,167,1,1,0,0,0,0,1,0,0,5,607,0,612,0
12,233,12,0,208,252,16,49,0,133,1,1,0,0,0,1,1,1,0,4,455,0,459,0
12,233,12,0,82,124,7,150,0,113,0,0,0,0,0,0,0,0,1,2,395,0,397,0
12,233,12,0,68,125,18,207,1,143,0,0,0,0,0,0,0,0,0,1,494,0,495,0
13,233,13,0,251,173,16,69,0,101,0,0,0,0,0,0,0,3,0,3,362,0,365,0
13,233,13,0,55,268,18,249,2,212,1,1,4,0,0,3,0,3,0,9,761,0,770,0
13,233,13,0,237,318,37,23,0,176,0,0,1,0,0,2,0,0,0,1,557,0,558,0
13,233,13,0,265,212,35,280,0,181,0,0,2,0,0,0,0,0,0,0,710,0,710,0
13,233,13,0,27,350,9,129,0,154,0,2,5,0,0,0,0,0,0,8,649,0,657,0
13,233,13,0,293,268,19,16,1,106,0,0,2,0,0,0,2,0,0,1,414,0,415,0
13,233,13,0,139,115,29,492,2,184,0,0,1,0,0,0,0,1,0,3,824,0,827,0
13,233,13,0,111,156,19,178,0,205,1,1,13,0,2,1,0,0,0,3,576,0,579,0
13,233,13,0,69,330,22,179,0,152,0,0,0,0,1,0,0,0,0,2,684,0,686,0
13,233,13,0,209,334,19,154,1,173,0,1,5,0,0,1,1,0,0,3,689,0,692,0
13,233,13,0,153,173,15,114,0,205,1,0,2,0,0,0,1,0,0,9,511,0,520,0
13,233,13,0,167,195,38,61,1,158,1,1,1,0,0,0,0,0,0,1,456,0,457,0
13,233,13,0,195,160,18,134,2,209,0,0,0,0,0,0,0,1,0,1,524,0,525,0
13,233,13,0,223,331,21,60,2,168,2,0,1,0,1,1,0,0,0,6,587,0,593,0
