sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,total_valid_votes,rejected_votes,total,tendered_votes
1,233,1,0,281,142,18,223,1,152,2,0,0,0,0,0,0,0,0,2,538,0,540,0
1,233,1,0,29,218,8,183,0,182,0,1,0,1,0,1,1,2,0,1,597,0,598,0
1,233,1,0,267,192,35,231,1,186,0,0,0,0,0,0,0,1,0,3,646,0,649,0
1,233,1,0,43,407,30,156,1,189,0,0,0,0,0,0,0,0,0,4,783,0,787,0
1,233,1,0,253,127,15,234,0,155,2,0,0,0,0,0,0,0,0,2,533,0,535,0
1,233,1,0,239,165,10,137,1,65,0,0,2,0,0,0,0,0,0,3,380,0,383,0
1,233,1,0,225,189,25,323,1,180,1,0,0,0,0,0,0,0,0,1,719,0,720,0
1,233,1,0,57,212,15,153,0,152,0,0,3,0,1,0,0,1,1,4,538,0,542,0
1,233,1,0,71,176,13,227,1,113,0,2,0,2,0,1,0,0,0,2,535,0,537,0
1,233,1,0,211,212,17,187,0,167,0,0,0,0,0,0,0,1,0,6,584,0,590,0
1,233,1,0,183,373,17,54,0,279,0,0,0,0,0,0,0,1,0,2,724,0,726,0
1,233,1,0,141,243,18,107,0,104,2,0,0,0,0,0,0,0,0,2,474,0,476,0
1,233,1,0,169,275,22,82,4,258,2,0,0,0,0,1,0,5,0,4,649,0,653,0
1,233,1,0,155,155,6,58,0,84,0,0,0,0,0,0,0,0,0,1,303,0,304,0
1,233,1,0,197,157,19,192,0,136,0,0,0,0,0,0,0,0,0,1,504,0,505,0
1,233,1,0,85,297,35,179,2,246,0,6,2,1,1,2,0,0,0,4,771,0,775,0
1,233,1,0,113,294,34,119,1,203,2,0,5,0,0,0,0,0,0,1,658,0,659,0
1,233,1,0,99,217,15,121,1,178,0,1,5,0,0,1,1,0,0,2,540,0,542,0
1,233,1,0,127,237,13,66,2,146,0,0,2,0,0,0,0,0,0,2,466,0,468,0
1,233,1,0,295,330,50,154,1,178,1,1,0,0,0,0,0,0,0,3,715,0,718,0
1,233,1,0,15,226,23,28,0,120,1,1,0,0,0,0,0,0,0,3,399,0,402,0
1,233,1,0,1,200,8,176,1,198,2,3,1,2,0,0,2,1,2,7,596,0,603,0
1,233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,233,2,0,44,231,24,103,0,133,0,0,0,1,0,0,0,0,2,2,494,0,496,0
2,233,2,0,240,184,18,371,2,186,0,0,2,0,0,1,0,0,0,1,764,0,765,0
2,233,2,0,58,282,17,71,2,179,0,2,1,0,0,2,1,1,1,3,559,0,562,0
2,233,2,0,226,147,30,202,8,151,0,0,1,0,0,1,0,0,0,2,540,0,542,0
2,233,2,0,254,29,6,225,0,82,0,1,1,0,0,0,1,0,0,1,345,0,346,0
2,233,2,0,30,373,11,208,0,190,0,0,1,0,0,0,1,1,0,5,785,0,790,0
2,233,2,0,268,337,35,114,1,255,2,3,2,0,0,0,1,1,0,2,751,0,753,0
2,233,2,0,282,179,24,155,3,149,0,1,1,0,0,1,0,0,0,1,513,0,514,0
2,233,2,0,16,319,26,168,3,228,1,0,2,0,0,0,0,0,0,4,747,0,751,0
2,233,2,0,170,258,13,111,0,133,0,1,1,1,1,0,0,8,1,2,528,0,530,0
2,233,2,0,128,281,12,136,1,206,1,2,11,0,1,0,0,0,0,1,651,0,652,0
