sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,0,total_valid_votes,rejected_votes,total,tendered_votes
0,11,0,0,138,34,225,0,0,0,1,271,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,676,138,818,0
1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,1,0,92,21,188,0,0,0,0,418,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,724,0,724,0
2,11,2,0,77,31,128,1,0,0,1,314,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,558,0,558,0
3,11,3,0,89,22,161,0,0,0,0,340,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,616,0,617,0
4,11,4,0,82,17,185,0,0,0,0,300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,587,0,587,0
5,11,5,0,95,19,245,1,0,0,3,347,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,1,1,0,0,2,1,0,0,0,1,0,0,3,724,0,727,0
6,11,6,0,105,38,143,0,0,0,3,333,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,626,0,629,0
7,11,7,0,110,27,181,5,0,0,0,433,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,763,0,765,0
8,11,8,0,98,23,230,0,0,0,0,400,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,759,0,760,0
9,11,9,0,127,27,122,0,0,0,1,322,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,606,0,608,0
10,11,10,0,124,61,275,0,0,0,3,492,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,965,0,966,0
