sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,0,total_valid_votes,rejected_votes,total,tendered_votes
0,22,0,0,29,524,430,291,4,0,1,1,4,6,4,2,1,1,1,0,1,3,4,0,0,3,0,0,14,1310,57,1381,0
1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,1,0,18,131,108,184,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,446,0,451,0
2,22,2,0,10,125,92,162,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,393,0,396,0
3,22,3,0,30,184,172,284,1,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,681,0,684,0
4,22,4,0,15,150,95,224,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,488,0,496,0
5,22,5,0,15,187,48,154,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,408,0,411,0
6,22,6,0,21,202,101,148,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,2,0,2,482,0,484,0
7,22,7,0,19,186,70,194,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,474,0,476,0
8,22,8,0,15,268,68,269,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,628,0,630,0
9,22,9,0,10,120,85,148,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,365,0,368,0
10,22,10,0,9,71,88,62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,232,0,233,0
11,22,11,0,8,94,48,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,221,0,223,0
12,22,12,0,17,115,112,163,1,1,0,0,3,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,4,418,0,422,0
13,22,13,0,11,139,138,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,576,0,581,0
14,22,14,0,13,111,113,200,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,441,0,443,0
15,22,15,0,15,164,134,325,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,643,0,643,0
16,22,16,0,9,150,120,301,0,0,2,0,1,0,1,1,1,2,0,0,0,0,1,0,1,1,0,1,1,592,0,593,0
17,22,17,0,17,158,103,239,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,522,0,523,0
18,22,18,0,14,139,77,288,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,523,0,523,0
19,22,19,0,20,139,144,231,1,1,1,0,1,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,544,0,544,1
20,22,20,0,17,171,119,266,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,2,582,0,584,0
21,22,21,0,17,129,120,245,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,516,0,517,0
22,22,22,0,15,125,85,269,2,0,0,0,0,0,1,0,0,0,1,0,0,3,2,2,2,2,2,1,1,512,0,513,0
23,22,23,0,19,202,124,362,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,713,0,713,0
24,22,24,0,18,173,163,435,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,8,800,0,808,0
25,22,25,0,21,186,85,231,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,526,0,531,0
26,22,26,0,12,109,159,256,0,0,2,0,3,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,2,547,0,549,0
27,22,27,0,21,165,156,286,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,632,0,635,0
28,22,28,0,20,187,213,299,0,0,5,0,2,0,0,0,0,1,2,3,0,0,2,1,0,0,0,0,2,735,0,737,0
29,22,29,0,30,194,197,231,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,662,0,667,0
30,22,30,0,14,128,154,197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,496,0,500,0
31,22,31,0,20,232,173,255,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,687,0,697,0
