sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,0,total_valid_votes,rejected_votes,total,tendered_votes
152,164,152,0,50,293,2,244,125,0,2,2,716,0,718,0
153,164,153,0,32,214,2,175,105,1,1,0,530,0,530,0
154,164,154,0,0,0,0,0,0,0,0,0,0,0,0,0
155,164,155,0,40,276,4,296,106,1,4,4,727,0,731,0
156,164,156,0,0,0,0,0,0,0,0,0,0,0,0,0
156,164,156,0,15,252,0,140,87,0,1,0,495,0,495,0
157,164,157,0,0,0,0,0,0,0,0,0,0,0,0,0
157,164,157,0,21,301,2,180,160,1,3,3,668,0,671,0
158,164,158,0,0,0,0,0,0,0,0,0,0,0,0,0
158,164,158,0,37,300,5,250,148,2,4,4,746,0,750,0
159,164,159,0,43,212,0,331,177,5,2,6,770,0,776,0
160,164,160,0,37,313,2,298,95,2,2,3,749,0,752,0
161,164,161,0,26,182,2,176,93,2,1,2,482,0,484,0
162,164,162,0,19,228,5,230,156,2,3,2,643,0,645,0
163,164,163,0,83,354,18,214,72,9,5,0,755,0,755,0
164,164,164,0,74,287,2,358,138,5,2,4,866,0,870,0
165,164,165,0,23,165,2,231,136,1,2,1,560,0,561,0
166,164,166,0,42,247,2,208,173,2,1,5,675,0,680,0
167,164,167,0,47,273,4,202,167,1,2,0,696,0,696,0
168,164,168,0,43,248,1,191,197,4,0,4,684,0,688,0
169,164,169,0,46,266,2,223,195,2,0,2,734,0,736,0
170,164,170,0,36,118,4,133,114,2,1,4,408,0,412,0
171,164,171,0,38,235,1,241,217,4,4,2,740,0,742,0
172,164,172,0,72,231,4,322,198,2,3,20,832,0,852,0
172,164,172,0,0,0,0,0,0,0,0,0,0,0,0,0
173,164,173,0,25,246,3,174,63,0,2,4,513,0,517,0
173,164,173,0,0,0,0,0,0,0,0,0,0,0,0,0
174,164,174,0,0,0,0,0,0,0,0,0,0,0,0,0
174,164,174,0,36,310,3,262,165,4,7,3,787,0,790,0
175,164,175,0,35,196,1,126,126,0,1,2,485,0,487,0
176,164,176,0,55,376,1,360,180,3,4,5,979,0,984,0
177,164,177,0,25,182,1,119,77,3,0,1,407,0,408,0
178,164,178,0,33,290,1,204,147,1,2,2,678,0,680,0
179,164,179,0,26,234,1,162,148,0,0,2,571,0,573,0
180,164,180,0,43,342,0,257,119,2,1,4,764,0,768,0
181,164,181,0,30,394,2,182,110,0,6,1,724,0,725,0
182,164,182,0,16,252,0,224,120,1,0,1,613,0,614,0
183,164,183,0,28,195,2,277,150,2,1,1,655,0,656,0
184,164,184,0,20,163,5,161,158,1,1,2,509,0,511,0
185,164,185,0,33,334,3,234,166,1,4,1,775,0,776,0
186,164,186,0,37,304,4,359,254,2,3,3,963,0,966,0
187,164,187,0,46,166,2,138,147,0,1,1,500,0,501,0
188,164,188,0,95,304,6,274,148,4,2,3,833,0,836,0
188,164,188,0,0,0,0,0,0,0,0,0,0,0,0,0
189,164,189,0,104,276,3,301,140,2,2,4,828,0,832,0
189,164,189,0,0,0,0,0,0,0,0,0,0,0,0,0
190,164,190,0,18,149,4,183,153,0,0,1,507,0,508,0
190,164,190,0,0,0,0,0,0,0,0,0,0,0,0,0
191,164,191,0,31,212,1,152,137,4,1,5,538,0,543,0
192,164,192,0,65,105,5,357,125,1,2,2,660,0,662,0
193,164,193,0,13,155,0,174,228,4,2,3,576,0,579,0
194,164,194,0,29,205,2,247,215,2,0,0,700,0,700,0
195,164,195,0,18,146,2,212,224,1,1,8,604,0,612,0
196,164,196,0,51,199,1,201,202,3,1,3,658,0,661,0
197,164,197,0,38,216,3,286,430,5,7,1,985,0,986,0
198,164,198,0,48,317,2,332,238,2,1,2,940,0,942,0
199,164,199,0,43,181,1,254,231,1,1,0,712,0,712,0
200,164,200,0,56,153,3,233,199,2,2,1,648,0,649,0
201,164,201,0,34,175,5,132,144,0,0,1,490,0,491,0
202,164,202,0,52,224,3,207,160,3,4,7,653,0,660,0
203,164,203,0,54,308,4,303,157,0,1,3,827,0,830,0
204,164,204,0,0,0,0,0,0,0,0,0,0,0,0,0
204,164,204,0,59,280,4,314,234,3,6,1,900,0,901,0
205,164,205,0,0,0,0,0,0,0,0,0,0,0,0,0
205,164,205,0,46,233,6,161,243,7,1,7,697,0,704,0
206,164,206,0,0,0,0,0,0,0,0,0,0,0,0,0
206,164,206,0,26,116,2,121,129,1,2,0,397,0,397,0
207,164,207,0,23,301,4,184,103,1,2,3,618,0,621,0
208,164,208,0,54,465,8,249,211,2,5,4,994,0,998,0
209,164,209,0,38,238,0,179,222,1,0,4,678,0,682,0
210,164,210,0,46,270,3,221,169,3,0,5,712,0,717,0
211,164,211,0,41,215,4,138,189,3,2,2,592,0,594,0
212,164,212,0,40,195,4,220,303,1,0,0,763,0,763,0
213,164,213,0,9,170,3,116,199,6,2,1,505,0,506,0
214,164,214,0,45,172,1,175,150,1,1,2,545,0,547,0
215,164,215,0,43,246,3,239,148,5,0,1,684,0,685,0
216,164,216,0,30,406,5,258,86,1,2,1,788,0,789,0
217,164,217,0,51,256,6,248,125,3,3,3,692,0,695,0
218,164,218,0,20,127,3,228,84,3,2,3,467,0,470,0
219,164,219,0,17,247,4,185,169,3,2,0,627,0,627,0
220,164,220,0,18,219,0,140,118,2,1,5,498,0,503,0
220,164,220,0,0,0,0,0,0,0,0,0,0,0,0,0
221,164,154,0,29,440,5,293,114,5,1,5,887,0,892,0
221,164,221,0,0,0,0,0,0,0,0,0,0,0,0,0
222,164,222,0,0,0,0,0,0,0,0,0,0,0,0,0
222,164,222,0,0,0,0,0,0,0,0,0,0,0,0,0
223,164,223,0,0,0,0,0,0,0,0,0,0,0,0,0
224,164,224,0,0,0,0,0,0,0,0,0,0,0,0,0
225,164,225,0,0,0,0,0,0,0,0,0,0,0,0,0
226,164,226,0,0,0,0,0,0,0,0,0,0,0,0,0
227,164,227,0,0,0,0,0,0,0,0,0,0,0,0,0
228,164,228,0,0,0,0,0,0,0,0,0,0,0,0,0
229,164,229,0,0,0,0,0,0,0,0,0,0,0,0,0
230,164,230,0,0,0,0,0,0,0,0,0,0,0,0,0
231,164,231,0,0,0,0,0,0,0,0,0,0,0,0,0
232,164,232,0,0,0,0,0,0,0,0,0,0,0,0,0
233,164,233,0,0,0,0,0,0,0,0,0,0,0,0,0
234,164,234,0,0,0,0,0,0,0,0,0,0,0,0,0
235,164,235,0,0,0,0,0,0,0,0,0,0,0,0,0
236,164,236,0,0,0,0,0,0,0,0,0,0,0,0,0
237,164,237,0,0,0,0,0,0,0,0,0,0,0,0,0
238,164,238,0,7942,55409,558,53333,31322,435,405,537,149404,0,149941,0
239,164,239,0,8069,56108,563,53830,31675,437,410,545,151092,113,151750,0
